../../../pdielec -processors 4 -matrix ptfe -sigma 5 -method maxwell -method bruggeman -method ap -vf 0.1 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -csv command1.csv -program castep phonon -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   4,   72.78,         3.270822,               13821.185856,  1759.7680,     5.0
   9,  125.47,         0.660838,                2792.436864,   355.5441,     5.0
  10,  165.35,         0.491886,                2078.514665,   264.6447,     5.0
  12,  192.57,         4.161272,               17583.871092,  2238.8480,     5.0
  15,  216.39,         3.575811,               15109.948965,  1923.8585,     5.0
  18,  351.83,         0.084264,                 356.063887,    45.3355,     5.0
  19,  477.98,         0.138921,                 587.026318,    74.7425,     5.0
  21,  525.22,         1.694454,                7160.085286,   911.6504,     5.0
  22,  537.80,         2.536920,               10720.008260,  1364.9138,     5.0
  25,  613.07,         5.220473,               22059.632508,  2808.7196,     5.0
  27,  712.12,        17.377016,               73428.319828,  9349.1841,     5.0
  29, 1114.61,        10.747118,               45413.023835,  5782.1658,     5.0
  31, 1349.02,        28.536784,              120585.033751, 15353.3633,     5.0
  33, 1417.60,        26.936448,              113822.655953, 14492.3507,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape[0 0 1]_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape[0 0 1]_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),ap_noshape[0 0 1]_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    4.800000,    0.143900,          0.00232602,          0.00215885,          0.00374610,          0.00407045,          0.00430102,          0.00418090,          0.01074748,          2.25445106,          2.24888616,          2.31313314,          2.28588136,          2.29299086,          2.29200319,          2.48155009,          0.00029153,          0.00027024,          0.00047558,          0.00051370,          0.00054364,          0.00052835,          0.00141322,          0.00254309,          0.00236031,          0.00409568,          0.00445030,          0.00470239,          0.00457106,          0.01175043
,,,,,,    5.000000,    0.149896,          0.00252472,          0.00234321,          0.00406636,          0.00441902,          0.00466936,          0.00453892,          0.01166969,          2.25447483,          2.24890819,          2.31317189,          2.28592318,          2.29303512,          2.29204620,          2.48166502,          0.00030377,          0.00028159,          0.00049559,          0.00053539,          0.00056660,          0.00055065,          0.00147314,          0.00276032,          0.00256188,          0.00444583,          0.00483141,          0.00510511,          0.00496250,          0.01275871
,,,,,,    5.200000,    0.155892,          0.00273166,          0.00253522,          0.00439995,          0.00478221,          0.00505315,          0.00491196,          0.01263088,          2.25449956,          2.24893113,          2.31321224,          2.28596674,          2.29308121,          2.29209100,          2.48178473,          0.00031603,          0.00029294,          0.00051563,          0.00055711,          0.00058959,          0.00057299,          0.00153319,          0.00298658,          0.00277180,          0.00481055,          0.00522849,          0.00552471,          0.00537034,          0.01380959
,,,,,,    5.400000,    0.161888,          0.00294687,          0.00273488,          0.00474691,          0.00516006,          0.00545243,          0.00530005,          0.01363120,          2.25452528,          2.24895497,          2.31325418,          2.28601202,          2.29312913,          2.29213757,          2.48190922,          0.00032831,          0.00030431,          0.00053569,          0.00057887,          0.00061262,          0.00059537,          0.00159337,          0.00322187,          0.00299010,          0.00518989,          0.00564160,          0.00596125,          0.00579465,          0.01490326
,,,,,,    5.600000,    0.167884,          0.00317036,          0.00294221,          0.00510728,          0.00555262,          0.00586726,          0.00570325,          0.01467083,          2.25455198,          2.24897972,          2.31329773,          2.28605904,          2.29317889,          2.29218593,          2.48203851,          0.00034059,          0.00031569,          0.00055578,          0.00060067,          0.00063570,          0.00061779,          0.00165369,          0.00346622,          0.00321678,          0.00558389,          0.00607079,          0.00641480,          0.00623547,          0.01603991
,,,,,,    5.800000,    0.173880,          0.00340215,          0.00315724,          0.00548107,          0.00595994,          0.00629770,          0.00612160,          0.01574993,          2.25457966,          2.24900538,          2.31334288,          2.28610780,          2.29323049,          2.29223608,          2.48217261,          0.00035289,          0.00032708,          0.00057589,          0.00062251,          0.00065881,          0.00064025,          0.00171415,          0.00371964,          0.00345187,          0.00599257,          0.00651612,          0.00688540,          0.00669287,          0.01721971
,,,,,,    6.000000,    0.179875,          0.00364226,          0.00337996,          0.00586835,          0.00638207,          0.00674379,          0.00655517,          0.01686870,          2.25460832,          2.24903195,          2.31338964,          2.28615830,          2.29328393,          2.29228802,          2.48231153,          0.00036521,          0.00033849,          0.00059604,          0.00064439,          0.00068197,          0.00066275,          0.00177477,          0.00398216,          0.00369538,          0.00641598,          0.00697765,          0.00737311,          0.00716690,          0.01844288
,,,,,,    6.200000,    0.185871,          0.00389071,          0.00361041,          0.00626913,          0.00681907,          0.00720559,          0.00700401,          0.01802731,          2.25463797,          2.24905943,          2.31343800,          2.28621055,          2.29333923,          2.29234176,          2.48245528,          0.00037754,          0.00034990,          0.00061621,          0.00066631,          0.00070517,          0.00068530,          0.00183554,          0.00425379,          0.00394733,          0.00685416,          0.00745543,          0.00787802,          0.00765762,          0.01970962
,,,,,,    6.400000,    0.191867,          0.00414751,          0.00384860,          0.00668345,          0.00727100,          0.00768318,          0.00746817,          0.01922598,          2.25466860,          2.24908782,          2.31348798,          2.28626454,          2.29339637,          2.29239729,          2.48260387,          0.00038988,          0.00036133,          0.00063641,          0.00068827,          0.00072842,          0.00070788,          0.00189647,          0.00453456,          0.00420775,          0.00730715,          0.00794952,          0.00840017,          0.00816510,          0.02102014
,,,,,,    6.600000,    0.197863,          0.00441270,          0.00409454,          0.00711137,          0.00773790,          0.00817660,          0.00794772,          0.02046489,          2.25470022,          2.24911713,          2.31353957,          2.28632029,          2.29345537,          2.29245463,          2.48275733,          0.00040224,          0.00037278,          0.00065665,          0.00071028,          0.00075172,          0.00073052,          0.00195756,          0.00482449,          0.00447664,          0.00777500,          0.00846000,          0.00893964,          0.00868940,          0.02237467
,,,,,,    6.800000,    0.203859,          0.00468628,          0.00434826,          0.00755291,          0.00821985,          0.00868593,          0.00844272,          0.02174428,          2.25473282,          2.24914735,          2.31359277,          2.28637780,          2.29351623,          2.29251378,          2.48291565,          0.00041462,          0.00038424,          0.00067691,          0.00073234,          0.00077507,          0.00075320,          0.00201883,          0.00512360,          0.00475403,          0.00825775,          0.00898693,          0.00949650,          0.00923060,          0.02377345
,,,,,,    7.000000,    0.209855,          0.00496829,          0.00460976,          0.00800813,          0.00871691,          0.00921123,          0.00895324,          0.02306434,          2.25476642,          2.24917849,          2.31364760,          2.28643706,          2.29357895,          2.29257473,          2.48307886,          0.00042701,          0.00039571,          0.00069721,          0.00075444,          0.00079847,          0.00077594,          0.00208028,          0.00543193,          0.00503995,          0.00875544,          0.00953037,          0.01007082,          0.00978875,          0.02521670
,,,,,,    7.200000,    0.215851,          0.00525874,          0.00487909,          0.00847706,          0.00922914,          0.00975257,          0.00947933,          0.02442531,          2.25480100,          2.24921054,          2.31370404,          2.28649809,          2.29364354,          2.29263750,          2.48324697,          0.00043943,          0.00040720,          0.00071755,          0.00077660,          0.00082193,          0.00079872,          0.00214191,          0.00574948,          0.00533440,          0.00926813,          0.01009040,          0.01066267,          0.01036394,          0.02670467
,,,,,,    7.400000,    0.221846,          0.00555766,          0.00515624,          0.00895975,          0.00975661,          0.01031002,          0.01002107,          0.02582742,          2.25483657,          2.24924351,          2.31376211,          2.28656089,          2.29371000,          2.29270209,          2.48341999,          0.00045186,          0.00041870,          0.00073792,          0.00079881,          0.00084543,          0.00082156,          0.00220373,          0.00607630,          0.00563742,          0.00979587,          0.01066710,          0.01127215,          0.01095624,          0.02823763
,,,,,,    7.600000,    0.227842,          0.00586507,          0.00544125,          0.00945625,          0.01029939,          0.01088366,          0.01057853,          0.02727092,          2.25487314,          2.24927740,          2.31382181,          2.28662546,          2.29377834,          2.29276850,          2.48359794,          0.00046431,          0.00043022,          0.00075832,          0.00082107,          0.00086900,          0.00084445,          0.00226574,          0.00641240,          0.00594903,          0.01033870,          0.01126052,          0.01189932,          0.01156572,          0.02981583
,,,,,,    7.800000,    0.233838,          0.00618100,          0.00573414,          0.00996660,          0.01085754,          0.01147355,          0.01115178,          0.02875604,          2.25491070,          2.24931221,          2.31388313,          2.28669181,          2.29384856,          2.29283673,          2.48378084,          0.00047677,          0.00044176,          0.00077876,          0.00084338,          0.00089262,          0.00086740,          0.00232795,          0.00675781,          0.00626925,          0.01089668,          0.01187077,          0.01254426,          0.01219247,          0.03143955
