../../../pdielec -matrix ptfe -sigma 5 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -csv command1.csv -masses program -program qe phonon.dynG
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
 164,  714.19,         2.850552,               12045.293079,  1533.6543,     5.0
 166,  715.68,         0.595886,                2517.977831,   320.5989,     5.0
 167,  716.80,         0.526510,                2224.819592,   283.2728,     5.0
 168,  717.56,         7.328784,               30968.511417,  3943.0333,     5.0
 169,  718.34,         9.490566,               40103.336511,  5106.1154,     5.0
 170,  719.34,         3.660699,               15468.648534,  1969.5295,     5.0
 172,  731.77,        30.371792,              128339.045512, 16340.6348,     5.0
 174,  739.28,         1.389484,                5871.402935,   747.5702,     5.0
 175,  740.22,         0.085023,                 359.274160,    45.7442,     5.0
 176,  763.19,         0.403291,                1704.145847,   216.9786,     5.0
 177,  763.22,         3.181228,               13442.597072,  1711.5646,     5.0
 178,  765.05,        35.224784,              148845.847983, 18951.6420,     5.0
 181,  769.31,         2.986864,               12621.292679,  1606.9929,     5.0
 182,  769.56,         0.105678,                 446.553585,    56.8570,     5.0
 183,  769.85,         0.709723,                2999.005745,   381.8453,     5.0
 185,  794.46,        26.942292,              113847.348631, 14495.4946,     5.0
 186,  800.45,         1.086289,                4590.223565,   584.4454,     5.0
 187,  800.52,         0.413075,                1745.489588,   222.2426,     5.0
 188,  801.81,         0.391802,                1655.598832,   210.7974,     5.0
 190,  803.96,         0.648446,                2740.072899,   348.8769,     5.0
 191,  804.06,         0.235491,                 995.090371,   126.6988,     5.0
 192,  817.91,        18.992426,               80254.397316, 10218.3072,     5.0
 193,  818.74,         1.513192,                6394.144192,   814.1277,     5.0
 195,  819.94,         0.256779,                1085.045270,   138.1523,     5.0
 196,  822.29,        42.568012,              179875.391495, 22902.4462,     5.0
 198,  833.51,         0.099359,                 419.851417,    53.4571,     5.0
 199,  833.99,         0.978323,                4134.002557,   526.3576,     5.0
 200,  843.36,        25.975884,              109763.696356, 13975.5479,     5.0
 202,  852.45,         3.695413,               15615.337733,  1988.2066,     5.0
 203,  853.64,        14.823648,               62638.805385,  7975.4204,     5.0
 204,  854.05,         0.056408,                 238.358771,    30.3488,     5.0
 206,  863.48,         7.498822,               31687.020355,  4034.5167,     5.0
 207,  869.00,         0.138473,                 585.129690,    74.5010,     5.0
 209,  873.54,         8.783863,               37117.092658,  4725.8950,     5.0
 210,  888.97,        13.241540,               55953.449758,  7124.2145,     5.0
 211,  889.86,         0.216097,                 913.140283,   116.2646,     5.0
 213,  890.22,         0.197890,                 836.202473,   106.4686,     5.0
 214,  891.12,        16.917089,               71484.852796,  9101.7341,     5.0
 215,  895.69,         0.079580,                 336.274588,    42.8158,     5.0
 217,  912.46,         9.245090,               39066.054263,  4974.0445,     5.0
 218,  913.89,         5.624494,               23766.863331,  3026.0910,     5.0
 219,  914.39,         0.027606,                 116.650465,    14.8524,     5.0
 221,  938.66,         0.039467,                 166.772113,    21.2341,     5.0
 222,  939.71,         0.558475,                2359.893438,   300.4710,     5.0
 223,  940.01,         0.008419,                  35.575927,     4.5297,     5.0
 225,  946.60,         0.433343,                1831.132690,   233.1471,     5.0
 226,  949.55,         0.000841,                   3.555544,     0.4527,     5.0
 227,  949.73,         0.000014,                   0.057306,     0.0073,     5.0
 228,  966.09,         1.568453,                6627.653528,   843.8591,     5.0
 229,  966.91,         0.078915,                 333.463054,    42.4578,     5.0
 230,  968.63,         0.068977,                 291.470046,    37.1111,     5.0
 233,  977.73,         0.102621,                 433.634120,    55.2120,     5.0
 234,  979.24,         0.116502,                 492.290093,    62.6803,     5.0
 235,  979.95,         1.186229,                5012.529552,   638.2151,     5.0
 237,  990.24,         0.671603,                2837.926417,   361.3360,     5.0
 238,  990.39,         0.353212,                1492.531076,   190.0350,     5.0
 239,  991.19,         0.297237,                1256.004044,   159.9194,     5.0
 240,  993.51,         0.019218,                  81.209355,    10.3399,     5.0
 242,  993.89,         0.040372,                 170.593822,    21.7207,     5.0
 243,  994.15,         0.006598,                  27.879435,     3.5497,     5.0
 245,  998.21,         0.011468,                  48.458275,     6.1699,     5.0
 246,  999.25,         0.445278,                1881.568184,   239.5687,     5.0
 247,  999.47,         0.417597,                1764.597905,   224.6756,     5.0
 248, 1003.22,         4.752350,               20081.528211,  2556.8596,     5.0
 249, 1003.58,         0.839294,                3546.522723,   451.5573,     5.0
 251, 1004.05,         0.255393,                1079.187442,   137.4064,     5.0
 252, 1011.93,         1.719789,                7267.141899,   925.2812,     5.0
 254, 1012.94,         0.797559,                3370.166071,   429.1029,     5.0
 255, 1013.17,         0.179787,                 759.707882,    96.7290,     5.0
 256, 1014.52,         0.560063,                2366.601254,   301.3250,     5.0
 257, 1014.53,         0.150787,                 637.165249,    81.1264,     5.0
 259, 1017.55,         7.365541,               31123.829382,  3962.8090,     5.0
 260, 1017.75,         0.007822,                  33.051901,     4.2083,     5.0
 262, 1018.16,         0.839482,                3547.316971,   451.6584,     5.0
 263, 1019.84,         1.503085,                6351.435126,   808.6898,     5.0
 264, 1043.37,         0.475601,                2009.700792,   255.8831,     5.0
 265, 1043.84,         0.240267,                1015.270849,   129.2683,     5.0
 266, 1044.54,         0.107380,                 453.745925,    57.7727,     5.0
 268, 1060.23,         6.066371,               25634.055881,  3263.8294,     5.0
 269, 1060.57,         0.866289,                3660.589638,   466.0807,     5.0
 271, 1061.76,         1.876935,                7931.176862,  1009.8288,     5.0
 272, 1062.72,         0.279146,                1179.560320,   150.1863,     5.0
 273, 1062.74,         0.002941,                  12.428601,     1.5825,     5.0
 275, 1062.97,         0.041934,                 177.198211,    22.5616,     5.0
 276, 1067.22,         0.038601,                 163.111884,    20.7681,     5.0
 277, 1067.33,         6.479296,               27378.912458,  3485.9914,     5.0
 279, 1069.68,         9.021624,               38121.774996,  4853.8151,     5.0
 281, 1090.85,        14.478015,               61178.300082,  7789.4631,     5.0
 282, 1092.52,        10.765310,               45489.893143,  5791.9531,     5.0
 283, 1092.93,         3.157277,               13341.388168,  1698.6783,     5.0
 285, 1112.65,         0.787275,                3326.711307,   423.5700,     5.0
 286, 1114.48,         5.503660,               23256.265055,  2961.0796,     5.0
 287, 1114.89,         0.113049,                 477.701440,    60.8228,     5.0
 288, 1117.17,         3.838205,               16218.718594,  2065.0314,     5.0
 289, 1118.51,         0.251709,                1063.623045,   135.4247,     5.0
 290, 1120.96,         0.912918,                3857.626124,   491.1682,     5.0
 292, 1123.81,         0.101395,                 428.454943,    54.5526,     5.0
 293, 1123.83,         0.535620,                2263.316291,   288.1744,     5.0
 295, 1124.35,         0.099715,                 421.354780,    53.6486,     5.0
 296, 1134.14,         1.086497,                4591.100556,   584.5571,     5.0
 298, 1135.79,         2.049230,                8659.224956,  1102.5268,     5.0
 299, 1136.51,         0.011839,                  50.025957,     6.3695,     5.0
 301, 1151.17,         1.047030,                4424.331644,   563.3234,     5.0
 302, 1153.11,         0.119318,                 504.188232,    64.1952,     5.0
 303, 1153.26,         0.590509,                2495.254462,   317.7057,     5.0
 304, 1153.38,         1.998846,                8446.323222,  1075.4193,     5.0
 305, 1153.54,         2.719255,               11490.483798,  1463.0138,     5.0
 307, 1156.04,         0.095293,                 402.670429,    51.2696,     5.0
 308, 1157.76,         0.290736,                1228.532951,   156.4217,     5.0
 310, 1158.35,         0.171007,                 722.605745,    92.0050,     5.0
 311, 1158.40,         0.210268,                 888.509957,   113.1286,     5.0
 312, 1158.95,         2.630739,               11116.451770,  1415.3906,     5.0
 314, 1160.21,         0.181975,                 768.952117,    97.9060,     5.0
 315, 1160.33,         0.235751,                 996.187754,   126.8386,     5.0
 316, 1187.02,        12.983415,               54862.716766,  6985.3381,     5.0
 317, 1188.92,         0.556373,                2351.007678,   299.3396,     5.0
 319, 1190.37,         0.017606,                  74.396250,     9.4724,     5.0
 321, 1193.22,         0.164537,                 695.268481,    88.5243,     5.0
 322, 1197.67,         7.074247,               29892.939931,  3806.0873,     5.0
 323, 1198.98,         0.060250,                 254.591253,    32.4156,     5.0
 325, 1203.24,         0.752432,                3179.475963,   404.8235,     5.0
 326, 1208.57,        10.047967,               42458.689967,  5406.0083,     5.0
 327, 1210.55,         0.001811,                   7.654573,     0.9746,     5.0
 329, 1216.92,         0.607919,                2568.821444,   327.0725,     5.0
 330, 1218.18,         0.052773,                 222.999526,    28.3932,     5.0
 331, 1218.54,         0.177580,                 750.381730,    95.5416,     5.0
 333, 1224.75,         0.022875,                  96.662548,    12.3075,     5.0
 334, 1225.81,         6.669614,               28183.120035,  3588.3863,     5.0
 335, 1226.59,         8.060926,               34062.247738,  4336.9401,     5.0
