../../../pdielec -processors 4 -LO 1 0 0 -vmin 300 -vmax 800 -sphere -needle 0 0 1 -dielectric 3 -vf 0.1 -vf 0.2 -method maxwell -method bruggeman -method ap -sigma 10 -csv command.csv phonon -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   4,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   5,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.2),maxwell_needle[0 0 1]_real_dielectric(vf=0.2),bruggeman_sphere_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_sphere_real_dielectric(vf=0.2),bruggeman_needle[0 0 1]_real_dielectric(vf=0.2),ap_noshape_real_dielectric(vf=0.1),ap_noshape_real_dielectric(vf=0.2),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.2),maxwell_needle[0 0 1]_imag_dielectric(vf=0.2),bruggeman_sphere_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_sphere_imag_dielectric(vf=0.2),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.2),ap_noshape_imag_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.2),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.2),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.2),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),ap_noshape_absorption_coefficent_cm-1(vf=0.1),ap_noshape_absorption_coefficent_cm-1(vf=0.2)
,,,,,,  304.000000,    9.113691,          0.59600704,          1.78630968,          0.62992153,          1.70838338,          0.77144000,          0.77144000,          1.02376962,          1.02376962,          4.03092462,          3.44024131,          3.64102506,          3.94055514,          4.38032754,          4.98533149,          3.70162208,          3.70162208,          4.65213680,          4.65213680,          4.78265796,          6.56531592,          0.01188806,          0.03706699,          0.02756252,          0.07974865,          0.01551480,          0.01551480,          0.04616479,          0.04616479,          0.09215238,          0.18430477,          5.16816340,         15.48964989,         10.92449311,         29.62785313,          6.68939752,          6.68939752,         17.75485298,         17.75485298,         34.95340794,         59.66281644
,,,,,,  304.200000,    9.119687,          0.59765808,          1.79516930,          0.63170014,          1.71664767,          0.77388889,          0.77388889,          1.02752291,          1.02752291,          4.05149670,          3.45719220,          3.64150046,          3.94203158,          4.38142965,          4.98850797,          3.70224221,          3.70224221,          4.65398036,          4.65398036,          4.78632656,          6.57265312,          0.01191393,          0.03723332,          0.02762565,          0.08010727,          0.01555512,          0.01555512,          0.04631276,          0.04631276,          0.09259732,          0.18519464,          5.18248011,         15.56647438,         10.95533888,         29.77117750,          6.71063253,          6.71063253,         17.81994501,         17.81994501,         35.13179485,         59.95678949
,,,,,,  304.400000,    9.125682,          0.59931439,          1.80409007,          0.63348458,          1.72496756,          0.77634742,          0.77634742,          1.03129438,          1.03129438,          4.07221025,          3.47425597,          3.64197689,          3.94351460,          4.38253427,          4.99169866,          3.70286395,          3.70286395,          4.65582982,          4.65582982,          4.79001277,          6.58002554,          0.01193988,          0.03740080,          0.02768898,          0.08046838,          0.01559560,          0.01559560,          0.04646144,          0.04646144,          0.09304543,          0.18609085,          5.19684246,         15.64382914,         10.98628580,         29.91546630,          6.73195130,          6.73195130,         17.88535211,         17.88535211,         35.31140853,         60.25271998
,,,,,,  304.600000,    9.131678,          0.60097598,          1.81307255,          0.63527488,          1.73334357,          0.77881567,          0.77881567,          1.03508413,          1.03508413,          4.09306655,          3.49143360,          3.64245436,          3.94500425,          4.38364143,          4.99490364,          3.70348730,          3.70348730,          4.65768520,          4.65768520,          4.79371671,          6.58743343,          0.01196590,          0.03756943,          0.02775250,          0.08083198,          0.01563622,          0.01563622,          0.04661084,          0.04661084,          0.09349673,          0.18699345,          5.21125062,         15.72171907,         11.01733432,         30.06072828,          6.75335424,          6.75335424,         17.95107636,         17.95107636,         35.49226005,         60.55062517
,,,,,,  304.800000,    9.137674,          0.60264287,          1.82211733,          0.63707106,          1.74177620,          0.78129368,          0.78129368,          1.03889229,          1.03889229,          4.11406690,          3.50872610,          3.64293287,          3.94650058,          4.38475113,          4.99812302,          3.70411227,          3.70411227,          4.65954652,          4.65954652,          4.79743851,          6.59487703,          0.01199201,          0.03773924,          0.02781623,          0.08119810,          0.01567700,          0.01567700,          0.04676097,          0.04676097,          0.09395125,          0.18790251,          5.22570479,         15.80014914,         11.04848485,         30.20697227,          6.77484182,          6.77484182,         18.01711987,         18.01711987,         35.67436064,         60.85052252
,,,,,,  305.000000,    9.143670,          0.60431509,          1.83122497,          0.63887315,          1.75026597,          0.78378150,          0.78378150,          1.04271898,          1.04271898,          4.13521260,          3.52613449,          3.64341243,          3.94800363,          4.38586337,          5.00135689,          3.70473887,          3.70473887,          4.66141383,          4.66141383,          4.80117830,          6.60235660,          0.01201819,          0.03791022,          0.02788016,          0.08156676,          0.01571794,          0.01571794,          0.04691184,          0.04691184,          0.09440904,          0.18881808,          5.24020515,         15.87912438,         11.07973782,         30.35420720,          6.79641446,          6.79641446,         18.08348476,         18.08348476,         35.85772163,         61.15242966
,,,,,,  305.200000,    9.149666,          0.60599266,          1.84039607,          0.64068118,          1.75881341,          0.78627918,          0.78627918,          1.04656433,          1.04656433,          4.15650498,          3.54365979,          3.64389303,          3.94951345,          4.38697816,          5.00460535,          3.70536711,          3.70536711,          4.66328714,          4.66328714,          4.80493620,          6.60987240,          0.01204445,          0.03808240,          0.02794429,          0.08193800,          0.01575903,          0.01575903,          0.04706344,          0.04706344,          0.09487011,          0.18974023,          5.25475188,         15.95864985,         11.11109366,         30.50244210,          6.81807263,          6.81807263,         18.15017316,         18.15017316,         36.04235449,         61.45636443
,,,,,,  305.400000,    9.155662,          0.60767560,          1.84963122,          0.64249515,          1.76741902,          0.78878677,          0.78878677,          1.05042845,          1.05042845,          4.17794537,          3.56130305,          3.64437468,          3.95103009,          4.38809552,          5.00786851,          3.70599698,          3.70599698,          4.66516649,          4.66516649,          4.80871234,          6.61742469,          0.01207079,          0.03825578,          0.02800862,          0.08231183,          0.01580028,          0.01580028,          0.04721579,          0.04721579,          0.09533451,          0.19066901,          5.26934519,         16.03873071,         11.14255279,         30.65168612,          6.83981677,          6.83981677,         18.21718722,         18.21718722,         36.22827082,         61.76234486
,,,,,,  305.600000,    9.161658,          0.60936394,          1.85893101,          0.64431511,          1.77608336,          0.79130433,          0.79130433,          1.05431148,          1.05431148,          4.19953513,          3.57906532,          3.64485738,          3.95255359,          4.38921545,          5.01114647,          3.70662851,          3.70662851,          4.66705190,          4.66705190,          4.81250686,          6.62501372,          0.01209720,          0.03843037,          0.02807316,          0.08268829,          0.01584169,          0.01584169,          0.04736888,          0.04736888,          0.09580225,          0.19160451,          5.28398525,         16.11937215,         11.17411566,         30.80194850,          6.86164734,          6.86164734,         18.28452913,         18.28452913,         36.41548235,         62.07038919
,,,,,,  305.800000,    9.167653,          0.61105768,          1.86829606,          0.64614108,          1.78480696,          0.79383192,          0.79383192,          1.05821354,          1.05821354,          4.22127562,          3.59694765,          3.64534114,          3.95408399,          4.39033795,          5.01443933,          3.70726168,          3.70726168,          4.66894341,          4.66894341,          4.81631988,          6.63263976,          0.01212370,          0.03860620,          0.02813790,          0.08306738,          0.01588325,          0.01588325,          0.04752274,          0.04752274,          0.09627339,          0.19254677,          5.29867225,         16.20057942,         11.20578271,         30.95323859,          6.88356479,          6.88356479,         18.35220107,         18.35220107,         36.60400095,         62.38051587
