../../../pdielec -method ap -method maxwell -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -csv command.csv -program abinit AlAs.out
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  344.26,         5.179774,               21887.651109,  2786.8223,     5.0
   4,  344.26,         5.179774,               21887.651626,  2786.8224,     5.0
   5,  344.26,         5.179773,               21887.650695,  2786.8222,     5.0
,,,,,,cm-1,thz,ap_noshape(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape(0 0 1)_real_dielectric(vf=0.1),maxwell_plate(0 0 1)_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape(0 0 1)_imag_dielectric(vf=0.1),maxwell_plate(0 0 1)_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    7.800000,    0.233838,          0.00022774,          0.00016640,          0.00004781,          0.00016640,          2.98684233,          2.73366156,          2.42021658,          2.73366156,          0.00006940,          0.00004851,          0.00001311,          0.00004851,          0.00085468,          0.00062445,          0.00017943,          0.00062445
,,,,,,    8.000000,    0.239834,          0.00023958,          0.00017505,          0.00005030,          0.00017505,          2.98684795,          2.73366549,          2.42021764,          2.73366549,          0.00007118,          0.00004975,          0.00001345,          0.00004975,          0.00089912,          0.00065692,          0.00018876,          0.00065692
,,,,,,    8.200000,    0.245830,          0.00025173,          0.00018392,          0.00005285,          0.00018392,          2.98685372,          2.73366952,          2.42021873,          2.73366952,          0.00007297,          0.00005100,          0.00001379,          0.00005100,          0.00094469,          0.00069022,          0.00019832,          0.00069022
,,,,,,    8.400000,    0.251826,          0.00026417,          0.00019301,          0.00005546,          0.00019301,          2.98685963,          2.73367365,          2.42021985,          2.73367365,          0.00007475,          0.00005225,          0.00001413,          0.00005225,          0.00099138,          0.00072433,          0.00020812,          0.00072433
,,,,,,    8.600000,    0.257822,          0.00027691,          0.00020232,          0.00005813,          0.00020232,          2.98686568,          2.73367788,          2.42022099,          2.73367788,          0.00007653,          0.00005350,          0.00001446,          0.00005350,          0.00103921,          0.00075928,          0.00021816,          0.00075928
,,,,,,    8.800000,    0.263817,          0.00028996,          0.00021185,          0.00006087,          0.00021185,          2.98687187,          2.73368221,          2.42022216,          2.73368221,          0.00007832,          0.00005474,          0.00001480,          0.00005474,          0.00108817,          0.00079505,          0.00022844,          0.00079505
,,,,,,    9.000000,    0.269813,          0.00030331,          0.00022161,          0.00006367,          0.00022161,          2.98687820,          2.73368664,          2.42022336,          2.73368664,          0.00008010,          0.00005599,          0.00001514,          0.00005599,          0.00113827,          0.00083165,          0.00023896,          0.00083165
,,,,,,    9.200000,    0.275809,          0.00031696,          0.00023158,          0.00006654,          0.00023158,          2.98688468,          2.73369116,          2.42022458,          2.73369117,          0.00008189,          0.00005724,          0.00001547,          0.00005724,          0.00118949,          0.00086908,          0.00024971,          0.00086908
,,,,,,    9.400000,    0.281805,          0.00033091,          0.00024177,          0.00006947,          0.00024177,          2.98689130,          2.73369579,          2.42022584,          2.73369579,          0.00008367,          0.00005849,          0.00001581,          0.00005849,          0.00124185,          0.00090733,          0.00026070,          0.00090733
,,,,,,    9.600000,    0.287801,          0.00034516,          0.00025219,          0.00007246,          0.00025219,          2.98689807,          2.73370052,          2.42022711,          2.73370052,          0.00008546,          0.00005973,          0.00001615,          0.00005973,          0.00129533,          0.00094641,          0.00027192,          0.00094641
,,,,,,    9.800000,    0.293797,          0.00035972,          0.00026282,          0.00007551,          0.00026282,          2.98690497,          2.73370535,          2.42022842,          2.73370535,          0.00008724,          0.00006098,          0.00001649,          0.00006098,          0.00134996,          0.00098632,          0.00028339,          0.00098632
,,,,,,   10.000000,    0.299792,          0.00037457,          0.00027367,          0.00007863,          0.00027367,          2.98691202,          2.73371028,          2.42022975,          2.73371028,          0.00008903,          0.00006223,          0.00001682,          0.00006223,          0.00140571,          0.00102705,          0.00029509,          0.00102705
,,,,,,   10.200000,    0.305788,          0.00038973,          0.00028475,          0.00008181,          0.00028475,          2.98691922,          2.73371530,          2.42023111,          2.73371530,          0.00009082,          0.00006348,          0.00001716,          0.00006348,          0.00146260,          0.00106862,          0.00030703,          0.00106862
,,,,,,   10.400000,    0.311784,          0.00040519,          0.00029605,          0.00008506,          0.00029605,          2.98692655,          2.73372043,          2.42023250,          2.73372043,          0.00009261,          0.00006473,          0.00001750,          0.00006473,          0.00152062,          0.00111101,          0.00031921,          0.00111101
,,,,,,   10.600000,    0.317780,          0.00042096,          0.00030756,          0.00008837,          0.00030756,          2.98693403,          2.73372566,          2.42023391,          2.73372566,          0.00009439,          0.00006598,          0.00001784,          0.00006598,          0.00157978,          0.00115424,          0.00033162,          0.00115424
,,,,,,   10.800000,    0.323776,          0.00043702,          0.00031930,          0.00009174,          0.00031930,          2.98694165,          2.73373098,          2.42023535,          2.73373099,          0.00009618,          0.00006723,          0.00001817,          0.00006723,          0.00164007,          0.00119829,          0.00034428,          0.00119829
,,,,,,   11.000000,    0.329772,          0.00045339,          0.00033126,          0.00009517,          0.00033126,          2.98694942,          2.73373641,          2.42023682,          2.73373641,          0.00009797,          0.00006848,          0.00001851,          0.00006848,          0.00170150,          0.00124317,          0.00035717,          0.00124317
,,,,,,   11.200000,    0.335768,          0.00047006,          0.00034344,          0.00009867,          0.00034344,          2.98695732,          2.73374194,          2.42023831,          2.73374194,          0.00009976,          0.00006973,          0.00001885,          0.00006973,          0.00176407,          0.00128888,          0.00037030,          0.00128888
,,,,,,   11.400000,    0.341763,          0.00048704,          0.00035584,          0.00010223,          0.00035584,          2.98696537,          2.73374757,          2.42023983,          2.73374757,          0.00010155,          0.00007098,          0.00001919,          0.00007098,          0.00182777,          0.00133542,          0.00038367,          0.00133542
,,,,,,   11.600000,    0.347759,          0.00050431,          0.00036847,          0.00010586,          0.00036847,          2.98697357,          2.73375329,          2.42024138,          2.73375329,          0.00010334,          0.00007223,          0.00001953,          0.00007223,          0.00189261,          0.00138280,          0.00039728,          0.00138280
,,,,,,   11.800000,    0.353755,          0.00052189,          0.00038131,          0.00010955,          0.00038131,          2.98698190,          2.73375912,          2.42024296,          2.73375912,          0.00010513,          0.00007348,          0.00001986,          0.00007348,          0.00195859,          0.00143100,          0.00041112,          0.00143100
,,,,,,   12.000000,    0.359751,          0.00053978,          0.00039438,          0.00011330,          0.00039438,          2.98699038,          2.73376505,          2.42024456,          2.73376505,          0.00010692,          0.00007473,          0.00002020,          0.00007473,          0.00202570,          0.00148004,          0.00042521,          0.00148004
,,,,,,   12.200000,    0.365747,          0.00055797,          0.00040767,          0.00011712,          0.00040767,          2.98699901,          2.73377107,          2.42024619,          2.73377108,          0.00010871,          0.00007598,          0.00002054,          0.00007598,          0.00209395,          0.00152991,          0.00043953,          0.00152991
,,,,,,   12.400000,    0.371743,          0.00057646,          0.00042118,          0.00012100,          0.00042118,          2.98700777,          2.73377720,          2.42024784,          2.73377720,          0.00011050,          0.00007724,          0.00002088,          0.00007724,          0.00216335,          0.00158061,          0.00045409,          0.00158061
,,,,,,   12.600000,    0.377738,          0.00059525,          0.00043491,          0.00012494,          0.00043491,          2.98701668,          2.73378343,          2.42024953,          2.73378343,          0.00011229,          0.00007849,          0.00002122,          0.00007849,          0.00223388,          0.00163214,          0.00046889,          0.00163214
,,,,,,   12.800000,    0.383734,          0.00061435,          0.00044886,          0.00012895,          0.00044886,          2.98702574,          2.73378976,          2.42025124,          2.73378976,          0.00011408,          0.00007974,          0.00002155,          0.00007974,          0.00230556,          0.00168451,          0.00048393,          0.00168451
,,,,,,   13.000000,    0.389730,          0.00063375,          0.00046304,          0.00013302,          0.00046304,          2.98703493,          2.73379619,          2.42025298,          2.73379619,          0.00011588,          0.00008099,          0.00002189,          0.00008099,          0.00237837,          0.00173771,          0.00049921,          0.00173771
,,,,,,   13.200000,    0.395726,          0.00065346,          0.00047744,          0.00013716,          0.00047744,          2.98704427,          2.73380271,          2.42025474,          2.73380272,          0.00011767,          0.00008225,          0.00002223,          0.00008225,          0.00245233,          0.00179175,          0.00051473,          0.00179175
,,,,,,   13.400000,    0.401722,          0.00067347,          0.00049206,          0.00014136,          0.00049206,          2.98705376,          2.73380934,          2.42025653,          2.73380934,          0.00011946,          0.00008350,          0.00002257,          0.00008350,          0.00252743,          0.00184662,          0.00053049,          0.00184662
,,,,,,   13.600000,    0.407718,          0.00069379,          0.00050690,          0.00014562,          0.00050690,          2.98706338,          2.73381607,          2.42025835,          2.73381607,          0.00012126,          0.00008476,          0.00002291,          0.00008476,          0.00260367,          0.00190232,          0.00054649,          0.00190232
,,,,,,   13.800000,    0.413714,          0.00071441,          0.00052197,          0.00014995,          0.00052197,          2.98707315,          2.73382290,          2.42026020,          2.73382290,          0.00012305,          0.00008601,          0.00002325,          0.00008601,          0.00268106,          0.00195887,          0.00056273,          0.00195887
,,,,,,   14.000000,    0.419709,          0.00073533,          0.00053726,          0.00015434,          0.00053726,          2.98708307,          2.73382983,          2.42026207,          2.73382983,          0.00012485,          0.00008726,          0.00002359,          0.00008726,          0.00275958,          0.00201624,          0.00057920,          0.00201624
,,,,,,   14.200000,    0.425705,          0.00075656,          0.00055277,          0.00015879,          0.00055277,          2.98709312,          2.73383686,          2.42026397,          2.73383686,          0.00012664,          0.00008852,          0.00002393,          0.00008852,          0.00283926,          0.00207445,          0.00059592,          0.00207445
,,,,,,   14.400000,    0.431701,          0.00077810,          0.00056850,          0.00016331,          0.00056850,          2.98710332,          2.73384399,          2.42026590,          2.73384399,          0.00012844,          0.00008977,          0.00002426,          0.00008977,          0.00292008,          0.00213350,          0.00061288,          0.00213350
,,,,,,   14.600000,    0.437697,          0.00079994,          0.00058446,          0.00016789,          0.00058446,          2.98711367,          2.73385122,          2.42026785,          2.73385122,          0.00013023,          0.00009103,          0.00002460,          0.00009103,          0.00300204,          0.00219339,          0.00063007,          0.00219339
,,,,,,   14.800000,    0.443693,          0.00082209,          0.00060064,          0.00017254,          0.00060064,          2.98712416,          2.73385855,          2.42026983,          2.73385855,          0.00013203,          0.00009229,          0.00002494,          0.00009229,          0.00308516,          0.00225412,          0.00064751,          0.00225412
,,,,,,   15.000000,    0.449689,          0.00084454,          0.00061705,          0.00017725,          0.00061705,          2.98713479,          2.73386598,          2.42027184,          2.73386598,          0.00013383,          0.00009354,          0.00002528,          0.00009354,          0.00316942,          0.00231568,          0.00066519,          0.00231568
,,,,,,   15.200000,    0.455685,          0.00086730,          0.00063368,          0.00018202,          0.00063368,          2.98714557,          2.73387352,          2.42027388,          2.73387352,          0.00013563,          0.00009480,          0.00002562,          0.00009480,          0.00325482,          0.00237808,          0.00068311,          0.00237808
,,,,,,   15.400000,    0.461680,          0.00089036,          0.00065053,          0.00018686,          0.00065053,          2.98715649,          2.73388115,          2.42027594,          2.73388115,          0.00013743,          0.00009606,          0.00002596,          0.00009606,          0.00334138,          0.00244132,          0.00070126,          0.00244132
,,,,,,   15.600000,    0.467676,          0.00091373,          0.00066760,          0.00019177,          0.00066760,          2.98716755,          2.73388888,          2.42027803,          2.73388888,          0.00013923,          0.00009731,          0.00002630,          0.00009731,          0.00342909,          0.00250540,          0.00071966,          0.00250540
,,,,,,   15.800000,    0.473672,          0.00093741,          0.00068490,          0.00019673,          0.00068490,          2.98717876,          2.73389672,          2.42028015,          2.73389672,          0.00014103,          0.00009857,          0.00002664,          0.00009857,          0.00351794,          0.00257033,          0.00073830,          0.00257033
,,,,,,   16.000000,    0.479668,          0.00096139,          0.00070243,          0.00020176,          0.00070243,          2.98719011,          2.73390465,          2.42028229,          2.73390465,          0.00014283,          0.00009983,          0.00002698,          0.00009983,          0.00360795,          0.00263609,          0.00075719,          0.00263609
,,,,,,   16.200000,    0.485664,          0.00098568,          0.00072017,          0.00020686,          0.00072017,          2.98720160,          2.73391269,          2.42028446,          2.73391269,          0.00014463,          0.00010109,          0.00002732,          0.00010109,          0.00369911,          0.00270269,          0.00077631,          0.00270269
,,,,,,   16.400000,    0.491660,          0.00101028,          0.00073815,          0.00021202,          0.00073815,          2.98721324,          2.73392082,          2.42028666,          2.73392082,          0.00014643,          0.00010235,          0.00002766,          0.00010235,          0.00379142,          0.00277014,          0.00079567,          0.00277014
,,,,,,   16.600000,    0.497655,          0.00103519,          0.00075634,          0.00021724,          0.00075634,          2.98722503,          2.73392906,          2.42028889,          2.73392906,          0.00014823,          0.00010361,          0.00002800,          0.00010361,          0.00388488,          0.00283843,          0.00081528,          0.00283843
,,,,,,   16.800000,    0.503651,          0.00106040,          0.00077476,          0.00022253,          0.00077476,          2.98723696,          2.73393740,          2.42029114,          2.73393740,          0.00015003,          0.00010487,          0.00002834,          0.00010487,          0.00397950,          0.00290756,          0.00083512,          0.00290756
,,,,,,   17.000000,    0.509647,          0.00108592,          0.00079341,          0.00022788,          0.00079341,          2.98724903,          2.73394583,          2.42029342,          2.73394583,          0.00015184,          0.00010613,          0.00002868,          0.00010613,          0.00407527,          0.00297753,          0.00085521,          0.00297753
