,,,,,,  905.800000,   27.155201,         52.94171905,         22.25734198,         34.42465825,         34.42457071,         21.08108551,         20.66248670,          2.37089215,          2.23829470,          2.29447095,          2.29447063,          2.25603584,          2.24099517,          0.01023177,          0.00417954,          0.00654496,          0.00654495,          0.00397431,          0.00388239,         16.42443302,          6.90503121,         10.67977209,         10.67974493,          6.54011398,          6.41024951
,,,,,,  906.000000,   27.161197,         55.22004608,         23.10777079,         35.76366511,         35.76357276,         21.69796754,         21.37801544,          2.37291417,          2.23912328,          2.29576672,          2.29576641,          2.25682640,          2.24176588,          0.01067429,          0.00433908,          0.00679996,          0.00679994,          0.00409042,          0.00401664,         17.13125234,          7.16886494,         11.09518037,         11.09515172,          6.73149306,          6.63223237
,,,,,,  906.200000,   27.167193,         57.71338513,         24.03392683,         37.22663064,         37.22653301,         22.36644156,         22.15595752,          2.37501969,          2.23998228,          2.29711073,          2.29711041,          2.25763920,          2.24256224,          0.01115875,          0.00451285,          0.00707863,          0.00707861,          0.00421627,          0.00416262,         17.90477614,          7.45619199,         11.54904511,         11.54901482,          6.93887784,          6.87357809
,,,,,,  906.400000,   27.173188,         60.45038478,         25.04529548,         38.82993798,         38.82983454,         23.09283223,         23.00405460,          2.37721606,          2.24087424,          2.29850713,          2.29850681,          2.25847600,          2.24338635,          0.01169077,          0.00470266,          0.00738412,          0.00738409,          0.00435305,          0.00432180,         18.75389227,          7.76995507,         12.04644894,         12.04641685,          7.16423046,          7.13668843
,,,,,,  906.600000,   27.179184,         63.46458474,         26.15288258,         40.59274952,         40.59263967,         23.88446042,         23.93127820,          2.37951154,          2.24180201,          2.29996059,          2.29996026,          2.25933875,          2.24424056,          0.01227691,          0.00491056,          0.00772008,          0.00772006,          0.00450214,          0.00449587,         19.68900594,          8.11356858,         12.59333674,         12.59330266,          7.40982211,          7.42434668
,,,,,,  906.800000,   27.185180,         66.79543961,         27.36951308,         42.53758548,         42.53746853,         24.74983561,         24.94806917,          2.38191537,          2.24276878,          2.30147634,          2.30147600,          2.26022964,          2.24512750,          0.01292493,          0.00513897,          0.00809084,          0.00809081,          0.00466515,          0.00468678,         20.72235741,          8.49101129,         13.19669508,         13.19665880,          7.67829274,          7.73979195
,,,,,,  907.000000,   27.191176,         70.48959781,         28.71019971,         44.69104589,         44.69092106,         25.69889250,         26.06663268,          2.38443794,          2.24377809,          2.30306024,          2.30305990,          2.26115109,          2.24605010,          0.01364397,          0.00539073,          0.00850148,          0.00850146,          0.00484396,          0.00489684,         21.86841868,          8.90694070,         13.86477627,         13.86473754,          7.97272446,          8.08681074
,,,,,,  907.200000,   27.197172,         74.60250945,         30.19260040,         47.08471754,         47.08458390,         26.74328373,         27.30130377,          2.38709096,          2.24483394,          2.30471891,          2.30471857,          2.26210583,          2.24701165,          0.01444492,          0.00566915,          0.00895808,          0.00895805,          0.00504077,          0.00512875,         23.14439239,          9.36683492,         14.60737965,         14.60733819,          8.29673233,          8.46985030
,,,,,,  907.400000,   27.203168,         79.20046165,         31.83758971,         49.75632075,         49.75617726,         27.89674415,         28.66900294,          2.38988767,          2.24594082,          2.30645981,          2.30645946,          2.26309693,          2.24801585,          0.01534080,          0.00597818,          0.00946785,          0.00946783,          0.00525817,          0.00538570,         24.57084320,          9.87717001,         15.43620744,         15.43616292,          8.65457741,          8.89415997
,,,,,,  907.600000,   27.209163,         84.36317316,         33.66997701,         52.75117001,         52.75101544,         29.17554701,         30.18980781,          2.39284301,          2.24710379,          2.30829136,          2.30829101,          2.26412783,          2.24906686,          0.01634731,          0.00632250,          0.01003950,          0.01003947,          0.00549925,          0.00567147,         26.17250274,         10.44564272,         16.36531783,         16.36526987,          9.05130824,          9.36596856
,,,,,,  907.800000,   27.215159,         90.18712649,         35.71941540,         56.12404776,         56.12388066,         30.59907905,         31.88767506,          2.39597389,          2.24832855,          2.31022309,          2.31022274,          2.26520240,          2.25016937,          0.01748342,          0.00670769,          0.01068354,          0.01068351,          0.00576767,          0.00599058,         27.97930337,         11.08145252,         17.41170630,         17.41165446,          9.49293928,          9.89270829
