../../../pdielec -vmin 300 -vmax 800 -sphere -needle 0 0 1 -dielectric 3 -vf 0.1 -vf 0.2 -method maxwell -method bruggeman -method ap -sigma 10 -csv command.csv -program experiment data.expt
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   0,  388.28,         9.290762,               39259.045473,  2499.3085,    10.0
   1,  388.28,         9.290762,               39259.045473,  2499.3085,    10.0
   2,  388.28,         9.290762,               39259.045473,  2499.3085,    10.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.2),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.2),maxwell_needle[0 0 1]_real_dielectric(vf=0.2),bruggeman_sphere_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_sphere_real_dielectric(vf=0.2),bruggeman_needle[0 0 1]_real_dielectric(vf=0.2),ap_noshape_real_dielectric(vf=0.1),ap_noshape_real_dielectric(vf=0.2),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.2),maxwell_needle[0 0 1]_imag_dielectric(vf=0.2),bruggeman_sphere_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_sphere_imag_dielectric(vf=0.2),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.2),ap_noshape_imag_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.2),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.2),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_sphere_absorption_coefficent_cm-1(vf=0.2),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.2),ap_noshape_absorption_coefficent_cm-1(vf=0.1),ap_noshape_absorption_coefficent_cm-1(vf=0.2)
,,,,,,  304.000000,    9.113691,          0.59600434,          1.78631071,          0.62991876,          1.70838388,          0.77143722,          0.77143722,          1.02376712,          1.02376712,          4.03092829,          3.44024303,          3.64102617,          3.94055860,          4.38033012,          4.98533892,          3.70162353,          3.70162353,          4.65214111,          4.65214111,          4.78266655,          6.56533311,          0.01188806,          0.03706719,          0.02756253,          0.07974908,          0.01551482,          0.01551482,          0.04616491,          0.04616491,          0.09215296,          0.18430592,          5.16816292,         15.48972746,         10.92449346,         29.62799308,          6.68940300,          6.68940300,         17.75488837,         17.75488837,         34.95359471,         59.66311073
,,,,,,  304.200000,    9.119687,          0.59765537,          1.79517034,          0.63169736,          1.71664817,          0.77388609,          0.77388609,          1.02752041,          1.02752041,          4.05150040,          3.45719394,          3.64150157,          3.94203504,          4.38143222,          4.98851543,          3.70224366,          3.70224366,          4.65398468,          4.65398468,          4.78633518,          6.57267035,          0.01191393,          0.03723352,          0.02762566,          0.08010771,          0.01555514,          0.01555514,          0.04631287,          0.04631287,          0.09259790,          0.18519580,          5.18247962,         15.56655243,         10.95533919,         29.77131828,          6.71063802,          6.71063802,         17.81998053,         17.81998053,         35.13198271,         59.95708545
,,,,,,  304.400000,    9.125682,          0.59931167,          1.80409112,          0.63348179,          1.72496808,          0.77634462,          0.77634462,          1.03129186,          1.03129186,          4.07221399,          3.47425773,          3.64197800,          3.94351807,          4.38253685,          4.99170613,          3.70286540,          3.70286540,          4.65583414,          4.65583414,          4.79002141,          6.58004282,          0.01193988,          0.03740100,          0.02768898,          0.08046882,          0.01559561,          0.01559561,          0.04646155,          0.04646155,          0.09304601,          0.18609202,          5.19684195,         15.64390767,         10.98628610,         29.91560794,          6.73195679,          6.73195679,         17.88538777,         17.88538777,         35.31159749,         60.25301762
,,,,,,  304.600000,    9.131678,          0.60097325,          1.81307363,          0.63527208,          1.73334410,          0.77881285,          0.77881285,          1.03508161,          1.03508161,          4.09307033,          3.49143538,          3.64245547,          3.94500773,          4.38364401,          4.99491113,          3.70348875,          3.70348875,          4.65768952,          4.65768952,          4.79372537,          6.58745075,          0.01196590,          0.03756964,          0.02775251,          0.08083242,          0.01563624,          0.01563624,          0.04661095,          0.04661095,          0.09349731,          0.18699462,          5.21125010,         15.72179809,         11.01733458,         30.06087078,          6.75335974,          6.75335974,         17.95111216,         17.95111216,         35.49245012,         60.55092452
,,,,,,  304.800000,    9.137674,          0.60264014,          1.82211842,          0.63706825,          1.74177675,          0.78129085,          0.78129085,          1.03888976,          1.03888976,          4.11407071,          3.50872790,          3.64293398,          3.94650407,          4.38475370,          4.99813052,          3.70411372,          3.70411372,          4.65955085,          4.65955085,          4.79744720,          6.59489440,          0.01199201,          0.03773944,          0.02781624,          0.08119854,          0.01567702,          0.01567702,          0.04676109,          0.04676109,          0.09395184,          0.18790369,          5.22570425,         15.80022866,         11.04848509,         30.20711563,          6.77484732,          6.77484732,         18.01715581,         18.01715581,         35.67455183,         60.85082358
,,,,,,  305.000000,    9.143670,          0.60431235,          1.83122608,          0.63887033,          1.75026653,          0.78377866,          0.78377866,          1.04271644,          1.04271644,          4.13521645,          3.52613631,          3.64341354,          3.94800713,          4.38586595,          5.00136441,          3.70474032,          3.70474032,          4.66141816,          4.66141816,          4.80118701,          6.60237402,          0.01201819,          0.03791043,          0.02788017,          0.08156721,          0.01571796,          0.01571796,          0.04691195,          0.04691195,          0.09440963,          0.18881926,          5.24020459,         15.87920439,         11.07973803,         30.35435143,          6.79641997,          6.79641997,         18.08352083,         18.08352083,         35.85791395,         61.15273244
,,,,,,  305.200000,    9.149666,          0.60598991,          1.84039720,          0.64067835,          1.75881398,          0.78627633,          0.78627633,          1.04656178,          1.04656178,          4.15650886,          3.54366164,          3.64389414,          3.94951696,          4.38698074,          5.00461290,          3.70536856,          3.70536856,          4.66329148,          4.66329148,          4.80494493,          6.60988987,          0.01204445,          0.03808261,          0.02794430,          0.08193845,          0.01575905,          0.01575905,          0.04706356,          0.04706356,          0.09487071,          0.18974142,          5.25475132,         15.95873037,         11.11109384,         30.50258721,          6.81807814,          6.81807814,         18.15020936,         18.15020936,         36.04254795,         61.45666895
,,,,,,  305.400000,    9.155662,          0.60767284,          1.84963236,          0.64249231,          1.76741961,          0.78878391,          0.78878391,          1.05042589,          1.05042589,          4.17794929,          3.56130492,          3.64437579,          3.95103360,          4.38809810,          5.00787608,          3.70599844,          3.70599844,          4.66517083,          4.66517083,          4.80872110,          6.61744220,          0.01207079,          0.03825599,          0.02800863,          0.08231229,          0.01580030,          0.01580030,          0.04721590,          0.04721590,          0.09533511,          0.19067021,          5.26934460,         16.03881173,         11.14255294,         30.65183212,          6.83982229,          6.83982229,         18.21722357,         18.21722357,         36.22846543,         61.76265113
,,,,,,  305.600000,    9.161658,          0.60936117,          1.85893217,          0.64431226,          1.77608396,          0.79130146,          0.79130146,          1.05430891,          1.05430891,          4.19953908,          3.57906721,          3.64485849,          3.95255711,          4.38921803,          5.01115405,          3.70662996,          3.70662996,          4.66705625,          4.66705625,          4.81251564,          6.62503128,          0.01209720,          0.03843059,          0.02807317,          0.08268874,          0.01584170,          0.01584170,          0.04736900,          0.04736900,          0.09580286,          0.19160571,          5.28398465,         16.11945367,         11.17411579,         30.80209539,          6.86165286,          6.86165286,         18.28456562,         18.28456562,         36.41567812,         62.07069723
,,,,,,  305.800000,    9.167653,          0.61105490,          1.86829724,          0.64613822,          1.78480757,          0.79382903,          0.79382903,          1.05821096,          1.05821096,          4.22127961,          3.59694957,          3.64534225,          3.95408752,          4.39034053,          5.01444693,          3.70726313,          3.70726313,          4.66894776,          4.66894776,          4.81632868,          6.63265736,          0.01212370,          0.03860641,          0.02813791,          0.08306784,          0.01588327,          0.01588327,          0.04752285,          0.04752285,          0.09627399,          0.19254798,          5.29867164,         16.20066146,         11.20578280,         30.95338638,          6.88357032,          6.88357032,         18.35223770,         18.35223770,         36.60419788,         62.38082569
