../../../pdielec -processors 1 -size 0 -size 1 -size 2 -matrix ptfe -vmin 0 -vmax 1000 -mf 0.01 -method ap -method maxwell -sphere -needle 0 0 1 -csv command.csv -sigma 5 . -processors 1
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   91.25,         0.000000,                   0.000007,     0.0000,     5.0
   4,   91.25,         0.000000,                   0.000000,     0.0000,     5.0
   6,  349.99,        17.118884,               72337.557354,  9210.3039,     5.0
   7,  372.09,        16.426646,               69412.437372,  8837.8660,     5.0
   8,  372.09,        16.426556,               69412.054294,  8837.8172,     5.0
   9,  402.06,         0.000000,                   0.000001,     0.0000,     5.0
  10,  402.06,         0.000000,                   0.000010,     0.0000,     5.0
,,,,,cm-1,thz,ap_noshape_real_dielectric(mf=0.01),ap_noshape_imag_dielectric(mf=0.01),ap_noshape_absorption_coeficient_cm-1(mf=0.01),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01),ap_noshape_real_dielectric(mf=0.01/1mu),ap_noshape_imag_dielectric(mf=0.01/1mu),ap_noshape_absorption_coeficient_cm-1(mf=0.01/1mu),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/1mu),ap_noshape_real_dielectric(mf=0.01/2mu),ap_noshape_imag_dielectric(mf=0.01/2mu),ap_noshape_absorption_coeficient_cm-1(mf=0.01/2mu),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/2mu),maxwell_sphere_real_dielectric(mf=0.01),maxwell_sphere_imag_dielectric(mf=0.01),maxwell_sphere_absorption_coeficient_cm-1(mf=0.01),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01),maxwell_needle[0 0 1]_real_dielectric(mf=0.01),maxwell_needle[0 0 1]_imag_dielectric(mf=0.01),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(mf=0.01),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01),maxwell_sphere_real_dielectric(mf=0.01/1mu),maxwell_sphere_imag_dielectric(mf=0.01/1mu),maxwell_sphere_absorption_coeficient_cm-1(mf=0.01/1mu),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/1mu),maxwell_needle[0 0 1]_real_dielectric(mf=0.01/1mu),maxwell_needle[0 0 1]_imag_dielectric(mf=0.01/1mu),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(mf=0.01/1mu),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/1mu),maxwell_sphere_real_dielectric(mf=0.01/2mu),maxwell_sphere_imag_dielectric(mf=0.01/2mu),maxwell_sphere_absorption_coeficient_cm-1(mf=0.01/2mu),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/2mu),maxwell_needle[0 0 1]_real_dielectric(mf=0.01/2mu),maxwell_needle[0 0 1]_imag_dielectric(mf=0.01/2mu),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(mf=0.01/2mu),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(mf=0.01/2mu)
,,,,,    4.000000,    0.119917,          2.03707879,          0.00000332,          0.00002543,          0.00018699,          2.03707879,          0.00000332,          0.00002543,          0.00018699,          2.03707879,          0.00000332,          0.00002543,          0.00018699,          2.01475082,          0.00000052,          0.00000403,          0.00002963,          2.02062666,          0.00000153,          0.00001172,          0.00008620,          2.01475084,          0.00000052,          0.00000403,          0.00002963,          2.02062667,          0.00000153,          0.00001172,          0.00008620,          2.01475090,          0.00000052,          0.00000403,          0.00002962,          2.02062671,          0.00000153,          0.00001172,          0.00008620
,,,,,    4.200000,    0.125913,          2.03707907,          0.00000349,          0.00002803,          0.00020616,          2.03707907,          0.00000349,          0.00002803,          0.00020616,          2.03707907,          0.00000349,          0.00002803,          0.00020616,          2.01475086,          0.00000055,          0.00000444,          0.00003267,          2.02062679,          0.00000160,          0.00001292,          0.00009504,          2.01475089,          0.00000055,          0.00000444,          0.00003267,          2.02062680,          0.00000160,          0.00001292,          0.00009504,          2.01475096,          0.00000055,          0.00000444,          0.00003265,          2.02062684,          0.00000160,          0.00001292,          0.00009503
,,,,,    4.400000,    0.131909,          2.03707935,          0.00000366,          0.00003077,          0.00022627,          2.03707935,          0.00000366,          0.00003077,          0.00022627,          2.03707935,          0.00000366,          0.00003077,          0.00022627,          2.01475091,          0.00000058,          0.00000488,          0.00003585,          2.02062692,          0.00000168,          0.00001418,          0.00010431,          2.01475093,          0.00000058,          0.00000487,          0.00003585,          2.02062693,          0.00000168,          0.00001418,          0.00010431,          2.01475101,          0.00000058,          0.00000487,          0.00003583,          2.02062698,          0.00000168,          0.00001418,          0.00010430
,,,,,    4.600000,    0.137905,          2.03707965,          0.00000382,          0.00003363,          0.00024731,          2.03707965,          0.00000382,          0.00003363,          0.00024731,          2.03707965,          0.00000382,          0.00003363,          0.00024731,          2.01475096,          0.00000060,          0.00000533,          0.00003919,          2.02062706,          0.00000176,          0.00001550,          0.00011401,          2.01475098,          0.00000060,          0.00000533,          0.00003918,          2.02062707,          0.00000176,          0.00001550,          0.00011401,          2.01475107,          0.00000060,          0.00000533,          0.00003916,          2.02062712,          0.00000176,          0.00001550,          0.00011400
,,,,,    4.800000,    0.143900,          2.03707997,          0.00000399,          0.00003662,          0.00026930,          2.03707997,          0.00000399,          0.00003662,          0.00026930,          2.03707997,          0.00000399,          0.00003662,          0.00026930,          2.01475101,          0.00000063,          0.00000580,          0.00004267,          2.02062720,          0.00000183,          0.00001688,          0.00012415,          2.01475104,          0.00000063,          0.00000580,          0.00004267,          2.02062722,          0.00000183,          0.00001688,          0.00012414,          2.01475113,          0.00000063,          0.00000580,          0.00004264,          2.02062727,          0.00000183,          0.00001688,          0.00012413
,,,,,    5.000000,    0.149896,          2.03708029,          0.00000416,          0.00003973,          0.00029221,          2.03708029,          0.00000416,          0.00003973,          0.00029221,          2.03708029,          0.00000416,          0.00003973,          0.00029221,          2.01475106,          0.00000065,          0.00000630,          0.00004630,          2.02062735,          0.00000191,          0.00001832,          0.00013471,          2.01475109,          0.00000065,          0.00000630,          0.00004630,          2.02062737,          0.00000191,          0.00001832,          0.00013471,          2.01475119,          0.00000065,          0.00000629,          0.00004627,          2.02062742,          0.00000191,          0.00001832,          0.00013469
,,,,,    5.200000,    0.155892,          2.03708063,          0.00000432,          0.00004298,          0.00031607,          2.03708063,          0.00000432,          0.00004298,          0.00031607,          2.03708063,          0.00000432,          0.00004298,          0.00031607,          2.01475111,          0.00000068,          0.00000681,          0.00005008,          2.02062751,          0.00000198,          0.00001981,          0.00014571,          2.01475115,          0.00000068,          0.00000681,          0.00005007,          2.02062753,          0.00000198,          0.00001981,          0.00014571,          2.01475125,          0.00000068,          0.00000680,          0.00005004,          2.02062759,          0.00000198,          0.00001981,          0.00014569
,,,,,    5.400000,    0.161888,          2.03708098,          0.00000449,          0.00004635,          0.00034086,          2.03708098,          0.00000449,          0.00004635,          0.00034086,          2.03708098,          0.00000449,          0.00004635,          0.00034086,          2.01475117,          0.00000071,          0.00000734,          0.00005401,          2.02062767,          0.00000206,          0.00002137,          0.00015714,          2.01475120,          0.00000071,          0.00000734,          0.00005400,          2.02062769,          0.00000206,          0.00002137,          0.00015713,          2.01475132,          0.00000071,          0.00000734,          0.00005396,          2.02062775,          0.00000206,          0.00002136,          0.00015711
,,,,,    5.600000,    0.167884,          2.03708135,          0.00000466,          0.00004985,          0.00036659,          2.03708135,          0.00000466,          0.00004985,          0.00036659,          2.03708135,          0.00000466,          0.00004985,          0.00036659,          2.01475122,          0.00000073,          0.00000790,          0.00005808,          2.02062784,          0.00000214,          0.00002298,          0.00016900,          2.01475126,          0.00000073,          0.00000790,          0.00005808,          2.02062786,          0.00000214,          0.00002298,          0.00016899,          2.01475139,          0.00000073,          0.00000789,          0.00005803,          2.02062793,          0.00000214,          0.00002298,          0.00016897
,,,,,    5.800000,    0.173880,          2.03708173,          0.00000482,          0.00005347,          0.00039325,          2.03708173,          0.00000482,          0.00005347,          0.00039325,          2.03708173,          0.00000482,          0.00005347,          0.00039325,          2.01475128,          0.00000076,          0.00000847,          0.00006231,          2.02062801,          0.00000221,          0.00002465,          0.00018129,          2.01475133,          0.00000076,          0.00000847,          0.00006230,          2.02062803,          0.00000221,          0.00002465,          0.00018129,          2.01475146,          0.00000076,          0.00000846,          0.00006225,          2.02062811,          0.00000221,          0.00002465,          0.00018126
