../../../pdielec -processors 4 -program castep phonon -vmin 300 -vmax 800 -sphere -vf 0.1 -method mie -size 1.0 0.1 -sigma 5 -csv command.csv -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  388.28,         9.290771,               39259.082853,  4998.6217,     5.0
   4,  388.28,         9.290771,               39259.082853,  4998.6217,     5.0
   5,  388.28,         9.290771,               39259.082853,  4998.6217,     5.0
,,,,,,cm-1,thz,mie_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1/0.1mu),mie_sphere_real_dielectric(vf=0.1/1/0.1mu),mie_sphere_imag_dielectric(vf=0.1/1/0.1mu),mie_sphere_absorption_coefficent_cm-1(vf=0.1/1/0.1mu)
,,,,,,  320.200000,    9.599355,          0.84887091,          1.49517237,         -0.01030123,          7.36082513
,,,,,,  320.400000,    9.605350,          0.85208993,          1.49481322,         -0.01033260,          7.38873824
,,,,,,  320.600000,    9.611346,          0.85532475,          1.49445296,         -0.01036411,          7.41678842
,,,,,,  320.800000,    9.617342,          0.85857551,          1.49409159,         -0.01039576,          7.44497678
,,,,,,  321.000000,    9.623338,          0.86184234,          1.49372909,         -0.01042754,          7.47330444
,,,,,,  321.200000,    9.629334,          0.86512536,          1.49336547,         -0.01045948,          7.50177253
,,,,,,  321.400000,    9.635330,          0.86842471,          1.49300071,         -0.01049155,          7.53038222
,,,,,,  321.600000,    9.641325,          0.87174052,          1.49263480,         -0.01052377,          7.55913466
,,,,,,  321.800000,    9.647321,          0.87507293,          1.49226774,         -0.01055614,          7.58803105
,,,,,,  322.000000,    9.653317,          0.87842208,          1.49189952,         -0.01058865,          7.61707257
,,,,,,  322.200000,    9.659313,          0.88178811,          1.49153014,         -0.01062131,          7.64626045
,,,,,,  322.400000,    9.665309,          0.88517116,          1.49115958,         -0.01065412,          7.67559592
,,,,,,  322.600000,    9.671305,          0.88857137,          1.49078783,         -0.01068709,          7.70508023
,,,,,,  322.800000,    9.677301,          0.89198890,          1.49041490,         -0.01072020,          7.73471465
,,,,,,  323.000000,    9.683296,          0.89542388,          1.49004077,         -0.01075347,          7.76450047
,,,,,,  323.200000,    9.689292,          0.89887647,          1.48966543,         -0.01078690,          7.79443900
,,,,,,  323.400000,    9.695288,          0.90234683,          1.48928887,         -0.01082048,          7.82453155
,,,,,,  323.600000,    9.701284,          0.90583511,          1.48891109,         -0.01085422,          7.85477948
,,,,,,  323.800000,    9.707280,          0.90934146,          1.48853208,         -0.01088812,          7.88518415
,,,,,,  324.000000,    9.713276,          0.91286604,          1.48815183,         -0.01092218,          7.91574693
,,,,,,  324.200000,    9.719271,          0.91640903,          1.48777033,         -0.01095640,          7.94646925
,,,,,,  324.400000,    9.725267,          0.91997057,          1.48738757,         -0.01099079,          7.97735251
,,,,,,  324.600000,    9.731263,          0.92355084,          1.48700354,         -0.01102534,          8.00839817
,,,,,,  324.800000,    9.737259,          0.92715001,          1.48661824,         -0.01106006,          8.03960769
,,,,,,  325.000000,    9.743255,          0.93076825,          1.48623165,         -0.01109494,          8.07098258
,,,,,,  325.200000,    9.749251,          0.93440573,          1.48584377,         -0.01113000,          8.10252433
,,,,,,  325.400000,    9.755247,          0.93806264,          1.48545458,         -0.01116523,          8.13423449
,,,,,,  325.600000,    9.761242,          0.94173914,          1.48506408,         -0.01120063,          8.16611462
,,,,,,  325.800000,    9.767238,          0.94543543,          1.48467226,         -0.01123621,          8.19816630
,,,,,,  326.000000,    9.773234,          0.94915169,          1.48427910,         -0.01127196,          8.23039114
,,,,,,  326.200000,    9.779230,          0.95288811,          1.48388460,         -0.01130790,          8.26279077
,,,,,,  326.400000,    9.785226,          0.95664487,          1.48348875,         -0.01134401,          8.29536687
,,,,,,  326.600000,    9.791222,          0.96042218,          1.48309154,         -0.01138030,          8.32812110
,,,,,,  326.800000,    9.797218,          0.96422024,          1.48269296,         -0.01141678,          8.36105519
,,,,,,  327.000000,    9.803213,          0.96803923,          1.48229299,         -0.01145345,          8.39417088
,,,,,,  327.200000,    9.809209,          0.97187937,          1.48189163,         -0.01149030,          8.42746994
,,,,,,  327.400000,    9.815205,          0.97574086,          1.48148886,         -0.01152734,          8.46095416
,,,,,,  327.600000,    9.821201,          0.97962392,          1.48108468,         -0.01156457,          8.49462538
,,,,,,  327.800000,    9.827197,          0.98352876,          1.48067907,         -0.01160199,          8.52848544
,,,,,,  328.000000,    9.833193,          0.98745559,          1.48027203,         -0.01163961,          8.56253625
,,,,,,  328.200000,    9.839188,          0.99140465,          1.47986354,         -0.01167743,          8.59677971
,,,,,,  328.400000,    9.845184,          0.99537614,          1.47945358,         -0.01171545,          8.63121779
,,,,,,  328.600000,    9.851180,          0.99937031,          1.47904216,         -0.01175366,          8.66585246
,,,,,,  328.800000,    9.857176,          1.00338738,          1.47862926,         -0.01179208,          8.70068574
,,,,,,  329.000000,    9.863172,          1.00742759,          1.47821485,         -0.01183071,          8.73571969
,,,,,,  329.200000,    9.869168,          1.01149119,          1.47779895,         -0.01186955,          8.77095640
,,,,,,  329.400000,    9.875164,          1.01557841,          1.47738152,         -0.01190859,          8.80639798
,,,,,,  329.600000,    9.881159,          1.01968951,          1.47696256,         -0.01194785,          8.84204660
,,,,,,  329.800000,    9.887155,          1.02382474,          1.47654206,         -0.01198732,          8.87790446
,,,,,,  330.000000,    9.893151,          1.02798435,          1.47612000,         -0.01202701,          8.91397380
,,,,,,  330.200000,    9.899147,          1.03216862,          1.47569637,         -0.01206692,          8.95025689
,,,,,,  330.400000,    9.905143,          1.03637781,          1.47527116,         -0.01210705,          8.98675605
,,,,,,  330.600000,    9.911139,          1.04061218,          1.47484435,         -0.01214740,          9.02347364
,,,,,,  330.800000,    9.917135,          1.04487202,          1.47441594,         -0.01218799,          9.06041206
,,,,,,  331.000000,    9.923130,          1.04915761,          1.47398590,         -0.01222880,          9.09757375
,,,,,,  331.200000,    9.929126,          1.05346924,          1.47355422,         -0.01226984,          9.13496120
,,,,,,  331.400000,    9.935122,          1.05780719,          1.47312090,         -0.01231112,          9.17257695
,,,,,,  331.600000,    9.941118,          1.06217177,          1.47268590,         -0.01235264,          9.21042358
,,,,,,  331.800000,    9.947114,          1.06656328,          1.47224923,         -0.01239440,          9.24850372
,,,,,,  332.000000,    9.953110,          1.07098202,          1.47181086,         -0.01243640,          9.28682005
,,,,,,  332.200000,    9.959105,          1.07542832,          1.47137079,         -0.01247865,          9.32537529
,,,,,,  332.400000,    9.965101,          1.07990249,          1.47092898,         -0.01252114,          9.36417222
,,,,,,  332.600000,    9.971097,          1.08440486,          1.47048544,         -0.01256389,          9.40321369
,,,,,,  332.800000,    9.977093,          1.08893577,          1.47004015,         -0.01260690,          9.44250257
,,,,,,  333.000000,    9.983089,          1.09349554,          1.46959308,         -0.01265016,          9.48204180
,,,,,,  333.200000,    9.989085,          1.09808454,          1.46914422,         -0.01269369,          9.52183440
,,,,,,  333.400000,    9.995081,          1.10270310,          1.46869356,         -0.01273748,          9.56188341
,,,,,,  333.600000,   10.001076,          1.10735159,          1.46824108,         -0.01278153,          9.60219195
,,,,,,  333.800000,   10.007072,          1.11203038,          1.46778676,         -0.01282586,          9.64276320
,,,,,,  334.000000,   10.013068,          1.11673984,          1.46733058,         -0.01287047,          9.68360041
,,,,,,  334.200000,   10.019064,          1.12148036,          1.46687254,         -0.01291535,          9.72470688
,,,,,,  334.400000,   10.025060,          1.12625231,          1.46641260,         -0.01296052,          9.76608599
,,,,,,  334.600000,   10.031056,          1.13105610,          1.46595076,         -0.01300597,          9.80774117
,,,,,,  334.800000,   10.037051,          1.13589214,          1.46548699,         -0.01305172,          9.84967595
,,,,,,  335.000000,   10.043047,          1.14076083,          1.46502127,         -0.01309775,          9.89189389
,,,,,,  335.200000,   10.049043,          1.14566260,          1.46455359,         -0.01314409,          9.93439866
,,,,,,  335.400000,   10.055039,          1.15059788,          1.46408393,         -0.01319072,          9.97719400
,,,,,,  335.600000,   10.061035,          1.15556710,          1.46361227,         -0.01323766,         10.02028371
,,,,,,  335.800000,   10.067031,          1.16057072,          1.46313858,         -0.01328492,         10.06367168
,,,,,,  336.000000,   10.073027,          1.16560920,          1.46266285,         -0.01333248,         10.10736189
,,,,,,  336.200000,   10.079022,          1.17068300,          1.46218506,         -0.01338037,         10.15135839
,,,,,,  336.400000,   10.085018,          1.17579260,          1.46170518,         -0.01342857,         10.19566533
,,,,,,  336.600000,   10.091014,          1.18093849,          1.46122320,         -0.01347711,         10.24028695
,,,,,,  336.800000,   10.097010,          1.18612117,          1.46073909,         -0.01352598,         10.28522755
,,,,,,  337.000000,   10.103006,          1.19134114,          1.46025284,         -0.01357518,         10.33049158
,,,,,,  337.200000,   10.109002,          1.19659893,          1.45976441,         -0.01362473,         10.37608353
,,,,,,  337.400000,   10.114998,          1.20189507,          1.45927379,         -0.01367462,         10.42200803
,,,,,,  337.600000,   10.120993,          1.20723011,          1.45878095,         -0.01372487,         10.46826979
,,,,,,  337.800000,   10.126989,          1.21260459,          1.45828587,         -0.01377547,         10.51487364
,,,,,,  338.000000,   10.132985,          1.21801910,          1.45778853,         -0.01382643,         10.56182451
,,,,,,  338.200000,   10.138981,          1.22347421,          1.45728890,         -0.01387777,         10.60912744
,,,,,,  338.400000,   10.144977,          1.22897051,          1.45678696,         -0.01392948,         10.65678759
,,,,,,  338.600000,   10.150973,          1.23450861,          1.45628268,         -0.01398156,         10.70481024
,,,,,,  338.800000,   10.156968,          1.24008914,          1.45577603,         -0.01403403,         10.75320078
,,,,,,  339.000000,   10.162964,          1.24571274,          1.45526699,         -0.01408690,         10.80196474
,,,,,,  339.200000,   10.168960,          1.25138005,          1.45475554,         -0.01414016,         10.85110777
,,,,,,  339.400000,   10.174956,          1.25709175,          1.45424164,         -0.01419382,         10.90063566
,,,,,,  339.600000,   10.180952,          1.26284851,          1.45372527,         -0.01424789,         10.95055432
,,,,,,  339.800000,   10.186948,          1.26865103,          1.45320640,         -0.01430238,         11.00086983
,,,,,,  340.000000,   10.192944,          1.27450004,          1.45268500,         -0.01435730,         11.05158839
,,,,,,  340.200000,   10.198939,          1.28039626,          1.45216104,         -0.01441264,         11.10271636
,,,,,,  340.400000,   10.204935,          1.28634044,          1.45163449,         -0.01446842,         11.15426025
,,,,,,  340.600000,   10.210931,          1.29233336,          1.45110533,         -0.01452464,         11.20622674
,,,,,,  340.800000,   10.216927,          1.29837581,          1.45057352,         -0.01458132,         11.25862266
,,,,,,  341.000000,   10.222923,          1.30446858,          1.45003902,         -0.01463846,         11.31145502
,,,,,,  341.200000,   10.228919,          1.31061252,          1.44950182,         -0.01469606,         11.36473100
,,,,,,  341.400000,   10.234915,          1.31680846,          1.44896187,         -0.01475414,         11.41845796
,,,,,,  341.600000,   10.240910,          1.32305728,          1.44841914,         -0.01481270,         11.47264346
,,,,,,  341.800000,   10.246906,          1.32935988,          1.44787359,         -0.01487176,         11.52729521
,,,,,,  342.000000,   10.252902,          1.33571716,          1.44732520,         -0.01493131,         11.58242118
,,,,,,  342.200000,   10.258898,          1.34213006,          1.44677393,         -0.01499137,         11.63802949
,,,,,,  342.400000,   10.264894,          1.34859956,          1.44621974,         -0.01505196,         11.69412850
,,,,,,  342.600000,   10.270890,          1.35512663,          1.44566259,         -0.01511307,         11.75072679
,,,,,,  342.800000,   10.276885,          1.36171230,          1.44510245,         -0.01517471,         11.80783315
,,,,,,  343.000000,   10.282881,          1.36835759,          1.44453927,         -0.01523691,         11.86545660
,,,,,,  343.200000,   10.288877,          1.37506359,          1.44397302,         -0.01529966,         11.92360643
,,,,,,  343.400000,   10.294873,          1.38183140,          1.44340367,         -0.01536298,         11.98229215
,,,,,,  343.600000,   10.300869,          1.38866212,          1.44283116,         -0.01542688,         12.04152354
,,,,,,  343.800000,   10.306865,          1.39555694,          1.44225545,         -0.01549137,         12.10131065
,,,,,,  344.000000,   10.312861,          1.40251703,          1.44167651,         -0.01555645,         12.16166378
,,,,,,  344.200000,   10.318856,          1.40954362,          1.44109429,         -0.01562215,         12.22259355
,,,,,,  344.400000,   10.324852,          1.41663797,          1.44050875,         -0.01568848,         12.28411085
,,,,,,  344.600000,   10.330848,          1.42380137,          1.43991983,         -0.01575544,         12.34622689
,,,,,,  344.800000,   10.336844,          1.43103514,          1.43932750,         -0.01582305,         12.40895318
,,,,,,  345.000000,   10.342840,          1.43834065,          1.43873171,         -0.01589132,         12.47230157
,,,,,,  345.200000,   10.348836,          1.44571931,          1.43813240,         -0.01596026,         12.53628423
,,,,,,  345.400000,   10.354831,          1.45317256,          1.43752954,         -0.01602989,         12.60091372
,,,,,,  345.600000,   10.360827,          1.46070189,          1.43692306,         -0.01610023,         12.66620291
,,,,,,  345.800000,   10.366823,          1.46830884,          1.43631291,         -0.01617128,         12.73216509
,,,,,,  346.000000,   10.372819,          1.47599496,          1.43569905,         -0.01624307,         12.79881391
,,,,,,  346.200000,   10.378815,          1.48376190,          1.43508142,         -0.01631560,         12.86616344
,,,,,,  346.400000,   10.384811,          1.49161132,          1.43445997,         -0.01638890,         12.93422818
,,,,,,  346.600000,   10.390807,          1.49954493,          1.43383463,         -0.01646297,         13.00302303
,,,,,,  346.800000,   10.396802,          1.50756452,          1.43320535,         -0.01653785,         13.07256337
,,,,,,  347.000000,   10.402798,          1.51567190,          1.43257207,         -0.01661353,         13.14286504
,,,,,,  347.200000,   10.408794,          1.52386897,          1.43193473,         -0.01669005,         13.21394437
,,,,,,  347.400000,   10.414790,          1.53215766,          1.43129327,         -0.01676741,         13.28581817
,,,,,,  347.600000,   10.420786,          1.54053997,          1.43064762,         -0.01684565,         13.35850382
,,,,,,  347.800000,   10.426782,          1.54901797,          1.42999772,         -0.01692477,         13.43201920
,,,,,,  348.000000,   10.432778,          1.55759378,          1.42934351,         -0.01700480,         13.50638277
,,,,,,  348.200000,   10.438773,          1.56626961,          1.42868491,         -0.01708576,         13.58161358
,,,,,,  348.400000,   10.444769,          1.57504772,          1.42802185,         -0.01716768,         13.65773130
,,,,,,  348.600000,   10.450765,          1.58393044,          1.42735426,         -0.01725056,         13.73475621
,,,,,,  348.800000,   10.456761,          1.59292021,          1.42668208,         -0.01733444,         13.81270927
,,,,,,  349.000000,   10.462757,          1.60201951,          1.42600522,         -0.01741934,         13.89161212
,,,,,,  349.200000,   10.468753,          1.61123091,          1.42532360,         -0.01750528,         13.97148712
,,,,,,  349.400000,   10.474748,          1.62055710,          1.42463715,         -0.01759230,         14.05235735
,,,,,,  349.600000,   10.480744,          1.63000080,          1.42394579,         -0.01768040,         14.13424671
,,,,,,  349.800000,   10.486740,          1.63956489,          1.42324944,         -0.01776963,         14.21717985
,,,,,,  350.000000,   10.492736,          1.64925228,          1.42254800,         -0.01786001,         14.30118231
,,,,,,  350.200000,   10.498732,          1.65906604,          1.42184139,         -0.01795157,         14.38628048
,,,,,,  350.400000,   10.504728,          1.66900931,          1.42112953,         -0.01804434,         14.47250167
,,,,,,  350.600000,   10.510724,          1.67908535,          1.42041231,         -0.01813834,         14.55987412
,,,,,,  350.800000,   10.516719,          1.68929752,          1.41968965,         -0.01823362,         14.64842711
,,,,,,  351.000000,   10.522715,          1.69964934,          1.41896144,         -0.01833020,         14.73819090
,,,,,,  351.200000,   10.528711,          1.71014440,          1.41822759,         -0.01842812,         14.82919688
,,,,,,  351.400000,   10.534707,          1.72078646,          1.41748800,         -0.01852742,         14.92147752
,,,,,,  351.600000,   10.540703,          1.73157941,          1.41674256,         -0.01862812,         15.01506652
,,,,,,  351.800000,   10.546699,          1.74252726,          1.41599115,         -0.01873028,         15.10999877
,,,,,,  352.000000,   10.552695,          1.75363419,          1.41523368,         -0.01883392,         15.20631046
,,,,,,  352.200000,   10.558690,          1.76490453,          1.41447002,         -0.01893909,         15.30403913
,,,,,,  352.400000,   10.564686,          1.77634278,          1.41370007,         -0.01904584,         15.40322373
,,,,,,  352.600000,   10.570682,          1.78795358,          1.41292369,         -0.01915420,         15.50390465
,,,,,,  352.800000,   10.576678,          1.79974179,          1.41214076,         -0.01926422,         15.60612386
,,,,,,  353.000000,   10.582674,          1.81171242,          1.41135116,         -0.01937595,         15.70992492
,,,,,,  353.200000,   10.588670,          1.82387068,          1.41055475,         -0.01948944,         15.81535307
,,,,,,  353.400000,   10.594665,          1.83622202,          1.40975140,         -0.01960474,         15.92245534
