../../../pdielec -size 0 -size 1 -size 3 -processors 4 -method ap -method bruggeman -matrix ptfe -sigma 5 -ellipsoid 0 0 1 0.5 -csv command1.csv -masses program -program abinit BaTiO3.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   0,   65.74,         1.935128,                8177.076262,  1041.1377,     5.0
   1,   65.74,         1.935115,                8177.020635,  1041.1306,     5.0
   2,   65.75,         1.934571,                8174.722771,  1040.8380,     5.0
   3,  198.01,        37.112289,              156821.689833, 19967.1577,     5.0
   4,  198.01,        37.112483,              156822.507130, 19967.2618,     5.0
   5,  198.02,        37.125602,              156877.944975, 19974.3203,     5.0
   6,  270.59,         0.000000,                   0.000141,     0.0000,     5.0
   7,  270.59,         0.000000,                   0.000128,     0.0000,     5.0
   8,  270.59,         0.000000,                   0.000001,     0.0000,     5.0
   9,  279.35,        33.055024,              139677.308047, 17784.2672,     5.0
  10,  279.35,        33.063614,              139713.606233, 17788.8888,     5.0
  11,  279.35,        33.063542,              139713.302190, 17788.8501,     5.0
  12,  493.63,        20.513710,               86682.731944, 11036.7882,     5.0
  13,  493.63,        20.515522,               86690.388406, 11037.7631,     5.0
  14,  493.63,        20.515522,               86690.388408, 11037.7631,     5.0
,,,,,,cm-1,thz,ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/3mu)
,,,,,,   56.000000,    1.678838,         21.53070709,         21.53070709,         21.53070709,          0.34188074,          0.34190980,          0.33598907,         11.62181954,         11.62181954,         11.62181954,          2.77145727,          2.77185156,          2.77501330,          1.09255349,          1.09255349,          1.09255349,          0.00846249,          0.00846382,          0.00832199,         48.91923594,         48.91923594,         48.91923594,          0.77677638,          0.77684241,          0.76339010
,,,,,,   56.200000,    1.684834,         22.37754575,         22.37754575,         22.37754575,          0.35114359,          0.35118038,          0.34522177,         11.69980799,         11.69980799,         11.69980799,          2.77211164,          2.77250951,          2.77570012,          1.13535614,          1.13535614,          1.13535614,          0.00866187,          0.00866340,          0.00852130,         50.84331119,         50.84331119,         50.84331119,          0.79782220,          0.79790578,          0.78436741
,,,,,,   56.400000,    1.690829,         23.27209724,         23.27209724,         23.27209724,          0.36075700,          0.36080201,          0.35480800,         11.78040993,         11.78040993,         11.78040993,          2.77278073,          2.77318222,          2.77640202,          1.18069327,          1.18069327,          1.18069327,          0.00886852,          0.00887027,          0.00872797,         52.87579321,         52.87579321,         52.87579321,          0.81966453,          0.81976679,          0.80614800
,,,,,,   56.600000,    1.696825,         24.21792189,         24.21792189,         24.21792189,          0.37073866,          0.37079243,          0.36476572,         11.86374217,         11.86374217,         11.86374217,          2.77346505,          2.77387020,          2.77711952,          1.22876409,          1.22876409,          1.22876409,          0.00908282,          0.00908480,          0.00894237,         55.02477138,         55.02477138,         55.02477138,          0.84234355,          0.84246570,          0.82877261
,,,,,,   56.800000,    1.702821,         25.21890979,         25.21890979,         25.21890979,          0.38110715,          0.38117024,          0.37511376,         11.94992659,         11.94992659,         11.94992659,          2.77416512,          2.77457398,          2.77785315,          1.27978721,          1.27978721,          1.27978721,          0.00930514,          0.00930736,          0.00916489,         57.29908420,         57.29908420,         57.29908420,          0.86590146,          0.86604480,          0.85228406
,,,,,,   57.000000,    1.708817,         26.27931690,         26.27931690,         26.27931690,          0.39188226,          0.39195526,          0.38587218,         12.03909009,         12.03909009,         12.03909009,          2.77488150,          2.77529410,          2.77860348,          1.33400275,          1.33400275,          1.33400275,          0.00953588,          0.00953837,          0.00939593,         59.70840152,         59.70840152,         59.70840152,          0.89038323,          0.89054911,          0.87672793
,,,,,,   57.200000,    1.714813,         27.40380588,         27.40380588,         27.40380588,          0.40308501,          0.40316857,          0.39706233,         12.13136444,         12.13136444,         12.13136444,          2.77561475,          2.77603114,          2.77937109,          1.39167487,          1.39167487,          1.39167487,          0.00977548,          0.00977824,          0.00963593,         62.26331724,         62.26331724,         62.26331724,          0.91583664,          0.91602651,          0.90215271
,,,,,,   57.400000,    1.720809,         28.59749202,         28.59749202,         28.59749202,          0.41473777,          0.41483257,          0.40870689,         12.22688600,         12.22688600,         12.22688600,          2.77636549,          2.77678571,          2.78015661,          1.45309462,          1.45309462,          1.45309462,          0.01002439,          0.01002744,          0.00988536,         64.97545361,         64.97545361,         64.97545361,          0.94231252,          0.94252791,          0.92860995
,,,,,,   57.600000,    1.726805,         29.86599503,         29.86599503,         29.86599503,          0.42686435,          0.42697111,          0.42083003,         12.32579536,         12.32579536,         12.32579536,          2.77713434,          2.77755844,          2.78096067,          1.51858306,          1.51858306,          1.51858306,          0.01028309,          0.01028645,          0.01014471,         67.85757902,         67.85757902,         67.85757902,          0.96986494,          0.97010750,          0.95615454
,,,,,,   57.800000,    1.732800,         31.21549765,         31.21549765,         31.21549765,          0.43949010,          0.43960959,          0.43345746,         12.42823667,         12.42823667,         12.42823667,          2.77792197,          2.77835000,          2.78178394,          1.58849494,          1.58849494,          1.58849494,          0.01055211,          0.01055579,          0.01041450,         70.92374108,         70.92374108,         70.92374108,          0.99855150,          0.99882298,          0.98484494
,,,,,,   58.000000,    1.738796,         32.65281182,         32.65281182,         32.65281182,          0.45264202,          0.45277506,          0.44661662,         12.53435681,         12.53435681,         12.53435681,          2.77872906,          2.77916108,          2.78262715,          1.66322274,          1.66322274,          1.66322274,          0.01083198,          0.01083601,          0.01069529,         74.18941698,         74.18941698,         74.18941698,          1.02843357,          1.02873583,          1.01474344
,,,,,,   58.200000,    1.744792,         34.18545369,         34.18545369,         34.18545369,          0.46634893,          0.46649638,          0.46033673,         12.64430417,         12.64430417,         12.64430417,          2.77955636,          2.77999240,          2.78349103,          1.74320136,          1.74320136,          1.74320136,          0.01112330,          0.01112769,          0.01098767,         77.67168389,         77.67168389,         77.67168389,          1.05957659,          1.05991161,          1.04591648
,,,,,,   58.400000,    1.750788,         35.82172847,         35.82172847,         35.82172847,          0.48064154,          0.48080434,          0.47464901,         12.75822711,         12.75822711,         12.75822711,          2.78040461,          2.78084474,          2.78437635,          1.82891333,          1.82891333,          1.82891333,          0.01142669,          0.01143147,          0.01129228,         81.38941186,         81.38941186,         81.38941186,          1.09205038,          1.09242027,          1.07843495
,,,,,,   58.600000,    1.756784,         37.57082678,         37.57082678,         37.57082678,          0.49555267,          0.49573180,          0.48958677,         12.87627179,         12.87627179,         12.87627179,          2.78127463,          2.78171889,          2.78528395,          1.92089483,          1.92089483,          1.92089483,          0.01174282,          0.01174800,          0.01160981,         85.36348260,         85.36348260,         85.36348260,          1.12592948,          1.12633649,          1.11237456
,,,,,,   58.800000,    1.762780,         39.44293383,         39.44293383,         39.44293383,          0.51111737,          0.51131390,          0.50518562,         12.99857947,         12.99857947,         12.99857947,          2.78216725,          2.78261570,          2.78621468,          2.01974243,          2.01974243,          2.01974243,          0.01207239,          0.01207800,          0.01194096,         89.61703760,         89.61703760,         89.61703760,          1.16129354,          1.16174007,          1.14781622
,,,,,,   59.000000,    1.768776,         41.44935334,         41.44935334,         41.44935334,          0.52737311,          0.52758817,          0.52148364,         13.12528282,         13.12528282,         13.12528282,          2.78308336,          2.78353607,          2.78716944,          2.12612076,          2.12612076,          2.12612076,          0.01241616,          0.01242223,          0.01228651,         94.17575965,         94.17575965,         94.17575965,          1.19822769,          1.19871632,          1.18484642
,,,,,,   59.200000,    1.774771,         43.60264805,         43.60264805,         43.60264805,          0.54435998,          0.54459478,          0.53852155,         13.25650134,         13.25650134,         13.25650134,          2.78402389,          2.78448092,          2.78814919,          2.24077124,          2.24077124,          2.24077124,          0.01277495,          0.01278151,          0.01264730,         99.06819221,         99.06819221,         99.06819221,          1.23682303,          1.23735651,          1.22355773
,,,,,,   59.400000,    1.780767,         45.91679919,         45.91679919,         45.91679919,          0.56212092,          0.56237675,          0.55634300,         13.39233532,         13.39233532,         13.39233532,          2.78498983,          2.78545123,          2.78915493,          2.36452184,          2.36452184,          2.36452184,          0.01314963,          0.01315670,          0.01302419,        104.32610152,        104.32610152,        104.32610152,          1.27717710,          1.27775836,          1.26404928
,,,,,,   59.600000,    1.786763,         48.40738690,         48.40738690,         48.40738690,          0.58070192,          0.58098016,          0.57499474,         13.53285819,         13.53285819,         13.53285819,          2.78598221,          2.78644805,          2.79018772,          2.49829816,          2.49829816,          2.49829816,          0.01354112,          0.01354874,          0.01341815,        109.98488677,        109.98488677,        109.98488677,          1.31939439,          1.32002658,          1.30642730
,,,,,,   59.800000,    1.792759,         51.09179442,         51.09179442,         51.09179442,          0.60015229,          0.60045443,          0.59452691,         13.67810669,         13.67810669,         13.67810669,          2.78700212,          2.78747247,          2.79124866,          2.64313579,          2.64313579,          2.64313579,          0.01395043,          0.01395863,          0.01383019,        116.08404386,        116.08404386,        116.08404386,          1.36358696,          1.36427345,          1.35080572
,,,,,,   60.000000,    1.798755,         53.98943827,         53.98943827,         53.98943827,          0.62052496,          0.62085259,          0.61499334,         13.82806838,         13.82806838,         13.82806838,          2.78805071,          2.78852564,          2.79233895,          2.80019421,          2.80019421,          2.80019421,          0.01437861,          0.01438743,          0.01426139,        122.66768846,        122.66768846,        122.66768846,          1.40987506,          1.41061946,          1.39730683
,,,,,,   60.200000,    1.804751,         57.12202698,         57.12202698,         57.12202698,          0.64187679,          0.64223161,          0.63645185,         13.98266572,         13.98266572,         13.98266572,          2.78912921,          2.78960879,          2.79345982,          2.97077199,          2.97077199,          2.97077199,          0.01482683,          0.01483630,          0.01471292,        129.78514380,        129.78514380,        129.78514380,          1.45838787,          1.45919406,          1.44606204
,,,,,,   60.400000,    1.810746,         60.51385020,         60.51385020,         60.51385020,          0.66426889,          0.66465274,          0.65896463,         14.14173590,         14.14173590,         14.14173590,          2.79023890,          2.79072321,          2.79461260,          3.15632358,          3.15632358,          3.15632358,          0.01529630,          0.01530647,          0.01518605,        137.49159765,        137.49159765,        137.49159765,          1.50926425,          1.51013639,          1.49721261
,,,,,,   60.600000,    1.816742,         64.19209964,         64.19209964,         64.19209964,          0.68776705,          0.68818190,          0.68259862,         14.30500523,         14.30500523,         14.30500523,          2.79138116,          2.79187028,          2.79579868,          3.35847735,          3.35847735,          3.35847735,          0.01578837,          0.01579928,          0.01568211,        145.84883142,        145.84883142,        145.84883142,          1.56265367,          1.56359624,          1.55091065
,,,,,,   60.800000,    1.822738,         68.18722161,         68.18722161,         68.18722161,          0.71244215,          0.71289011,          0.70742597,         14.47205685,         14.47205685,         14.47205685,          2.79255743,          2.79305145,          2.79701955,          3.57905459,          3.57905459,          3.57905459,          0.01630445,          0.01631614,          0.01620258,        154.92602118,        154.92602118,        154.92602118,          1.61871718,          1.61973499,          1.60732009
,,,,,,   61.000000,    1.828734,         72.53329883,         72.53329883,         72.53329883,          0.73837067,          0.73885403,          0.73352454,         14.64228989,         14.64228989,         14.64228989,          2.79376928,          2.79426827,          2.79827680,          3.82008883,          3.82008883,          3.82008883,          0.01684609,          0.01685862,          0.01674902,        164.80060525,        164.80060525,        164.80060525,          1.67762854,          1.67872678,          1.66661781
,,,,,,   61.200000,    1.834730,         77.26845578,         77.26845578,         77.26845578,          0.76563525,          0.76615646,          0.76097847,         14.81486820,         14.81486820,         14.81486820,          2.79501836,          2.79552241,          2.79957211,          4.08384458,          4.08384458,          4.08384458,          0.01741495,          0.01742837,          0.01732312,        175.55920500,        175.55920500,        175.55920500,          1.73957553,          1.74075977,          1.72899502
,,,,,,   61.400000,    1.840726,         82.43527598,         82.43527598,         82.43527598,          0.79432535,          0.79488708,          0.78987889,         14.98865606,         14.98865606,         14.98865606,          2.79630642,          2.79681564,          2.80090728,          4.37283365,          4.37283365,          4.37283365,          0.01801283,          0.01802721,          0.01792672,        187.29857313,        187.29857313,        187.29857313,          1.80476141,          1.80603769,          1.79465874
,,,,,,   61.600000,    1.846722,         88.08121195,         88.08121195,         88.08121195,          0.82453804,          0.82514314,          0.82032467,         15.16213809,         15.16213809,         15.16213809,          2.79763538,          2.79814985,          2.80228427,          4.68982663,          4.68982663,          4.68982663,          0.01864168,          0.01865708,          0.01856183,        200.12652499,        200.12652499,        200.12652499,          1.87340671,          1.87478152,          1.86383363
,,,,,,   61.800000,    1.852717,         94.25895595,         94.25895595,         94.25895595,          0.85637889,          0.85703046,          0.85242338,         15.33332001,         15.33332001,         15.33332001,          2.79900728,          2.79952711,          2.80370515,          5.03785565,          5.03785565,          5.03785565,          0.01930364,          0.01932012,          0.01923060,        214.16278098,        214.16278098,        214.16278098,          1.94575129,          1.94723169,          1.93676409
,,,,,,   62.000000,    1.858713,        101.02672269,        101.02672269,        101.02672269,          0.88996311,          0.89066460,          0.88629252,         15.49960695,         15.49960695,         15.49960695,          2.80042431,          2.80094961,          2.80517217,          5.42020286,          5.42020286,          5.42020286,          0.02000102,          0.02001867,          0.01993541,        229.53960889,        229.53960889,        229.53960889,          2.02205692,          2.02365075,          2.01371710
,,,,,,   62.200000,    1.864709,        108.44837019,        108.44837019,        108.44837019,          0.92541700,          0.92617184,          0.92206052,         15.65765597,         15.65765597,         15.65765597,          2.80188887,          2.80241974,          2.80668777,          5.84036640,          5.84036640,          5.84036640,          0.02073637,          0.02075525,          0.02067884,        246.40209854,        246.40209854,        246.40209854,          2.10261057,          2.10432563,          2.09498444
,,,,,,   62.400000,    1.870705,        116.59325128,        116.59325128,        116.59325128,          0.96287924,          0.96369149,          0.95986906,         15.80320045,         15.80320045,         15.80320045,          2.80340355,          2.80394011,          2.80825459,          6.30199285,          6.30199285,          6.30199285,          0.02151248,          0.02153269,          0.02146377,        264.90782426,        264.90782426,        264.90782426,          2.18772736,          2.18957284,          2.18088801
,,,,,,   62.600000,    1.876701,        125.53564223,        125.53564223,        125.53564223,          1.00250370,          1.00337764,          0.99987485,         15.93084608,         15.93084608,         15.93084608,          2.80497118,          2.80551356,          2.80987553,          6.80876044,          6.80876044,          6.80876044,          0.02233246,          0.02235409,          0.02229336,        285.22554680,        285.22554680,        285.22554680,          2.27775682,          2.27974248,          2.27178391
,,,,,,   62.800000,    1.882697,        135.35353636,        135.35353636,        135.35353636,          1.04446168,          1.04540200,          1.04225255,         16.03384238,         16.03384238,         16.03384238,          2.80659486,          2.80714319,          2.81155374,          7.36419275,          7.36419275,          7.36419275,          0.02319977,          0.02322292,          0.02317114,        307.53247232,        307.53247232,        307.53247232,          2.37308823,          2.37522468,          2.36806892
,,,,,,   63.000000,    1.888692,        146.12651829,        146.12651829,        146.12651829,          1.08894561,          1.08995739,          1.08719826,         16.10384078,         16.10384078,         16.10384078,          2.80827798,          2.80883239,          2.81329266,          7.97137722,          7.97137722,          7.97137722,          0.02411831,          0.02414310,          0.02410110,        332.00942250,        332.00942250,        332.00942250,          2.47415874,          2.47645758,          2.47018865
,,,,,,   63.200000,    1.894688,        157.93235442,        157.93235442,        157.93235442,          1.13617345,          1.13726228,          1.13493414,         16.13066242,         16.13066242,         16.13066242,          2.81002424,          2.81058488,          2.81509609,          8.63255790,          8.63255790,          8.63255790,          0.02509251,          0.02511906,          0.02508775,        358.83308792,        358.83308792,        358.83308792,          2.58146362,          2.58393753,          2.57864782
,,,,,,   63.400000,    1.900684,        170.84185991,        170.84185991,        170.84185991,          1.18639443,          1.18756644,          1.18571411,         16.10211626,         16.10211626,         16.10211626,          2.81183771,          2.81240472,          2.81696814,          9.34857038,          9.34857038,          9.34857038,          0.02612744,          0.02615589,          0.02613627,        388.16436546,        388.16436546,        388.16436546,          2.69556913,          2.69823201,          2.69402337
,,,,,,   63.600000,    1.906680,        184.91156043,        184.91156043,        184.91156043,          1.23989617,          1.24115808,          1.23983111,         16.00393353,         16.00393353,         16.00393353,          2.81372277,          2.81429631,          2.81891330,         10.11809198,         10.11809198,         10.11809198,          0.02722896,          0.02725946,          0.02725264,        420.13168528,        420.13168528,        420.13168528,          2.81712872,          2.81999587,          2.81698091
,,,,,,   63.800000,    1.912676,        200.17370759,        200.17370759,        200.17370759,          1.29701331,          1.29837256,          1.29762590,         15.81991541,         15.81991541,         15.81991541,          2.81568415,          2.81626439,          2.82093637,         10.93669859,         10.93669859,         10.93669859,          0.02840393,          0.02843663,          0.02844384,        454.80832525,        454.80832525,        454.80832525,          2.94690277,          2.94999106,          2.94829461
,,,,,,   64.000000,    1.918672,        216.62340840,        216.62340840,        216.62340840,          1.35813770,          1.35960249,          1.35949728,         15.53242352,         15.53242352,         15.53242352,          2.81772681,          2.81831392,          2.82304238,         11.79575976,         11.79575976,         11.79575976,          0.02966036,          0.02969545,          0.02971805,        492.18316816,        492.18316816,        492.18316816,          3.08578155,          3.08910966,          3.08887060
,,,,,,   64.200000,    1.924668,        234.20309130,        234.20309130,        234.20309130,          1.42372949,          1.42530896,          1.42591341,         15.12336457,         15.12336457,         15.12336457,          2.81985580,          2.82044997,          2.82523652,         12.68127327,         12.68127327,         12.68127327,          0.03100771,          0.03104538,          0.03108489,        532.12540751,        532.12540751,        532.12540751,          3.23481057,          3.23839924,          3.23977259
,,,,,,   64.400000,    1.930663,        252.78535302,        252.78535302,        252.78535302,          1.49432822,          1.49603254,          1.49742307,         14.57580899,         14.57580899,         14.57580899,          2.82207609,          2.82267752,          2.82752380,         13.57284346,         13.57284346,         13.57284346,          0.03245704,          0.03249752,          0.03255564,        574.34557435,        574.34557435,        574.34557435,          3.39521570,          3.39908804,          3.40224741
,,,,,,   64.600000,    1.936659,        272.15643773,        272.15643773,        272.15643773,          1.57056200,          1.57240254,          1.57466497,         13.87630663,         13.87630663,         13.87630663,          2.82439219,          2.82500107,          2.82990885,         14.44313060,         14.44313060,         14.44313060,          0.03402124,          0.03406478,          0.03414342,        618.35800086,        618.35800086,        618.35800086,          3.56842404,          3.57260588,          3.57774628
,,,,,,   64.800000,    1.942655,        292.00403656,        292.00403656,        292.00403656,          1.65315243,          1.65514192,          1.65837286,         13.01778985,         13.01778985,         13.01778985,          2.82680776,          2.82742429,          2.83239540,         15.25820097,         15.25820097,         15.25820097,          0.03571510,          0.03576198,          0.03586328,        663.45309998,        663.45309998,        663.45309998,          3.75607515,          3.76059540,          3.76793633
,,,,,,   65.000000,    1.948651,        311.91429656,        311.91429656,        311.91429656,          1.74291266,          1.74506537,          1.74937371,         12.00268126,         12.00268126,         12.00268126,          2.82932517,          2.82994958,          2.83498589,         15.97921339,         15.97921339,         15.97921339,          0.03755523,          0.03760577,          0.03773215,        708.69056954,        708.69056954,        708.69056954,          3.96001652,          3.96490762,          3.97469645
,,,,,,   65.200000,    1.954647,        331.38309743,        331.38309743,        331.38309743,          1.84073694,          1.84306887,          1.84857728,         10.84550791,         10.84550791,         10.84550791,          2.83194507,          2.83257758,          2.83768104,         16.56569540,         16.56569540,         16.56569540,          0.03955982,          0.03961436,          0.03976854,        752.92501384,        752.92501384,        752.92501384,          4.18227995,          4.18757825,          4.20009373
,,,,,,   65.400000,    1.960643,        349.84490930,        349.84490930,        349.84490930,          1.94758242,          1.95011148,          1.95695800,          9.57411195,          9.57411195,          9.57411195,          2.83466617,          2.83530699,          2.84047956,         16.98024107,         16.98024107,         16.98024107,          0.04174823,          0.04180717,          0.04199220,        794.87151041,        794.87151041,        794.87151041,          4.42504017,          4.43078638,          4.44634215
,,,,,,   65.600000,    1.966639,        366.71851124,        366.71851124,        366.71851124,          2.06444736,          2.06719358,          2.07553317,          8.22863226,          8.22863226,          8.22863226,          2.83748513,          2.83813449,          2.84337815,         17.19387629,         17.19387629,         17.19387629,          0.04414049,          0.04420426,          0.04442358,        833.20948560,        833.20948560,        833.20948560,          4.69056530,          4.69680490,          4.71575302
,,,,,,   65.800000,    1.972634,        381.46336027,        381.46336027,        381.46336027,          2.19235306,          2.19533873,          2.20534484,          6.85793541,          6.85793541,          6.85793541,          2.84039694,          2.84105505,          2.84637174,         17.19083030,         17.19083030,         17.19083030,          0.04675693,          0.04682604,          0.04708347,        866.71078893,        866.71078893,        866.71078893,          4.98117579,          4.98795943,          5.01069399
,,,,,,   66.000000,    1.978630,        393.63564292,        393.63564292,        393.63564292,          2.33233772,          2.33558762,          2.34745405,          5.51399411,          5.51399411,          5.51399411,          2.84339532,          2.84406237,          2.84945400,         16.97134540,         16.97134540,         16.97134540,          0.04961807,          0.04969304,          0.04999285,        894.36704584,        894.36704584,        894.36704584,          5.29923047,          5.30661448,          5.33357581
,,,,,,   66.200000,    1.984626,        402.93160070,        402.93160070,        402.93160070,          2.48546829,          2.48900993,          2.50295207,          4.24549114,          4.24549114,          4.24549114,          2.84647327,          2.84714946,          2.85261787,         16.55163272,         16.55163272,         16.55163272,          0.05274480,          0.05282623,          0.05317315,        915.48809635,        915.48809635,        915.48809635,          5.64715357,          5.65520043,          5.68687792
,,,,,,   66.400000,    1.990622,        409.20885740,        409.20885740,        409.20885740,          2.65286987,          2.65673374,          2.67299193,          3.09224294,          3.09224294,          3.09224294,          2.84962350,          2.85030900,          2.85585592,         15.96098841,         15.96098841,         15.96098841,          0.05615907,          0.05624763,          0.05664692,        929.75045201,        929.75045201,        929.75045201,          6.02750140,          6.03628038,          6.07322010
,,,,,,   66.600000,    1.996618,        412.48299106,        412.48299106,        412.48299106,          2.83577031,          2.83999022,          2.85883194,          2.08170269,          2.08170269,          2.08170269,          2.85283837,          2.85353334,          2.85916035,         15.23698436,         15.23698436,         15.23698436,          0.05988479,          0.05998122,          0.06043870,        937.18950712,        937.18950712,        937.18950712,          6.44306367,          6.45265161,          6.49546127
,,,,,,   66.800000,    2.002614,        412.90346693,        412.90346693,        412.90346693,          3.03554846,          3.04016197,          3.06188538,          1.22801553,          1.22801553,          1.22801553,          2.85610955,          2.85681411,          2.86252262,         14.42010632,         14.42010632,         14.42010632,          0.06394882,          0.06405392,          0.06457609,        938.14485701,        938.14485701,        938.14485701,          6.89697326,          6.90745548,          6.95681255
,,,,,,   67.000000,    2.008609,        410.71739939,        410.71739939,        410.71739939,          3.25378083,          3.25882969,          3.28376765,          0.53328359,          0.53328359,          0.53328359,          2.85942716,          2.86014140,          2.86593255,         13.54909015,         13.54909015,         13.54909015,          0.06838191,          0.06849659,          0.06909066,        933.17796235,        933.17796235,        933.17796235,          7.39281212,          7.40428347,          7.46094420
,,,,,,   67.200000,    2.014605,        406.23033329,        406.23033329,        406.23033329,          3.49228011,          3.49781079,          3.52633526,         -0.00979291,         -0.00979291,         -0.00979291,          2.86277859,          2.86350254,          2.86937712,         12.65769249,         12.65769249,         12.65769249,          0.07321944,          0.07334468,          0.07401870,        922.98304195,        922.98304195,        922.98304195,          7.93469875,          7.94726483,          8.01207438
,,,,,,   67.400000,    2.020601,        399.77114101,        399.77114101,        399.77114101,          3.75312322,          3.75918746,          3.79171434,         -0.41480543,         -0.41480543,         -0.41480543,          2.86614704,          2.86688067,          2.87283898,         11.77304859,         11.77304859,         11.77304859,          0.07850188,          0.07863881,          0.07940174,        908.30731625,        908.30731625,        908.30731625,          8.52735211,          8.54113046,          8.61503376
,,,,,,   67.600000,    2.026597,        391.66490549,        391.66490549,        391.66490549,          4.03866849,          4.04532382,          4.08231782,         -0.69874734,         -0.69874734,         -0.69874734,          2.86950979,          2.87025299,          2.87629468,         10.91535522,         10.91535522,         10.91535522,          0.08427512,          0.08442495,          0.08528678,        889.88939592,        889.88939592,        889.88939592,          9.17613045,          9.19125182,          9.27530470
,,,,,,   67.800000,    2.032593,        382.21474784,        382.21474784,        382.21474784,          4.35156125,          4.35887156,          4.40085088,         -0.87971824,         -0.87971824,         -0.87971824,          2.87283631,          2.87358885,          2.87971268,         10.09844091,         10.09844091,         10.09844091,          0.09059036,          0.09075447,          0.09172628,        868.41799276,        868.41799276,        868.41799276,          9.88704415,          9.90365367,          9.99903355
,,,,,,   68.000000,    2.038589,        371.69165145,        371.69165145,        371.69165145,          4.69472640,          4.70276229,          4.75030274,         -0.97532549,         -0.97532549,         -0.97532549,          2.87608601,          2.87684749,          2.88305109,          9.33079590,          9.33079590,          9.33079590,          0.09750387,          0.09768374,          0.09877782,        844.50879958,        844.50879958,        844.50879958,         10.66673879,         10.68499688,         10.79301202
,,,,,,   68.200000,    2.044585,        360.33047010,        360.33047010,        360.33047010,          5.07134364,          5.08018270,          5.13392041,         -1.00171617,         -1.00171617,         -1.00171617,          2.87920567,          2.87997554,          2.88625502,          8.61673807,          8.61673807,          8.61673807,          0.10507623,          0.10527350,          0.10650333,        818.69542017,        818.69542017,        818.69542017,         11.52243887,         11.54252182,         11.66461755
,,,,,,   68.400000,    2.050580,        348.33018827,        348.33018827,        348.33018827,          5.48479822,          5.49452494,          5.55515690,         -0.97309880,         -0.97309880,         -0.97309880,          2.88212659,          2.88290401,          2.88925361,          7.95751422,          7.95751422,          7.95751422,          0.11337106,          0.11358750,          0.11496778,        791.42996084,        791.42996084,        791.42996084,         12.46183589,         12.48393565,         12.62169561
,,,,,,   68.600000,    2.056576,        335.85678252,        335.85678252,        335.85678252,          5.93859620,          5.94930142,          6.01758246,         -0.90160358,         -0.90160358,         -0.90160358,          2.88476123,          2.88554508,          2.89195659,          7.35223766,          7.35223766,          7.35223766,          0.12245304,          0.12269053,          0.12423705,        763.08953169,        763.08953169,        763.08953169,         13.49289587,         13.51721887,         13.67235803
,,,,,,   68.800000,    2.062572,        323.04744865,        323.04744865,        323.04744865,          6.43622969,          6.44800945,          6.52474380,         -0.79735267,         -0.79735267,         -0.79735267,          2.88699962,          2.88778842,          2.89425067,          6.79863238,          6.79863238,          6.79863238,          0.13238467,          0.13264520,          0.13437461,        733.98585092,        733.98585092,        733.98585092,         14.62355312,         14.65031754,         14.82466321
