../../../pdielec -size 0 -size 1 -size 3 -processors 4 -method ap -method bruggeman -matrix ptfe -sigma 5 -ellipsoid 0 0 1 0.5 -csv command1.csv -masses program -program abinit BaTiO3.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   0,   65.74,         1.935128,                8177.076262,  1041.1377,     5.0
   1,   65.74,         1.935115,                8177.020635,  1041.1306,     5.0
   2,   65.75,         1.934571,                8174.722771,  1040.8380,     5.0
   3,  198.01,        37.112289,              156821.689833, 19967.1577,     5.0
   4,  198.01,        37.112483,              156822.507130, 19967.2618,     5.0
   5,  198.02,        37.125602,              156877.944975, 19974.3203,     5.0
   6,  270.59,         0.000000,                   0.000141,     0.0000,     5.0
   7,  270.59,         0.000000,                   0.000128,     0.0000,     5.0
   8,  270.59,         0.000000,                   0.000001,     0.0000,     5.0
   9,  279.35,        33.055024,              139677.308047, 17784.2672,     5.0
  10,  279.35,        33.063614,              139713.606233, 17788.8888,     5.0
  11,  279.35,        33.063542,              139713.302190, 17788.8501,     5.0
  12,  493.63,        20.513710,               86682.731944, 11036.7882,     5.0
  13,  493.63,        20.515522,               86690.388406, 11037.7631,     5.0
  14,  493.63,        20.515522,               86690.388408, 11037.7631,     5.0
,,,,,,cm-1,thz,ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_real_dielectric(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_imag_dielectric(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1/3mu),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/1mu),ap_noshape([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/3mu),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/1mu),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1/3mu)
,,,,,,    4.000000,    0.119917,          0.01320414,          0.01320414,          0.01320414,          0.00039106,          0.00039106,          0.00039087,          8.13080719,          8.13080719,          8.13080719,          2.73021826,          2.73022004,          2.73023427,          0.00783744,          0.00783744,          0.00783744,          0.00013451,          0.00013450,          0.00013444,          0.03000070,          0.03000070,          0.03000070,          0.00088852,          0.00088851,          0.00088808
,,,,,,    4.200000,    0.125913,          0.01456583,          0.01456583,          0.01456583,          0.00043133,          0.00043133,          0.00043110,          8.13144705,          8.13144705,          8.13144705,          2.73022925,          2.73023121,          2.73024690,          0.00823431,          0.00823431,          0.00823431,          0.00014129,          0.00014129,          0.00014122,          0.03309455,          0.03309455,          0.03309455,          0.00098002,          0.00098000,          0.00097948
,,,,,,    4.400000,    0.131909,          0.01599560,          0.01599560,          0.01599560,          0.00047361,          0.00047360,          0.00047332,          8.13211853,          8.13211853,          8.13211853,          2.73024079,          2.73024294,          2.73026016,          0.00863191,          0.00863191,          0.00863191,          0.00014809,          0.00014809,          0.00014800,          0.03634310,          0.03634310,          0.03634310,          0.00107606,          0.00107604,          0.00107541
,,,,,,    4.600000,    0.137905,          0.01749371,          0.01749371,          0.01749371,          0.00051788,          0.00051787,          0.00051754,          8.13282170,          8.13282170,          8.13282170,          2.73025287,          2.73025522,          2.73027404,          0.00903029,          0.00903029,          0.00903029,          0.00015489,          0.00015489,          0.00015479,          0.03974689,          0.03974689,          0.03974689,          0.00117667,          0.00117665,          0.00117589
,,,,,,    4.800000,    0.143900,          0.01906039,          0.01906039,          0.01906039,          0.00056418,          0.00056416,          0.00056377,          8.13355662,          8.13355662,          8.13355662,          2.73026549,          2.73026805,          2.73028855,          0.00942949,          0.00942949,          0.00942949,          0.00016171,          0.00016171,          0.00016159,          0.04330650,          0.04330650,          0.04330650,          0.00128185,          0.00128182,          0.00128093
,,,,,,    5.000000,    0.149896,          0.02069591,          0.02069591,          0.02069591,          0.00061249,          0.00061247,          0.00061201,          8.13432335,          8.13432335,          8.13432335,          2.73027866,          2.73028144,          2.73030367,          0.00982953,          0.00982953,          0.00982953,          0.00016853,          0.00016853,          0.00016840,          0.04702252,          0.04702252,          0.04702252,          0.00139161,          0.00139158,          0.00139053
,,,,,,    5.200000,    0.155892,          0.02240055,          0.02240055,          0.02240055,          0.00066282,          0.00066281,          0.00066227,          8.13512197,          8.13512197,          8.13512197,          2.73029237,          2.73029537,          2.73031943,          0.01023045,          0.01023045,          0.01023045,          0.00017537,          0.00017537,          0.00017522,          0.05089559,          0.05089559,          0.05089559,          0.00150598,          0.00150594,          0.00150472
,,,,,,    5.400000,    0.161888,          0.02417461,          0.02417461,          0.02417461,          0.00071519,          0.00071517,          0.00071454,          8.13595254,          8.13595254,          8.13595254,          2.73030662,          2.73030986,          2.73033581,          0.01063230,          0.01063230,          0.01063230,          0.00018222,          0.00018221,          0.00018205,          0.05492636,          0.05492636,          0.05492636,          0.00162496,          0.00162492,          0.00162349
,,,,,,    5.600000,    0.167884,          0.02601837,          0.02601837,          0.02601837,          0.00076960,          0.00076957,          0.00076885,          8.13681513,          8.13681513,          8.13681513,          2.73032142,          2.73032491,          2.73035281,          0.01103511,          0.01103511,          0.01103511,          0.00018908,          0.00018907,          0.00018889,          0.05911551,          0.05911551,          0.05911551,          0.00174858,          0.00174853,          0.00174688
,,,,,,    5.800000,    0.173880,          0.02793215,          0.02793215,          0.02793215,          0.00082605,          0.00082602,          0.00082519,          8.13770984,          8.13770984,          8.13770984,          2.73033677,          2.73034051,          2.73037044,          0.01143891,          0.01143891,          0.01143891,          0.00019595,          0.00019594,          0.00019575,          0.06346375,          0.06346375,          0.06346375,          0.00187684,          0.00187678,          0.00187488
