../../../pdielec -matrix ptfe -sigma 5 -method maxwell -method bruggeman -method ap -vf 0.1 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -csv command.csv -hessian crystal -masses program -program crystal Na2SO42.out
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   89.26,         0.497111,                2100.592235,   267.4557,     5.0
   5,  118.10,         0.995309,                4205.778012,   535.4963,     5.0
   8,  145.87,         4.023222,               17000.527864,  2164.5744,     5.0
  10,  170.52,         0.306644,                1295.754966,   164.9806,     5.0
  13,  213.27,         3.287984,               13893.704165,  1769.0014,     5.0
  15,  244.82,         3.382395,               14292.647813,  1819.7964,     5.0
  18,  320.65,         0.469851,                1985.401376,   252.7892,     5.0
  20,  386.93,         0.252536,                1067.116382,   135.8695,     5.0
  21,  439.57,         2.970752,               12553.208649,  1598.3242,     5.0
  22,  440.83,         9.325304,               39405.005909,  5017.2012,     5.0
  25,  481.29,         2.008389,                8486.648684,  1080.5537,     5.0
  27,  618.77,        20.456442,               86440.743006, 11005.9772,     5.0
  30,  914.05,         8.354441,               35302.525941,  4494.8572,     5.0
  32, 1111.12,        26.432955,              111695.093928, 14221.4611,     5.0
  34, 1129.18,        22.568179,               95364.097073, 12142.1340,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape[0 0 1]_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape[0 0 1]_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),ap_noshape[0 0 1]_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    5.000000,    0.149896,          0.00126726,          0.00114492,          0.00168782,          0.00109629,          0.00117061,          0.00111886,          0.00241988,          2.23916560,          2.23333721,          2.28099791,          2.23415967,          2.23901808,          2.23829131,          2.35390729,          0.00015196,          0.00013711,          0.00020427,          0.00013131,          0.00014036,          0.00013414,          0.00029751,          0.00138552,          0.00125176,          0.00184532,          0.00119860,          0.00127985,          0.00122328,          0.00264571
,,,,,,    5.200000,    0.155892,          0.00137110,          0.00123865,          0.00182611,          0.00118607,          0.00126644,          0.00121050,          0.00261811,          2.23917797,          2.23334838,          2.28101455,          2.23417037,          2.23902952,          2.23830223,          2.35393153,          0.00015809,          0.00014263,          0.00021251,          0.00013660,          0.00014601,          0.00013954,          0.00030950,          0.00149906,          0.00135424,          0.00199652,          0.00129675,          0.00138462,          0.00132347,          0.00286243
,,,,,,    5.400000,    0.161888,          0.00147909,          0.00133610,          0.00196992,          0.00127942,          0.00136608,          0.00130579,          0.00282423,          2.23919084,          2.23335999,          2.28103185,          2.23418149,          2.23904140,          2.23831359,          2.35395672,          0.00016422,          0.00014815,          0.00022075,          0.00014189,          0.00015167,          0.00014495,          0.00032151,          0.00161712,          0.00146079,          0.00215375,          0.00139882,          0.00149356,          0.00142765,          0.00308778
,,,,,,    5.600000,    0.167884,          0.00159123,          0.00143729,          0.00211925,          0.00137635,          0.00146953,          0.00140473,          0.00303826,          2.23920420,          2.23337205,          2.28104980,          2.23419304,          2.23905375,          2.23832539,          2.35398287,          0.00017036,          0.00015368,          0.00022901,          0.00014719,          0.00015733,          0.00015037,          0.00033352,          0.00173972,          0.00157141,          0.00231702,          0.00150479,          0.00160666,          0.00153582,          0.00332179
,,,,,,    5.800000,    0.173880,          0.00170752,          0.00154220,          0.00227412,          0.00147686,          0.00157680,          0.00150734,          0.00326021,          2.23921804,          2.23338455,          2.28106842,          2.23420500,          2.23906654,          2.23833761,          2.35400999,          0.00017651,          0.00015921,          0.00023727,          0.00015250,          0.00016299,          0.00015579,          0.00034555,          0.00186687,          0.00168612,          0.00248635,          0.00161468,          0.00172394,          0.00164800,          0.00356445
,,,,,,    6.000000,    0.179875,          0.00182799,          0.00165087,          0.00243454,          0.00158096,          0.00168789,          0.00161361,          0.00349011,          2.23923238,          2.23339748,          2.28108769,          2.23421739,          2.23907979,          2.23835027,          2.35403806,          0.00018266,          0.00016475,          0.00024554,          0.00015780,          0.00016866,          0.00016121,          0.00035758,          0.00199857,          0.00180492,          0.00266173,          0.00172850,          0.00184540,          0.00176419,          0.00381580
,,,,,,    6.200000,    0.185871,          0.00195263,          0.00176328,          0.00260052,          0.00168866,          0.00180282,          0.00172355,          0.00372796,          2.23924721,          2.23341086,          2.28110763,          2.23423021,          2.23909348,          2.23836336,          2.35406709,          0.00018883,          0.00017029,          0.00025382,          0.00016312,          0.00017433,          0.00016664,          0.00036963,          0.00213485,          0.00192782,          0.00284320,          0.00184625,          0.00197105,          0.00188439,          0.00407585
,,,,,,    6.400000,    0.191867,          0.00208145,          0.00187944,          0.00277207,          0.00179997,          0.00192158,          0.00183718,          0.00397378,          2.23926253,          2.23342469,          2.28112823,          2.23424345,          2.23910764,          2.23837688,          2.35409709,          0.00019499,          0.00017584,          0.00026211,          0.00016844,          0.00018001,          0.00017208,          0.00038170,          0.00227569,          0.00205483,          0.00303076,          0.00196794,          0.00210090,          0.00200863,          0.00434461
,,,,,,    6.600000,    0.197863,          0.00221448,          0.00199937,          0.00294920,          0.00191489,          0.00204419,          0.00195450,          0.00422759,          2.23927835,          2.23343896,          2.28114949,          2.23425711,          2.23912224,          2.23839084,          2.35412805,          0.00020117,          0.00018139,          0.00027041,          0.00017376,          0.00018569,          0.00017752,          0.00039377,          0.00242113,          0.00218595,          0.00322442,          0.00209358,          0.00223495,          0.00213689,          0.00462211
,,,,,,    6.800000,    0.203859,          0.00235170,          0.00212306,          0.00313193,          0.00203342,          0.00217065,          0.00207552,          0.00448941,          2.23929466,          2.23345367,          2.28117141,          2.23427120,          2.23913730,          2.23840524,          2.35415998,          0.00020735,          0.00018695,          0.00027872,          0.00017909,          0.00019138,          0.00018297,          0.00040586,          0.00257117,          0.00232119,          0.00342420,          0.00222318,          0.00237322,          0.00226920,          0.00490836
