../../../pdielec -processors 4 -method ap -method maxwell -matrix ptfe -sigma 5 -plate 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO_cart 1 0 0 -LO_cart 0 1 0 -LO_cart 0 0 1 -LO 1 0 0 -LO 0 1 0 -LO 0 0 1 -csv command.csv -program abinit Na2SO42.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   85.20,         0.604913,                2556.119055,   325.4552,     5.0
   4,   93.46,         0.000000,                   0.000002,     0.0000,     5.0
   5,  104.82,         0.000000,                   0.000015,     0.0000,     5.0
   6,  106.11,         0.000000,                   0.000096,     0.0000,     5.0
   7,  107.62,         0.974362,                4117.262731,   524.2262,     5.0
   8,  169.65,         0.000000,                   0.000022,     0.0000,     5.0
   9,  170.29,         2.772131,               11713.915871,  1491.4621,     5.0
  10,  181.55,         0.000000,                   0.000019,     0.0000,     5.0
  11,  193.25,         0.624387,                2638.409275,   335.9327,     5.0
  12,  215.43,         0.000000,                   0.000001,     0.0000,     5.0
  13,  270.30,         2.578097,               10894.006775,  1387.0680,     5.0
  15,  310.24,         2.623786,               11087.068458,  1411.6494,     5.0
  17,  356.69,         0.000000,                   0.000002,     0.0000,     5.0
  18,  387.96,         0.167583,                 708.140656,    90.1633,     5.0
  19,  404.71,         0.000000,                   0.000001,     0.0000,     5.0
  20,  452.70,         0.190638,                 805.558381,   102.5669,     5.0
  21,  532.53,         5.767675,               24371.888749,  3103.1253,     5.0
  22,  535.74,         0.000000,                   0.000001,     0.0000,     5.0
  23,  541.06,         4.249280,               17955.755665,  2286.1978,     5.0
  24,  560.29,         0.000000,                   0.000002,     0.0000,     5.0
  25,  572.94,         2.081734,                8796.574935,  1120.0147,     5.0
  27,  655.44,        20.297456,               85768.929732, 10920.4393,     5.0
  28,  681.06,         0.000000,                   0.000001,     0.0000,     5.0
  30, 1033.63,         8.108230,               34262.135258,  4362.3905,     5.0
  32, 1230.28,        25.520433,              107839.141133, 13730.5059,     5.0
  33, 1244.38,         0.000000,                   0.000001,     0.0000,     5.0
  34, 1251.07,        23.002629,               97199.911202, 12375.8771,     5.0
  35, 1265.69,         0.000000,                   0.000002,     0.0000,     5.0
,,,,,,cm-1,thz,ap_noshape(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape(0 0 1)_real_dielectric(vf=0.1),maxwell_plate(0 0 1)_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape(0 0 1)_imag_dielectric(vf=0.1),maxwell_plate(0 0 1)_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(0 0 1)_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    7.400000,    0.221846,          0.00506616,          0.00437438,          0.00268028,          0.00423386,          2.25921470,          2.21862049,          2.18506371,          2.21788562,          0.00041230,          0.00035278,          0.00021452,          0.00034140,          0.00553894,          0.00478260,          0.00293040,          0.00462896
,,,,,,    7.600000,    0.227842,          0.00534689,          0.00461670,          0.00282852,          0.00446869,          2.25924805,          2.21864903,          2.18508107,          2.21791323,          0.00042369,          0.00036253,          0.00022043,          0.00035085,          0.00584586,          0.00504753,          0.00309248,          0.00488571
,,,,,,    7.800000,    0.233838,          0.00563545,          0.00486577,          0.00298088,          0.00471009,          2.25928232,          2.21867836,          2.18509890,          2.21794160,          0.00043511,          0.00037230,          0.00022634,          0.00036032,          0.00616135,          0.00531985,          0.00325905,          0.00514964
,,,,,,    8.000000,    0.239834,          0.00593187,          0.00512162,          0.00313735,          0.00495810,          2.25931750,          2.21870846,          2.18511721,          2.21797073,          0.00044655,          0.00038208,          0.00023227,          0.00036982,          0.00648543,          0.00559957,          0.00343013,          0.00542079
,,,,,,    8.200000,    0.245830,          0.00623618,          0.00538427,          0.00329796,          0.00521274,          2.25935359,          2.21873934,          2.18513599,          2.21800061,          0.00045801,          0.00039188,          0.00023821,          0.00037933,          0.00681813,          0.00588673,          0.00360573,          0.00569919
,,,,,,    8.400000,    0.251826,          0.00654840,          0.00565375,          0.00346271,          0.00547403,          2.25939059,          2.21877100,          2.18515524,          2.21803125,          0.00046950,          0.00040169,          0.00024415,          0.00038886,          0.00715950,          0.00618135,          0.00378585,          0.00598486
,,,,,,    8.600000,    0.257822,          0.00686858,          0.00593007,          0.00363162,          0.00574200,          2.25942851,          2.21880345,          2.18517497,          2.21806266,          0.00048101,          0.00041153,          0.00025011,          0.00039841,          0.00750956,          0.00648347,          0.00397053,          0.00627784
,,,,,,    8.800000,    0.263817,          0.00719674,          0.00621328,          0.00380471,          0.00601668,          2.25946736,          2.21883668,          2.18519517,          2.21809482,          0.00049254,          0.00042139,          0.00025607,          0.00040799,          0.00786834,          0.00679310,          0.00415976,          0.00657816
,,,,,,    9.000000,    0.269813,          0.00753292,          0.00650339,          0.00398198,          0.00629811,          2.25950712,          2.21887070,          2.18521585,          2.21812775,          0.00050409,          0.00043127,          0.00026205,          0.00041758,          0.00823589,          0.00711028,          0.00435357,          0.00688584
,,,,,,    9.200000,    0.275809,          0.00787714,          0.00680043,          0.00416345,          0.00658630,          2.25954780,          2.21890551,          2.18523701,          2.21816145,          0.00051567,          0.00044116,          0.00026804,          0.00042720,          0.00861223,          0.00743504,          0.00455198,          0.00720093
,,,,,,    9.400000,    0.281805,          0.00822944,          0.00710443,          0.00434913,          0.00688129,          2.25958941,          2.21894111,          2.18525865,          2.21819592,          0.00052728,          0.00045108,          0.00027404,          0.00043684,          0.00899741,          0.00776741,          0.00475500,          0.00752345
,,,,,,    9.600000,    0.287801,          0.00858985,          0.00741542,          0.00453905,          0.00718312,          2.25963195,          2.21897751,          2.18528076,          2.21823115,          0.00053891,          0.00046102,          0.00028005,          0.00044651,          0.00939145,          0.00810743,          0.00496264,          0.00785345
,,,,,,    9.800000,    0.293797,          0.00895842,          0.00773343,          0.00473322,          0.00749181,          2.25967542,          2.21901469,          2.18530336,          2.21826716,          0.00055057,          0.00047099,          0.00028607,          0.00045620,          0.00979441,          0.00845511,          0.00517492,          0.00819095
