 
Percentage energies in vibrational modes
 Freq(cm-1),  %mol-cme,  %mol-rot,      %vib,    %mol-0,    %mol-1,    %mol-2,    %mol-3
    1381.74,      0.00,      0.02,     99.98,      6.35,      6.35,     43.65,     43.65
    1383.97,      0.00,      0.02,     99.98,     10.54,     10.54,     39.46,     39.46
    1385.13,      0.00,      0.00,    100.00,     14.82,     14.82,     35.18,     35.18
    1386.41,      0.00,      0.00,    100.00,     43.48,     43.48,      6.52,      6.52
    1387.22,      0.00,      0.00,    100.00,     40.64,     40.64,      9.36,      9.36
    1400.29,      0.00,      0.02,     99.98,     49.11,     49.11,      0.89,      0.89
    1400.95,      0.00,      0.01,     99.99,     47.83,     47.83,      2.17,      2.17
    1444.17,      0.00,      0.00,    100.00,      3.34,      3.34,     46.66,     46.66
    1444.39,      0.00,      0.00,    100.00,      1.81,      1.81,     48.19,     48.19
    1449.52,      0.00,      0.00,    100.00,     14.81,     14.81,     35.19,     35.19
    1450.92,      0.00,      0.01,     99.99,     47.33,     47.33,      2.67,      2.67
    1452.27,      0.00,      0.00,    100.00,     30.88,     30.88,     19.12,     19.12
    1454.38,      0.00,      0.00,    100.00,     40.64,     40.64,      9.36,      9.36
    1456.24,      0.00,      0.00,    100.00,      6.38,      6.38,     43.62,     43.62
    1458.97,      0.00,      0.00,    100.00,     29.20,     29.20,     20.80,     20.80
    1463.67,      0.00,      0.00,    100.00,     23.33,     23.33,     26.67,     26.67
    1464.07,      0.00,      0.00,    100.00,     32.65,     32.65,     17.35,     17.35
    1466.39,      0.00,      0.00,    100.00,     27.98,     27.98,     22.02,     22.02
    1468.56,      0.00,      0.00,    100.00,     13.05,     13.05,     36.95,     36.95
    1470.14,      0.00,      0.00,    100.00,     28.84,     28.84,     21.16,     21.16
    1473.27,      0.00,      0.00,    100.00,     36.68,     36.68,     13.32,     13.32
    1473.94,      0.00,      0.00,    100.00,     37.41,     37.41,     12.59,     12.59
    1474.69,      0.00,      0.00,    100.00,      8.60,      8.60,     41.40,     41.40
    1475.79,      0.00,      0.00,    100.00,     40.71,     40.71,      9.29,      9.29
    1478.36,      0.00,      0.00,    100.00,     29.96,     29.96,     20.04,     20.04
    1482.83,      0.00,      0.00,    100.00,     34.14,     34.14,     15.86,     15.86
    1484.06,      0.00,      0.00,    100.00,     12.23,     12.23,     37.77,     37.77
    1505.41,      0.01,      0.06,     99.93,     27.64,     27.64,     22.36,     22.36
    1511.53,      0.01,      0.05,     99.94,     29.99,     29.99,     20.01,     20.01
    1520.15,      0.01,      0.02,     99.97,     27.31,     27.31,     22.69,     22.69
    1521.13,      0.01,      0.03,     99.96,     28.09,     28.09,     21.91,     21.91
    1565.93,      0.01,      0.01,     99.98,     27.24,     27.24,     22.76,     22.76
    1568.07,      0.00,      0.01,     99.99,     16.71,     16.71,     33.29,     33.29
    1568.43,      0.01,      0.01,     99.99,     22.23,     22.23,     27.77,     27.77
    1597.41,      0.00,      0.01,     99.99,     23.88,     23.88,     26.12,     26.12
    1617.96,      0.01,      0.01,     99.98,     27.41,     27.41,     22.59,     22.59
    1629.18,      0.01,      0.02,     99.97,     19.90,     19.90,     30.10,     30.10
    1632.50,      0.02,      0.02,     99.96,     19.69,     19.69,     30.31,     30.31
    1634.44,      0.01,      0.02,     99.97,     29.84,     29.84,     20.16,     20.16
    1645.37,      0.00,      0.03,     99.97,     28.08,     28.08,     21.92,     21.92
    1650.93,      0.02,      0.00,     99.98,     10.96,     10.96,     39.04,     39.04
    1667.58,      0.03,      0.02,     99.95,     24.38,     24.38,     25.62,     25.62
    1668.95,      0.02,      0.00,     99.98,     37.54,     37.54,     12.46,     12.46
    2688.20,      0.01,      0.02,     99.98,     49.58,     49.58,      0.42,      0.42
    2715.52,      0.00,      0.01,     99.99,     49.07,     49.07,      0.93,      0.93
    2927.71,      0.00,      0.01,     99.99,      0.52,      0.52,     49.48,     49.48
    2948.85,      0.00,      0.00,    100.00,     48.49,     48.49,      1.51,      1.51
    2948.99,      0.00,      0.00,    100.00,     49.87,     49.87,      0.13,      0.13
    2952.09,      0.00,      0.01,     99.99,      0.29,      0.29,     49.71,     49.71
    2952.23,      0.00,      0.00,    100.00,      0.08,      0.08,     49.92,     49.92
    2954.64,      0.00,      0.01,     99.99,      3.65,      3.65,     46.35,     46.35
    2967.64,      0.00,      0.01,     99.99,      3.13,      3.13,     46.87,     46.87
    2971.64,      0.00,      0.00,    100.00,     42.37,     42.37,      7.63,      7.63
    2972.58,      0.00,      0.00,    100.00,     49.16,     49.16,      0.84,      0.84
    2973.42,      0.00,      0.00,    100.00,      5.38,      5.38,     44.62,     44.62
    2974.18,      0.00,      0.00,    100.00,      0.11,      0.11,     49.89,     49.89
    2976.66,      0.00,      0.00,    100.00,      7.15,      7.15,     42.85,     42.85
    2978.49,      0.00,      0.00,    100.00,     47.43,     47.43,      2.57,      2.57
    2978.64,      0.00,      0.00,    100.00,     46.51,     46.51,      3.49,      3.49
    2980.04,      0.00,      0.00,    100.00,     45.29,     45.29,      4.71,      4.71
    2980.09,      0.00,      0.00,    100.00,     49.68,     49.68,      0.32,      0.32
    2980.97,      0.00,      0.00,    100.00,      2.72,      2.72,     47.28,     47.28
    2982.27,      0.00,      0.00,    100.00,      3.29,      3.29,     46.71,     46.71
    2989.01,      0.00,      0.01,     99.99,      1.66,      1.66,     48.34,     48.34
    2990.43,      0.00,      0.01,     99.99,      2.24,      2.24,     47.76,     47.76
    2994.75,      0.00,      0.00,    100.00,      0.16,      0.16,     49.84,     49.84
    2994.75,      0.00,      0.00,    100.00,      0.09,      0.09,     49.91,     49.91
    3017.00,      0.00,      0.00,    100.00,      0.21,      0.21,     49.79,     49.79
    3017.10,      0.00,      0.00,    100.00,      0.25,      0.25,     49.75,     49.75
    3024.13,      0.00,      0.00,    100.00,      3.51,      3.51,     46.49,     46.49
    3024.37,      0.00,      0.00,    100.00,      1.72,      1.72,     48.28,     48.28
    3024.47,      0.00,      0.00,    100.00,     47.56,     47.56,      2.44,      2.44
    3024.76,      0.00,      0.00,    100.00,     49.82,     49.82,      0.18,      0.18
