../../../pdielec -processors 4 -size 0 -size 0.1 -size 1 -size 3 -vmin 300 -vmax 800 -sphere -method maxwell -sigma 10 -csv command1.csv phonon -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   4,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
   5,  388.28,         9.290771,               39259.082853,  2499.3108,    10.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/0.1mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/1mu),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1/3mu),maxwell_sphere_real_dielectric(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1/0.1mu),maxwell_sphere_real_dielectric(vf=0.1/1mu),maxwell_sphere_real_dielectric(vf=0.1/3mu),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1/0.1mu),maxwell_sphere_imag_dielectric(vf=0.1/1mu),maxwell_sphere_imag_dielectric(vf=0.1/3mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/0.1mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/1mu),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1/3mu)
,,,,,,  305.400000,    9.155662,          0.38820559,          0.38824877,          0.35701126,          0.71227353,          2.49432844,          2.49438343,          2.49984314,          2.54349717,          0.00637956,          0.00638034,          0.00587341,         -0.01181994,          3.36625207,          3.36662646,          3.09575626,          6.17634651
,,,,,,  305.600000,    9.161658,          0.38919440,          0.38923780,          0.35789279,          0.71545607,          2.49458360,          2.49463873,          2.50011130,          2.54386848,          0.00639195,          0.00639273,          0.00588437,         -0.01186585,          3.37482638,          3.37520266,          3.10340030,          6.20394336
,,,,,,  305.800000,    9.167653,          0.39018602,          0.39022963,          0.35877677,          0.71865168,          2.49483926,          2.49489451,          2.50037998,          2.54424060,          0.00640437,          0.00640516,          0.00589537,         -0.01191192,          3.38342497,          3.38380314,          3.11106559,          6.23165350
,,,,,,  306.000000,    9.173649,          0.39118044,          0.39122427,          0.35966322,          0.72186042,          2.49509542,          2.49515080,          2.50064920,          2.54461353,          0.00641683,          0.00641762,          0.00590639,         -0.01195817,          3.39204791,          3.39242799,          3.11875222,          6.25947743
,,,,,,  306.200000,    9.179645,          0.39217768,          0.39222173,          0.36055213,          0.72508233,          2.49535207,          2.49540758,          2.50091894,          2.54498726,          0.00642931,          0.00643011,          0.00591744,         -0.01200458,          3.40069530,          3.40107729,          3.12646027,          6.28741565
,,,,,,  306.400000,    9.185641,          0.39317775,          0.39322202,          0.36144352,          0.72831748,          2.49560922,          2.49566486,          2.50118922,          2.54536182,          0.00644183,          0.00644263,          0.00592852,         -0.01205115,          3.40936722,          3.40975113,          3.13418980,          6.31546865
,,,,,,  306.600000,    9.191637,          0.39418066,          0.39422516,          0.36233740,          0.73156593,          2.49586688,          2.49592265,          2.50146004,          2.54573718,          0.00645439,          0.00645519,          0.00593962,         -0.01209790,          3.41806375,          3.41844960,          3.14194090,          6.34363694
,,,,,,  306.800000,    9.197633,          0.39518642,          0.39523114,          0.36323377,          0.73482773,          2.49612503,          2.49618093,          2.50173139,          2.54611337,          0.00646697,          0.00646777,          0.00595076,         -0.01214482,          3.42678500,          3.42717279,          3.14971364,          6.37192103
,,,,,,  307.000000,    9.203628,          0.39619503,          0.39623998,          0.36413265,          0.73810294,          2.49638369,          2.49643972,          2.50200328,          2.54649037,          0.00647959,          0.00648040,          0.00596192,         -0.01219190,          3.43553103,          3.43592078,          3.15750811,          6.40032141
,,,,,,  307.200000,    9.209624,          0.39720652,          0.39725169,          0.36503405,          0.74139162,          2.49664285,          2.49669902,          2.50227571,          2.54686820,          0.00649224,          0.00649305,          0.00597311,         -0.01223916,          3.44430195,          3.44469366,          3.16532438,          6.42883860
,,,,,,  307.400000,    9.215620,          0.39822089,          0.39826629,          0.36593796,          0.74469383,          2.49690252,          2.49695882,          2.50254868,          2.54724686,          0.00650492,          0.00650574,          0.00598433,         -0.01228659,          3.45309784,          3.45349152,          3.17316253,          6.45747311
,,,,,,  307.600000,    9.221616,          0.39923814,          0.39928377,          0.36684441,          0.74800963,          2.49716269,          2.49721912,          2.50282220,          2.54762634,          0.00651764,          0.00651846,          0.00599558,         -0.01233419,          3.46191879,          3.46231446,          3.18102264,          6.48622545
,,,,,,  307.800000,    9.227612,          0.40025830,          0.40030416,          0.36775341,          0.75133908,          2.49742338,          2.49747994,          2.50309625,          2.54800665,          0.00653039,          0.00653121,          0.00600686,         -0.01238197,          3.47076490,          3.47116256,          3.18890478,          6.51509614
,,,,,,  308.000000,    9.233608,          0.40128137,          0.40132746,          0.36866495,          0.75468224,          2.49768457,          2.49774127,          2.50337086,          2.54838780,          0.00654317,          0.00654399,          0.00601817,         -0.01242991,          3.47963624,          3.48003590,          3.19680905,          6.54408570
,,,,,,  308.200000,    9.239604,          0.40230736,          0.40235368,          0.36957905,          0.75803917,          2.49794627,          2.49800310,          2.50364600,          2.54876978,          0.00655598,          0.00655681,          0.00602951,         -0.01247804,          3.48853292,          3.48893459,          3.20473551,          6.57319466
,,,,,,  308.400000,    9.245599,          0.40333628,          0.40338284,          0.37049572,          0.76140992,          2.49820849,          2.49826545,          2.50392170,          2.54915259,          0.00656883,          0.00656967,          0.00604088,         -0.01252634,          3.49745502,          3.49785872,          3.21268425,          6.60242353
,,,,,,  308.600000,    9.251595,          0.40436814,          0.40441493,          0.37141497,          0.76479457,          2.49847122,          2.49852832,          2.50419795,          2.54953625,          0.00658172,          0.00658255,          0.00605228,         -0.01257481,          3.50640263,          3.50680837,          3.22065535,          6.63177285
,,,,,,  308.800000,    9.257591,          0.40540296,          0.40544999,          0.37233681,          0.76819316,          2.49873446,          2.49879170,          2.50447475,          2.54992075,          0.00659463,          0.00659547,          0.00606370,         -0.01262346,          3.51537585,          3.51578364,          3.22864889,          6.66124314
,,,,,,  309.000000,    9.263587,          0.40644074,          0.40648801,          0.37326124,          0.77160577,          2.49899823,          2.49905559,          2.50475210,          2.55030610,          0.00660759,          0.00660843,          0.00607516,         -0.01267229,          3.52437477,          3.52478461,          3.23666496,          6.69083495
,,,,,,  309.200000,    9.269583,          0.40748150,          0.40752900,          0.37418828,          0.77503246,          2.49926250,          2.49932001,          2.50503000,          2.55069229,          0.00662057,          0.00662142,          0.00608665,         -0.01272130,          3.53339948,          3.53381139,          3.24470363,          6.72054880
