../../../../pdielec -processors 4 -vmin 300 -vmax 800 -matrix ptfe -sigma 5 -sphere -needle 0 0 1 -plate 1 0 0 -csv command1.csv -masses program -hessian crystal -program crystal ZnO_CPHF.out -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   6,  373.28,        16.258071,               68700.105030,  8747.1690,     5.0
   7,  398.07,        15.468640,               65364.283764,  8322.4391,     5.0
   8,  398.07,        15.468640,               65364.283764,  8322.4391,     5.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,  308.400000,    9.245599,          0.52046030,          3.05260921,          3.96028641,          2.45714015,          2.85994693,          3.13753029,          0.00327431,          0.02071906,          0.02815412,          1.75785555,         10.31019279,         13.37587409
,,,,,,  308.600000,    9.251595,          0.52209405,          3.07216917,          3.98397206,          2.45740231,          2.86160469,          3.13978328,          0.00328263,          0.02084435,          0.02831431,          1.76337354,         10.37625662,         13.45587242
,,,,,,  308.800000,    9.257591,          0.52373401,          3.09190621,          4.00785681,          2.45766513,          2.86327245,          3.14204908,          0.00329099,          0.02097078,          0.02847589,          1.76891249,         10.44291847,         13.53654318
,,,,,,  309.000000,    9.263587,          0.52538020,          3.11182243,          4.03194289,          2.45792862,          2.86495032,          3.14432778,          0.00329937,          0.02109839,          0.02863886,          1.77447252,         10.51018556,         13.61789398
,,,,,,  309.200000,    9.269583,          0.52703266,          3.13192002,          4.05623260,          2.45819278,          2.86663838,          3.14661952,          0.00330779,          0.02122717,          0.02880325,          1.78005372,         10.57806519,         13.69993252
,,,,,,  309.400000,    9.275579,          0.52869143,          3.15220116,          4.08072825,          2.45845761,          2.86833673,          3.14892439,          0.00331623,          0.02135714,          0.02896906,          1.78565619,         10.64656479,         13.78266662
,,,,,,  309.600000,    9.281574,          0.53035652,          3.17266810,          4.10543219,          2.45872312,          2.87004546,          3.15124251,          0.00332471,          0.02148832,          0.02913633,          1.79128004,         10.71569189,         13.86610422
,,,,,,  309.800000,    9.287570,          0.53202797,          3.19332308,          4.13034681,          2.45898931,          2.87176467,          3.15357400,          0.00333321,          0.02162073,          0.02930507,          1.79692538,         10.78545415,         13.95025337
,,,,,,  310.000000,    9.293566,          0.53370582,          3.21416843,          4.15547451,          2.45925618,          2.87349446,          3.15591898,          0.00334175,          0.02175438,          0.02947528,          1.80259230,         10.85585934,         14.03512224
,,,,,,  310.200000,    9.299562,          0.53539008,          3.23520646,          4.18081776,          2.45952374,          2.87523492,          3.15827755,          0.00335031,          0.02188928,          0.02964700,          1.80828092,         10.92691533,         14.12071910
,,,,,,  310.400000,    9.305558,          0.53708081,          3.25643956,          4.20637904,          2.45979198,          2.87698617,          3.16064985,          0.00335891,          0.02202545,          0.02982024,          1.81399135,         10.99863015,         14.20705237
,,,,,,  310.600000,    9.311554,          0.53877802,          3.27787012,          4.23216088,          2.46006090,          2.87874828,          3.16303600,          0.00336754,          0.02216291,          0.02999501,          1.81972368,         11.07101191,         14.29413059
,,,,,,  310.800000,    9.317550,          0.54048175,          3.29950060,          4.25816584,          2.46033052,          2.88052138,          3.16543610,          0.00337620,          0.02230167,          0.03017134,          1.82547803,         11.14406888,         14.38196239
,,,,,,  311.000000,    9.323545,          0.54219203,          3.32133347,          4.28439653,          2.46060084,          2.88230556,          3.16785030,          0.00338489,          0.02244175,          0.03034925,          1.83125451,         11.21780944,         14.47055657
,,,,,,  311.200000,    9.329541,          0.54390890,          3.34337126,          4.31085558,          2.46087184,          2.88410093,          3.17027872,          0.00339362,          0.02258317,          0.03052875,          1.83705322,         11.29224211,         14.55992205
