../../../pdielec -matrix ptfe -sigma 5 -method maxwell -method bruggeman -method ap -vf 0.5 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -csv command.csv -masses program -eckart -program qe Na2SO42.dynG
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   93.38,         0.412906,                1744.777527,   222.1520,     5.0
   7,  120.60,         1.390946,                5877.583475,   748.3572,     5.0
   8,  136.86,         3.005715,               12700.949152,  1617.1351,     5.0
  11,  183.22,         0.476814,                2014.823992,   256.5354,     5.0
  13,  208.29,         3.111573,               13148.263779,  1674.0889,     5.0
  15,  235.01,         3.506549,               14817.274683,  1886.5940,     5.0
  18,  378.13,         0.120970,                 511.169484,    65.0841,     5.0
  20,  442.38,         0.206739,                 873.594953,   111.2296,     5.0
  21,  522.03,         6.490971,               27428.245360,  3492.2727,     5.0
  23,  529.61,         3.590284,               15171.104715,  1931.6450,     5.0
  25,  560.99,         1.775122,                7500.953464,   955.0511,     5.0
  27,  665.08,        19.947433,               84289.871605, 10732.1198,     5.0
  30,  997.61,         7.982137,               33729.317511,  4294.5501,     5.0
  32, 1178.43,        27.137842,              114673.663564, 14600.7043,     5.0
  34, 1194.33,        23.721719,              100238.494587, 12762.7615,     5.0
,,,,,cm-1,thz,maxwell_needle[0 0 1]_real_dielectric(vf=0.5),maxwell_needle[0 0 1]_imag_dielectric(vf=0.5),maxwell_needle[0 0 1]_absorption_coeficient_cm-1(vf=0.5),maxwell_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.5),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.5),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coeficient_cm-1(vf=0.5),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5),maxwell_plate(1 0 0)_real_dielectric(vf=0.5),maxwell_plate(1 0 0)_imag_dielectric(vf=0.5),maxwell_plate(1 0 0)_absorption_coeficient_cm-1(vf=0.5),maxwell_plate(1 0 0)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5),bruggeman_needle[0 0 1]_real_dielectric(vf=0.5),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.5),bruggeman_needle[0 0 1]_absorption_coeficient_cm-1(vf=0.5),bruggeman_needle[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.5),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.5),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coeficient_cm-1(vf=0.5),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5),bruggeman_plate(1 0 0)_real_dielectric(vf=0.5),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.5),bruggeman_plate(1 0 0)_absorption_coeficient_cm-1(vf=0.5),bruggeman_plate(1 0 0)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5),ap_noshape[0 0 1]_real_dielectric(vf=0.5),ap_noshape[0 0 1]_imag_dielectric(vf=0.5),ap_noshape[0 0 1]_absorption_coeficient_cm-1(vf=0.5),ap_noshape[0 0 1]_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.5)
,,,,,    4.000000,    0.119917,          3.24721148,          0.00066979,          0.00405701,          0.00074214,          3.25051165,          0.00069745,          0.00422239,          0.00077240,          3.37758008,          0.00083836,          0.00497914,          0.00091083,          3.34407780,          0.00082347,          0.00491510,          0.00089911,          3.35989956,          0.00086113,          0.00512781,          0.00093803,          3.35575804,          0.00084406,          0.00502925,          0.00092000,          3.60336202,          0.00113040,          0.00649984,          0.00118901
,,,,,    4.200000,    0.125913,          3.24726632,          0.00070342,          0.00447376,          0.00081838,          3.25056876,          0.00073246,          0.00465605,          0.00085173,          3.37764871,          0.00088048,          0.00549066,          0.00100440,          3.34414522,          0.00086482,          0.00541998,          0.00099147,          3.35997007,          0.00090438,          0.00565453,          0.00103438,          3.35582714,          0.00088646,          0.00554590,          0.00101451,          3.60345457,          0.00118718,          0.00716755,          0.00131115
,,,,,    4.400000,    0.131909,          3.24732385,          0.00073708,          0.00491102,          0.00089837,          3.25062867,          0.00076749,          0.00511103,          0.00093496,          3.37772071,          0.00092262,          0.00602737,          0.00110258,          3.34421595,          0.00090620,          0.00594970,          0.00108837,          3.36004403,          0.00094765,          0.00620717,          0.00113547,          3.35589964,          0.00092888,          0.00608797,          0.00111367,          3.60355166,          0.00124400,          0.00786813,          0.00143931
,,,,,    4.600000,    0.137905,          3.24738406,          0.00077077,          0.00536881,          0.00098211,          3.25069138,          0.00080255,          0.00558737,          0.00102209,          3.37779608,          0.00096479,          0.00658930,          0.00120538,          3.34428998,          0.00094761,          0.00650430,          0.00118983,          3.36012145,          0.00099096,          0.00678576,          0.00124131,          3.35597552,          0.00097133,          0.00665551,          0.00121749,          3.60365328,          0.00130086,          0.00860161,          0.00157348
,,,,,    4.800000,    0.143900,          3.24744697,          0.00080447,          0.00584717,          0.00106962,          3.25075689,          0.00083763,          0.00608508,          0.00111314,          3.37787482,          0.00100700,          0.00717649,          0.00131279,          3.34436732,          0.00098905,          0.00708381,          0.00129583,          3.36020233,          0.00103429,          0.00739034,          0.00135191,          3.35605479,          0.00101382,          0.00724855,          0.00132597,          3.60375945,          0.00135776,          0.00936805,          0.00171369
,,,,,    5.000000,    0.149896,          3.24751257,          0.00083820,          0.00634613,          0.00116089,          3.25082520,          0.00087273,          0.00660419,          0.00120810,          3.37795693,          0.00104923,          0.00778897,          0.00142483,          3.34444798,          0.00103052,          0.00768826,          0.00140641,          3.36028668,          0.00107765,          0.00802093,          0.00146726,          3.35613746,          0.00105634,          0.00786713,          0.00143913,          3.60387016,          0.00141470,          0.01016748,          0.00185993
,,,,,    5.200000,    0.155892,          3.24758087,          0.00087196,          0.00686570,          0.00125594,          3.25089632,          0.00090786,          0.00714474,          0.00130698,          3.37804241,          0.00109151,          0.00842677,          0.00154150,          3.34453194,          0.00107202,          0.00831769,          0.00152155,          3.36037448,          0.00112105,          0.00867759,          0.00158738,          3.35622353,          0.00109889,          0.00851127,          0.00155696,          3.60398542,          0.00147169,          0.01099997,          0.00201221
,,,,,    5.400000,    0.161888,          3.24765186,          0.00090575,          0.00740593,          0.00135476,          3.25097025,          0.00094302,          0.00770675,          0.00140979,          3.37813127,          0.00113381,          0.00908995,          0.00166282,          3.34461922,          0.00111355,          0.00897214,          0.00164126,          3.36046576,          0.00116448,          0.00936033,          0.00171228,          3.35631299,          0.00114147,          0.00918103,          0.00167948,          3.60410523,          0.00152872,          0.01186555,          0.00217055
,,,,,    5.600000,    0.167884,          3.24772555,          0.00093956,          0.00796684,          0.00145737,          3.25104698,          0.00097820,          0.00829025,          0.00151653,          3.37822351,          0.00117616,          0.00977853,          0.00178878,          3.34470983,          0.00115512,          0.00965164,          0.00176557,          3.36056050,          0.00120795,          0.01006921,          0.00184195,          3.35640586,          0.00118409,          0.00987644,          0.00180669,          3.60422961,          0.00158581,          0.01276429,          0.00233496
,,,,,    5.800000,    0.173880,          3.24780195,          0.00097340,          0.00854848,          0.00156377,          3.25112653,          0.00101341,          0.00889528,          0.00162721,          3.37831914,          0.00121854,          0.01049257,          0.00191940,          3.34480375,          0.00119673,          0.01035623,          0.00189446,          3.36065872,          0.00125146,          0.01080427,          0.00197642,          3.35650213,          0.00122675,          0.01059755,          0.00193860,          3.60435854,          0.00164294,          0.01369623,          0.00250544
