../../../pdielec -processors 4 -matrix ptfe -sigma 5 -method maxwell -method bruggeman -method ap -vf 0.1 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 -LO 1 1 1 -masses program -csv command.csv -program gulp na2so42.gout -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   81.18,         1.546494,                6534.863232,   832.0446,     5.0
   4,  102.21,         0.000000,                   0.000001,     0.0000,     5.0
   6,  120.93,         0.000000,                   0.000009,     0.0000,     5.0
   7,  121.77,         1.165047,                4923.024028,   626.8189,     5.0
   9,  159.50,         0.204811,                 865.451272,   110.1927,     5.0
  11,  196.15,         1.876415,                7928.981298,  1009.5493,     5.0
  13,  213.91,         1.368763,                5783.844869,   736.4220,     5.0
  15,  245.38,         0.272789,                1152.698611,   146.7661,     5.0
  16,  245.85,         0.000000,                   0.000006,     0.0000,     5.0
  18,  382.72,         0.351909,                1487.027155,   189.3342,     5.0
  20,  446.64,         0.253350,                1070.556386,   136.3075,     5.0
  21,  473.67,         0.153506,                 648.656071,    82.5895,     5.0
  23,  558.97,         0.009330,                  39.423242,     5.0195,     5.0
  25,  621.84,         1.585956,                6701.616177,   853.2763,     5.0
  27,  640.68,         1.552273,                6559.284068,   835.1540,     5.0
  28,  641.72,         0.000000,                   0.000001,     0.0000,     5.0
  30, 1015.63,         0.131875,                 557.250524,    70.9513,     5.0
  32, 1194.80,         4.984047,               21060.589590,  2681.5176,     5.0
  33, 1203.72,         4.975015,               21022.424324,  2676.6582,     5.0
  34, 1208.11,         0.000000,                   0.000001,     0.0000,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),bruggeman_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),ap_noshape[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),bruggeman_needle[0 0 1]_real_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),bruggeman_plate(1 0 0)_real_dielectric(vf=0.1),ap_noshape[0 0 1]_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),bruggeman_needle[0 0 1]_imag_dielectric(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),bruggeman_plate(1 0 0)_imag_dielectric(vf=0.1),ap_noshape[0 0 1]_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),bruggeman_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),bruggeman_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),bruggeman_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1),ap_noshape[0 0 1]_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    4.000000,    0.119917,          0.00097334,          0.00140569,          0.00127638,          0.00145309,          0.00182202,          0.00148397,          0.00273563,          2.13179505,          2.15160363,          2.14609938,          2.15037595,          2.16399396,          2.15190599,          2.20509474,          0.00017469,          0.00025345,          0.00022984,          0.00026192,          0.00032946,          0.00026759,          0.00049934,          0.00130591,          0.00188599,          0.00171250,          0.00194959,          0.00244457,          0.00199102,          0.00367035
,,,,,,    4.200000,    0.125913,          0.00107333,          0.00155022,          0.00140757,          0.00160254,          0.00200953,          0.00163660,          0.00301734,          2.13180935,          2.15162437,          2.14611819,          2.15039738,          2.16402090,          2.15192788,          2.20513555,          0.00018346,          0.00026620,          0.00024140,          0.00027511,          0.00034607,          0.00028106,          0.00052454,          0.00144007,          0.00207990,          0.00188851,          0.00215011,          0.00269615,          0.00219579,          0.00404831
,,,,,,    4.400000,    0.131909,          0.00117824,          0.00170188,          0.00154524,          0.00175939,          0.00220634,          0.00179678,          0.00331305,          2.13182435,          2.15164613,          2.14613792,          2.15041986,          2.16404917,          2.15195085,          2.20517838,          0.00019224,          0.00027896,          0.00025296,          0.00028831,          0.00036269,          0.00029454,          0.00054977,          0.00158083,          0.00228339,          0.00207322,          0.00236054,          0.00296020,          0.00241070,          0.00444506
,,,,,,    4.600000,    0.137905,          0.00128809,          0.00186070,          0.00168938,          0.00192364,          0.00241246,          0.00196452,          0.00362280,          2.13184006,          2.15166890,          2.14615858,          2.15044339,          2.16407877,          2.15197489,          2.20522322,          0.00020103,          0.00029174,          0.00026454,          0.00030152,          0.00037934,          0.00030804,          0.00057504,          0.00172821,          0.00249647,          0.00226662,          0.00258091,          0.00323676,          0.00263576,          0.00486064
,,,,,,    4.800000,    0.143900,          0.00140287,          0.00202669,          0.00184003,          0.00209531,          0.00262793,          0.00213984,          0.00394663,          2.13185647,          2.15169270,          2.14618016,          2.15046798,          2.16410969,          2.15200001,          2.20527007,          0.00020982,          0.00030452,          0.00027612,          0.00031475,          0.00039600,          0.00032155,          0.00060035,          0.00188220,          0.00271917,          0.00246873,          0.00281124,          0.00352585,          0.00287099,          0.00529512
,,,,,,    5.000000,    0.149896,          0.00152259,          0.00219985,          0.00199717,          0.00227442,          0.00285276,          0.00232276,          0.00428458,          2.13187358,          2.15171752,          2.14620267,          2.15049363,          2.16414194,          2.15202621,          2.20531895,          0.00021861,          0.00031732,          0.00028772,          0.00032799,          0.00041269,          0.00033508,          0.00062569,          0.00204283,          0.00295150,          0.00267957,          0.00305155,          0.00382750,          0.00311641,          0.00574855
,,,,,,    5.200000,    0.155892,          0.00164726,          0.00238021,          0.00216084,          0.00246099,          0.00308699,          0.00251329,          0.00463670,          2.13189139,          2.15174336,          2.14622611,          2.15052033,          2.16417553,          2.15205349,          2.20536984,          0.00022742,          0.00033014,          0.00029932,          0.00034124,          0.00042940,          0.00034862,          0.00065108,          0.00221011,          0.00319348,          0.00289915,          0.00330186,          0.00414176,          0.00337204,          0.00622098
,,,,,,    5.400000,    0.161888,          0.00177690,          0.00256778,          0.00233103,          0.00265503,          0.00333063,          0.00271146,          0.00500303,          2.13190990,          2.15177022,          2.14625047,          2.15054809,          2.16421045,          2.15208185,          2.20542277,          0.00023623,          0.00034296,          0.00031094,          0.00035452,          0.00044614,          0.00036218,          0.00067651,          0.00238403,          0.00344514,          0.00312750,          0.00356220,          0.00446865,          0.00363792,          0.00671248
,,,,,,    5.600000,    0.167884,          0.00191149,          0.00276257,          0.00250776,          0.00285656,          0.00358371,          0.00291728,          0.00538362,          2.13192912,          2.15179811,          2.14627576,          2.15057691,          2.16424670,          2.15211130,          2.20547772,          0.00024505,          0.00035580,          0.00032257,          0.00036781,          0.00046290,          0.00037576,          0.00070198,          0.00256462,          0.00370649,          0.00336462,          0.00383259,          0.00480821,          0.00391406,          0.00722311
,,,,,,    5.800000,    0.173880,          0.00205106,          0.00296460,          0.00269106,          0.00306560,          0.00384627,          0.00313077,          0.00577851,          2.13194905,          2.15182702,          2.14630198,          2.15060679,          2.16428429,          2.15214183,          2.20553470,          0.00025388,          0.00036866,          0.00033421,          0.00038111,          0.00047968,          0.00038935,          0.00072750,          0.00275188,          0.00397755,          0.00361054,          0.00411306,          0.00516047,          0.00420049,          0.00775293
,,,,,,    6.000000,    0.179875,          0.00219562,          0.00317389,          0.00288092,          0.00328217,          0.00411833,          0.00335194,          0.00618776,          2.13196968,          2.15185696,          2.14632912,          2.15063774,          2.16432323,          2.15217344,          2.20559372,          0.00026271,          0.00038153,          0.00034587,          0.00039444,          0.00049650,          0.00040297,          0.00075306,          0.00294582,          0.00425836,          0.00386528,          0.00440362,          0.00552549,          0.00449724,          0.00830202
,,,,,,    6.200000,    0.185871,          0.00234517,          0.00339046,          0.00307736,          0.00350628,          0.00439991,          0.00358083,          0.00661142,          2.13199101,          2.15188793,          2.14635720,          2.15066975,          2.16436350,          2.15220614,          2.20565478,          0.00027156,          0.00039442,          0.00035754,          0.00040778,          0.00051334,          0.00041660,          0.00077868,          0.00314647,          0.00454893,          0.00412884,          0.00470432,          0.00590329,          0.00480434,          0.00887043
,,,,,,    6.400000,    0.191867,          0.00249971,          0.00361433,          0.00328041,          0.00373797,          0.00469106,          0.00381745,          0.00704955,          2.13201306,          2.15191993,          2.14638621,          2.15070282,          2.16440512,          2.15223993,          2.20571788,          0.00028041,          0.00040733,          0.00036922,          0.00042115,          0.00053021,          0.00043025,          0.00080434,          0.00335382,          0.00484928,          0.00440127,          0.00501517,          0.00629392,          0.00512181,          0.00945826
,,,,,,    6.600000,    0.197863,          0.00265927,          0.00384551,          0.00349007,          0.00397726,          0.00499181,          0.00406183,          0.00750219,          2.13203580,          2.15195296,          2.14641616,          2.15073696,          2.16444808,          2.15227481,          2.20578304,          0.00028927,          0.00042025,          0.00038092,          0.00043453,          0.00054711,          0.00044393,          0.00083006,          0.00356790,          0.00515945,          0.00468257,          0.00533622,          0.00669742,          0.00544968,          0.01006556
,,,,,,    6.800000,    0.203859,          0.00282385,          0.00408402,          0.00370636,          0.00422416,          0.00530218,          0.00431398,          0.00796942,          2.13205926,          2.15198702,          2.14644704,          2.15077217,          2.16449240,          2.15231078,          2.20585024,          0.00029814,          0.00043320,          0.00039263,          0.00044793,          0.00056404,          0.00045762,          0.00085584,          0.00378871,          0.00547946,          0.00497276,          0.00566748,          0.00711385,          0.00578800,          0.01069243
,,,,,,    7.000000,    0.209855,          0.00299346,          0.00432989,          0.00392930,          0.00447869,          0.00562222,          0.00457394,          0.00845128,          2.13208343,          2.15202212,          2.14647885,          2.15080845,          2.16453806,          2.15234785,          2.20591950,          0.00030702,          0.00044616,          0.00040436,          0.00046136,          0.00058100,          0.00047134,          0.00088167,          0.00401627,          0.00580933,          0.00527187,          0.00600898,          0.00754323,          0.00613678,          0.01133894
,,,,,,    7.200000,    0.215851,          0.00316811,          0.00458313,          0.00415890,          0.00474089,          0.00595196,          0.00484173,          0.00894785,          2.13210831,          2.15205825,          2.14651161,          2.15084581,          2.16458508,          2.15238601,          2.20599082,          0.00031591,          0.00045914,          0.00041610,          0.00047481,          0.00059800,          0.00048508,          0.00090756,          0.00425060,          0.00614910,          0.00557993,          0.00636077,          0.00798564,          0.00649606,          0.01200517
