../../../pdielec -program phonopy vasp OUTCAR -matrix ptfe -vmin 0 -vmax 1000 -mf 0.01 -method ap -method maxwell -method bruggeman_iter -sphere -plate 0 0 1 -needle 0 0 1 -csv command.csv -sigma 5
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,   91.30,         0.000000,                   0.000000,     0.0000,     5.0
   4,   91.30,         0.000000,                   0.000009,     0.0000,     5.0
   6,  350.41,        17.095344,               72238.083496,  9197.6385,     5.0
   7,  372.03,        16.403289,               69313.736756,  8825.2991,     5.0
   8,  372.03,        16.403059,               69312.765242,  8825.1754,     5.0
   9,  402.01,         0.000000,                   0.000010,     0.0000,     5.0
  10,  402.01,         0.000000,                   0.000000,     0.0000,     5.0
  11,  509.34,         0.000000,                   0.000001,     0.0000,     5.0
,,,,,,cm-1,thz,ap_noshape_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),maxwell_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),bruggeman_iter_sphere_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),bruggeman_iter_plate(0 0 1)_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),bruggeman_iter_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(mf=0.01),ap_noshape_real_dielectric(mf=0.01),maxwell_sphere_real_dielectric(mf=0.01),maxwell_plate(0 0 1)_real_dielectric(mf=0.01),maxwell_needle[0 0 1]_real_dielectric(mf=0.01),bruggeman_iter_sphere_real_dielectric(mf=0.01),bruggeman_iter_plate(0 0 1)_real_dielectric(mf=0.01),bruggeman_iter_needle[0 0 1]_real_dielectric(mf=0.01),ap_noshape_imag_dielectric(mf=0.01),maxwell_sphere_imag_dielectric(mf=0.01),maxwell_plate(0 0 1)_imag_dielectric(mf=0.01),maxwell_needle[0 0 1]_imag_dielectric(mf=0.01),bruggeman_iter_sphere_imag_dielectric(mf=0.01),bruggeman_iter_plate(0 0 1)_imag_dielectric(mf=0.01),bruggeman_iter_needle[0 0 1]_imag_dielectric(mf=0.01),ap_noshape_absorption_coefficent_cm-1(mf=0.01),maxwell_sphere_absorption_coefficent_cm-1(mf=0.01),maxwell_plate(0 0 1)_absorption_coefficent_cm-1(mf=0.01),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(mf=0.01),bruggeman_iter_sphere_absorption_coefficent_cm-1(mf=0.01),bruggeman_iter_plate(0 0 1)_absorption_coefficent_cm-1(mf=0.01),bruggeman_iter_needle[0 0 1]_absorption_coefficent_cm-1(mf=0.01)
,,,,,,    4.000000,    0.119917,          0.00018645,          0.00002959,          0.00011482,          0.00008575,          0.00002999,          0.00002226,          0.00003426,          2.03703438,          2.01474402,          2.02622107,          2.02059526,          2.01479404,          2.01427512,          2.01506789,          0.00000332,          0.00000052,          0.00000204,          0.00000152,          0.00000053,          0.00000039,          0.00000061,          0.00002535,          0.00000402,          0.00001561,          0.00001166,          0.00000408,          0.00000303,          0.00000466
,,,,,,    4.200000,    0.125913,          0.00020556,          0.00003263,          0.00012659,          0.00009454,          0.00003306,          0.00002455,          0.00003777,          2.03703465,          2.01474407,          2.02622123,          2.02059538,          2.01479409,          2.01427515,          2.01506794,          0.00000348,          0.00000055,          0.00000214,          0.00000159,          0.00000056,          0.00000041,          0.00000064,          0.00002795,          0.00000444,          0.00001721,          0.00001286,          0.00000450,          0.00000334,          0.00000514
,,,,,,    4.400000,    0.131909,          0.00022561,          0.00003581,          0.00013894,          0.00010376,          0.00003629,          0.00002694,          0.00004146,          2.03703494,          2.01474411,          2.02622141,          2.02059552,          2.01479413,          2.01427518,          2.01506799,          0.00000365,          0.00000058,          0.00000224,          0.00000167,          0.00000058,          0.00000043,          0.00000067,          0.00003068,          0.00000487,          0.00001889,          0.00001411,          0.00000493,          0.00000366,          0.00000564
,,,,,,    4.600000,    0.137905,          0.00024660,          0.00003914,          0.00015186,          0.00011341,          0.00003966,          0.00002945,          0.00004531,          2.03703524,          2.01474416,          2.02622159,          2.02059565,          2.01479418,          2.01427522,          2.01506804,          0.00000381,          0.00000060,          0.00000234,          0.00000175,          0.00000061,          0.00000045,          0.00000070,          0.00003353,          0.00000532,          0.00002065,          0.00001542,          0.00000539,          0.00000400,          0.00000616
,,,,,,    4.800000,    0.143900,          0.00026851,          0.00004262,          0.00016536,          0.00012349,          0.00004319,          0.00003207,          0.00004934,          2.03703555,          2.01474421,          2.02622178,          2.02059579,          2.01479423,          2.01427526,          2.01506810,          0.00000398,          0.00000063,          0.00000244,          0.00000182,          0.00000064,          0.00000047,          0.00000073,          0.00003651,          0.00000579,          0.00002249,          0.00001679,          0.00000587,          0.00000436,          0.00000671
,,,,,,    5.000000,    0.149896,          0.00029136,          0.00004624,          0.00017943,          0.00013400,          0.00004687,          0.00003479,          0.00005354,          2.03703587,          2.01474426,          2.02622198,          2.02059594,          2.01479428,          2.01427529,          2.01506816,          0.00000414,          0.00000065,          0.00000255,          0.00000190,          0.00000066,          0.00000049,          0.00000076,          0.00003962,          0.00000629,          0.00002440,          0.00001822,          0.00000637,          0.00000473,          0.00000728
,,,,,,    5.200000,    0.155892,          0.00031515,          0.00005002,          0.00019408,          0.00014494,          0.00005069,          0.00003764,          0.00005791,          2.03703621,          2.01474431,          2.02622219,          2.02059610,          2.01479434,          2.01427534,          2.01506822,          0.00000431,          0.00000068,          0.00000265,          0.00000197,          0.00000069,          0.00000051,          0.00000079,          0.00004285,          0.00000680,          0.00002639,          0.00001971,          0.00000689,          0.00000512,          0.00000787
,,,,,,    5.400000,    0.161888,          0.00033987,          0.00005394,          0.00020930,          0.00015631,          0.00005467,          0.00004059,          0.00006245,          2.03703656,          2.01474437,          2.02622240,          2.02059626,          2.01479439,          2.01427538,          2.01506829,          0.00000448,          0.00000071,          0.00000275,          0.00000205,          0.00000072,          0.00000053,          0.00000082,          0.00004621,          0.00000733,          0.00002846,          0.00002125,          0.00000743,          0.00000552,          0.00000849
,,,,,,    5.600000,    0.167884,          0.00036552,          0.00005801,          0.00022510,          0.00016810,          0.00005880,          0.00004365,          0.00006717,          2.03703693,          2.01474443,          2.02622263,          2.02059643,          2.01479445,          2.01427542,          2.01506835,          0.00000464,          0.00000073,          0.00000285,          0.00000213,          0.00000074,          0.00000055,          0.00000085,          0.00004970,          0.00000789,          0.00003061,          0.00002286,          0.00000799,          0.00000594,          0.00000913
,,,,,,    5.800000,    0.173880,          0.00039211,          0.00006223,          0.00024147,          0.00018033,          0.00006307,          0.00004683,          0.00007205,          2.03703730,          2.01474449,          2.02622286,          2.02059660,          2.01479451,          2.01427547,          2.01506842,          0.00000481,          0.00000076,          0.00000295,          0.00000220,          0.00000077,          0.00000057,          0.00000088,          0.00005332,          0.00000846,          0.00003284,          0.00002452,          0.00000858,          0.00000637,          0.00000980
,,,,,,    6.000000,    0.179875,          0.00041963,          0.00006659,          0.00025842,          0.00019299,          0.00006750,          0.00005011,          0.00007711,          2.03703770,          2.01474455,          2.02622310,          2.02059678,          2.01479457,          2.01427551,          2.01506849,          0.00000497,          0.00000079,          0.00000306,          0.00000228,          0.00000080,          0.00000059,          0.00000091,          0.00005706,          0.00000906,          0.00003514,          0.00002624,          0.00000918,          0.00000681,          0.00001049
,,,,,,    6.200000,    0.185871,          0.00044809,          0.00007111,          0.00027595,          0.00020608,          0.00007208,          0.00005351,          0.00008234,          2.03703810,          2.01474461,          2.02622335,          2.02059696,          2.01479464,          2.01427556,          2.01506857,          0.00000514,          0.00000081,          0.00000316,          0.00000235,          0.00000082,          0.00000061,          0.00000094,          0.00006093,          0.00000967,          0.00003752,          0.00002802,          0.00000980,          0.00000728,          0.00001120
,,,,,,    6.400000,    0.191867,          0.00047749,          0.00007577,          0.00029405,          0.00021960,          0.00007680,          0.00005702,          0.00008774,          2.03703852,          2.01474468,          2.02622361,          2.02059716,          2.01479471,          2.01427561,          2.01506864,          0.00000531,          0.00000084,          0.00000326,          0.00000243,          0.00000085,          0.00000063,          0.00000097,          0.00006493,          0.00001030,          0.00003998,          0.00002986,          0.00001044,          0.00000775,          0.00001193
,,,,,,    6.600000,    0.197863,          0.00050781,          0.00008059,          0.00031273,          0.00023355,          0.00008168,          0.00006064,          0.00009332,          2.03703895,          2.01474475,          2.02622387,          2.02059735,          2.01479477,          2.01427566,          2.01506872,          0.00000547,          0.00000086,          0.00000336,          0.00000251,          0.00000088,          0.00000065,          0.00000100,          0.00006905,          0.00001096,          0.00004252,          0.00003176,          0.00001111,          0.00000825,          0.00001269
,,,,,,    6.800000,    0.203859,          0.00053908,          0.00008555,          0.00033198,          0.00024792,          0.00008671,          0.00006437,          0.00009906,          2.03703939,          2.01474482,          2.02622414,          2.02059756,          2.01479485,          2.01427571,          2.01506880,          0.00000564,          0.00000089,          0.00000346,          0.00000258,          0.00000090,          0.00000067,          0.00000103,          0.00007330,          0.00001163,          0.00004514,          0.00003371,          0.00001179,          0.00000875,          0.00001347
,,,,,,    7.000000,    0.209855,          0.00057128,          0.00009065,          0.00035181,          0.00026273,          0.00009189,          0.00006822,          0.00010498,          2.03703985,          2.01474489,          2.02622443,          2.02059777,          2.01479492,          2.01427577,          2.01506889,          0.00000580,          0.00000092,          0.00000357,          0.00000266,          0.00000093,          0.00000069,          0.00000106,          0.00007768,          0.00001233,          0.00004784,          0.00003573,          0.00001250,          0.00000928,          0.00001428
,,,,,,    7.200000,    0.215851,          0.00060442,          0.00009591,          0.00037221,          0.00027797,          0.00009722,          0.00007217,          0.00011107,          2.03704032,          2.01474496,          2.02622471,          2.02059798,          2.01479499,          2.01427582,          2.01506897,          0.00000597,          0.00000094,          0.00000367,          0.00000273,          0.00000096,          0.00000071,          0.00000109,          0.00008219,          0.00001304,          0.00005061,          0.00003780,          0.00001322,          0.00000981,          0.00001510
,,,,,,    7.400000,    0.221846,          0.00063849,          0.00010132,          0.00039320,          0.00029364,          0.00010270,          0.00007624,          0.00011733,          2.03704081,          2.01474504,          2.02622501,          2.02059820,          2.01479507,          2.01427588,          2.01506906,          0.00000614,          0.00000097,          0.00000377,          0.00000281,          0.00000098,          0.00000073,          0.00000112,          0.00008682,          0.00001378,          0.00005347,          0.00003993,          0.00001397,          0.00001037,          0.00001595
,,,,,,    7.600000,    0.227842,          0.00067350,          0.00010687,          0.00041475,          0.00030975,          0.00010833,          0.00008042,          0.00012376,          2.03704130,          2.01474512,          2.02622532,          2.02059843,          2.01479515,          2.01427594,          2.01506915,          0.00000630,          0.00000099,          0.00000387,          0.00000289,          0.00000101,          0.00000075,          0.00000115,          0.00009158,          0.00001453,          0.00005640,          0.00004212,          0.00001473,          0.00001094,          0.00001683
,,,,,,    7.800000,    0.233838,          0.00070945,          0.00011257,          0.00043689,          0.00032628,          0.00011411,          0.00008471,          0.00013037,          2.03704181,          2.01474520,          2.02622563,          2.02059867,          2.01479523,          2.01427600,          2.01506925,          0.00000647,          0.00000102,          0.00000397,          0.00000296,          0.00000103,          0.00000077,          0.00000118,          0.00009647,          0.00001531,          0.00005941,          0.00004437,          0.00001552,          0.00001152,          0.00001773
,,,,,,    8.000000,    0.239834,          0.00074633,          0.00011842,          0.00045960,          0.00034324,          0.00012004,          0.00008911,          0.00013714,          2.03704234,          2.01474528,          2.02622595,          2.02059891,          2.01479532,          2.01427606,          2.01506934,          0.00000664,          0.00000105,          0.00000408,          0.00000304,          0.00000106,          0.00000079,          0.00000121,          0.00010149,          0.00001610,          0.00006250,          0.00004667,          0.00001632,          0.00001212,          0.00001865
,,,,,,    8.200000,    0.245830,          0.00078415,          0.00012442,          0.00048289,          0.00036064,          0.00012612,          0.00009363,          0.00014409,          2.03704288,          2.01474537,          2.02622628,          2.02059915,          2.01479540,          2.01427613,          2.01506944,          0.00000680,          0.00000107,          0.00000418,          0.00000312,          0.00000109,          0.00000081,          0.00000124,          0.00010663,          0.00001692,          0.00006566,          0.00004904,          0.00001715,          0.00001273,          0.00001959
,,,,,,    8.400000,    0.251826,          0.00082291,          0.00013057,          0.00050676,          0.00037846,          0.00013236,          0.00009825,          0.00015121,          2.03704343,          2.01474545,          2.02622662,          2.02059940,          2.01479549,          2.01427619,          2.01506954,          0.00000697,          0.00000110,          0.00000428,          0.00000319,          0.00000111,          0.00000083,          0.00000127,          0.00011190,          0.00001775,          0.00006891,          0.00005146,          0.00001800,          0.00001336,          0.00002056
,,,,,,    8.600000,    0.257822,          0.00086261,          0.00013687,          0.00053120,          0.00039672,          0.00013874,          0.00010299,          0.00015851,          2.03704399,          2.01474554,          2.02622697,          2.02059966,          2.01479558,          2.01427626,          2.01506964,          0.00000713,          0.00000113,          0.00000438,          0.00000327,          0.00000114,          0.00000085,          0.00000130,          0.00011730,          0.00001861,          0.00007223,          0.00005395,          0.00001887,          0.00001400,          0.00002155
