../../../../pdielec -vmin 300 -vmax 800 -matrix ptfe -sigma 5 -sphere -needle 0 0 1 -plate 1 0 0 -optical 5.73897 5.73897 5.67346 -csv command.csv -masses program -hessian crystal -program crystal ZnO_default.out
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   6,  373.28,        16.222525,               68549.901892,  8728.0446,     5.0
   7,  398.07,        15.559299,               65747.371760,  8371.2154,     5.0
   8,  398.07,        15.559299,               65747.371760,  8371.2154,     5.0
,,,,,,cm-1,thz,maxwell_sphere_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coefficent_cm-1(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,  306.800000,    9.197633,          0.45130543,          2.85318880,          3.72354231,          2.46760132,          2.89547127,          3.20866243,          0.00286012,          0.01958703,          0.02690904,          1.52428487,          9.63665003,         12.57627048
,,,,,,  307.000000,    9.203628,          0.45278093,          2.87120775,          3.74543516,          2.46783031,          2.89703855,          3.21081591,          0.00286773,          0.01970322,          0.02705870,          1.52926837,          9.69750907,         12.65021362
,,,,,,  307.200000,    9.209624,          0.45426233,          2.88938647,          3.76750814,          2.46805992,          2.89861511,          3.21298134,          0.00287538,          0.01982046,          0.02720961,          1.53427181,          9.75890772,         12.72476516
,,,,,,  307.400000,    9.215620,          0.45574967,          2.90772683,          3.78976325,          2.46829013,          2.90020105,          3.21515884,          0.00288305,          0.01993874,          0.02736181,          1.53929529,          9.82085234,         12.79993182
,,,,,,  307.600000,    9.221616,          0.45724298,          2.92623076,          3.81220249,          2.46852096,          2.90179643,          3.21734851,          0.00289075,          0.02005810,          0.02751529,          1.54433893,          9.88334937,         12.87572040
,,,,,,  307.800000,    9.227612,          0.45874228,          2.94490017,          3.83482792,          2.46875241,          2.90340135,          3.21955044,          0.00289848,          0.02017853,          0.02767007,          1.54940282,          9.94640535,         12.95213784
,,,,,,  308.000000,    9.233608,          0.46024760,          2.96373705,          3.85764162,          2.46898448,          2.90501590,          3.22176474,          0.00290624,          0.02030006,          0.02782618,          1.55448706,         10.01002694,         13.02919113
,,,,,,  308.200000,    9.239604,          0.46175899,          2.98274338,          3.88064568,          2.46921716,          2.90664015,          3.22399152,          0.00291403,          0.02042269,          0.02798361,          1.55959177,         10.07422085,         13.10688738
,,,,,,  308.400000,    9.245599,          0.46327647,          3.00192120,          3.90384224,          2.46945048,          2.90827420,          3.22623089,          0.00292185,          0.02054645,          0.02814240,          1.56471705,         10.13899395,         13.18523380
,,,,,,  308.600000,    9.251595,          0.46480006,          3.02127254,          3.92723346,          2.46968441,          2.90991814,          3.22848295,          0.00292970,          0.02067133,          0.02830255,          1.56986301,         10.20435316,         13.26423771
,,,,,,  308.800000,    9.257591,          0.46632982,          3.04079951,          3.95082155,          2.46991898,          2.91157206,          3.23074780,          0.00293757,          0.02079737,          0.02846409,          1.57502975,         10.27030554,         13.34390651
,,,,,,  309.000000,    9.263587,          0.46786575,          3.06050422,          3.97460873,          2.47015417,          2.91323604,          3.23302557,          0.00294548,          0.02092457,          0.02862702,          1.58021738,         10.33685823,         13.42424774
,,,,,,  309.200000,    9.269583,          0.46940791,          3.08038882,          3.99859725,          2.47039000,          2.91491019,          3.23531636,          0.00295342,          0.02105295,          0.02879136,          1.58542601,         10.40401849,         13.50526902
,,,,,,  309.400000,    9.275579,          0.47095631,          3.10045549,          4.02278941,          2.47062647,          2.91659460,          3.23762028,          0.00296139,          0.02118251,          0.02895714,          1.59065575,         10.47179370,         13.58697809
,,,,,,  309.600000,    9.281574,          0.47251100,          3.12070645,          4.04718754,          2.47086357,          2.91828935,          3.23993745,          0.00296939,          0.02131329,          0.02912437,          1.59590671,         10.54019134,         13.66938281
,,,,,,  309.800000,    9.287570,          0.47407200,          3.14114394,          4.07179399,          2.47110132,          2.91999456,          3.24226799,          0.00297742,          0.02144528,          0.02929305,          1.60117900,         10.60921900,         13.75249114
,,,,,,  310.000000,    9.293566,          0.47563936,          3.16177025,          4.09661116,          2.47133970,          2.92171030,          3.24461200,          0.00298548,          0.02157851,          0.02946323,          1.60647274,         10.67888440,         13.83631116
,,,,,,  310.200000,    9.299562,          0.47721309,          3.18258769,          4.12164147,          2.47157874,          2.92343669,          3.24696962,          0.00299357,          0.02171300,          0.02963490,          1.61178803,         10.74919536,         13.92085107
,,,,,,  310.400000,    9.305558,          0.47879324,          3.20359863,          4.14688739,          2.47181842,          2.92517382,          3.24934095,          0.00300169,          0.02184875,          0.02980809,          1.61712499,         10.82015983,         14.00611921
,,,,,,  310.600000,    9.311554,          0.48037984,          3.22480545,          4.17235141,          2.47205875,          2.92692180,          3.25172612,          0.00300985,          0.02198579,          0.02998282,          1.62248373,         10.89178590,         14.09212400
,,,,,,  310.800000,    9.317550,          0.48197292,          3.24621057,          4.19803608,          2.47229973,          2.92868072,          3.25412526,          0.00301803,          0.02212413,          0.03015910,          1.62786437,         10.96408174,         14.17887401
,,,,,,  311.000000,    9.323545,          0.48357252,          3.26781647,          4.22394397,          2.47254137,          2.93045069,          3.25653848,          0.00302625,          0.02226379,          0.03033695,          1.63326702,         11.03705570,         14.26637794
,,,,,,  311.200000,    9.329541,          0.48517867,          3.28962565,          4.25007768,          2.47278367,          2.93223182,          3.25896591,          0.00303450,          0.02240478,          0.03051640,          1.63869180,         11.11071623,         14.35464461
,,,,,,  311.400000,    9.335537,          0.48679141,          3.31164064,          4.27643988,          2.47302662,          2.93402421,          3.26140768,          0.00304278,          0.02254712,          0.03069747,          1.64413882,         11.18507191,         14.44368298
,,,,,,  311.600000,    9.341533,          0.48841077,          3.33386403,          4.30303325,          2.47327024,          2.93582796,          3.26386392,          0.00305109,          0.02269083,          0.03088016,          1.64960821,         11.26013145,         14.53350213
,,,,,,  311.800000,    9.347529,          0.49003679,          3.35629845,          4.32986052,          2.47351453,          2.93764319,          3.26633475,          0.00305944,          0.02283593,          0.03106451,          1.65510008,         11.33590374,         14.62411128
,,,,,,  312.000000,    9.353525,          0.49166949,          3.37894656,          4.35692447,          2.47375948,          2.93947001,          3.26882032,          0.00306781,          0.02298243,          0.03125053,          1.66061454,         11.41239775,         14.71551980
,,,,,,  312.200000,    9.359521,          0.49330892,          3.40181105,          4.38422790,          2.47400511,          2.94130853,          3.27132074,          0.00307622,          0.02313036,          0.03143824,          1.66615173,         11.48962262,         14.80773720
,,,,,,  312.400000,    9.365516,          0.49495512,          3.42489469,          4.41177368,          2.47425141,          2.94315887,          3.27383616,          0.00308467,          0.02327972,          0.03162767,          1.67171176,         11.56758766,         14.90077311
,,,,,,  312.600000,    9.371512,          0.49660812,          3.44820027,          4.43956470,          2.47449838,          2.94502113,          3.27636672,          0.00309314,          0.02343055,          0.03181883,          1.67729475,         11.64630227,         14.99463733
,,,,,,  312.800000,    9.377508,          0.49826794,          3.47173061,          4.46760391,          2.47474603,          2.94689543,          3.27891255,          0.00310165,          0.02358286,          0.03201175,          1.68290083,         11.72577606,         15.08933981
,,,,,,  313.000000,    9.383504,          0.49993465,          3.49548862,          4.49589429,          2.47499437,          2.94878190,          3.28147379,          0.00311019,          0.02373667,          0.03220645,          1.68853012,         11.80601876,         15.18489063
,,,,,,  313.200000,    9.389500,          0.50160825,          3.51947720,          4.52443889,          2.47524339,          2.95068065,          3.28405058,          0.00311877,          0.02389200,          0.03240295,          1.69418273,         11.88704025,         15.28130005
,,,,,,  313.400000,    9.395496,          0.50328881,          3.54369935,          4.55324078,          2.47549309,          2.95259180,          3.28664307,          0.00312738,          0.02404886,          0.03260128,          1.69985881,         11.96885059,         15.37857848
,,,,,,  313.600000,    9.401491,          0.50497634,          3.56815808,          4.58230309,          2.47574349,          2.95451548,          3.28925140,          0.00313602,          0.02420729,          0.03280145,          1.70555846,         12.05146000,         15.47673648
,,,,,,  313.800000,    9.407487,          0.50667090,          3.59285647,          4.61162899,          2.47599457,          2.95645181,          3.29187572,          0.00314470,          0.02436730,          0.03300350,          1.71128183,         12.13487886,         15.57578478
,,,,,,  314.000000,    9.413483,          0.50837251,          3.61779765,          4.64122172,          2.47624635,          2.95840091,          3.29451618,          0.00315341,          0.02452891,          0.03320744,          1.71702903,         12.21911771,         15.67573428
,,,,,,  314.200000,    9.419479,          0.51008122,          3.64298478,          4.67108456,          2.47649883,          2.96036291,          3.29717294,          0.00316216,          0.02469215,          0.03341330,          1.72280019,         12.30418729,         15.77659604
,,,,,,  314.400000,    9.425475,          0.51179706,          3.66842109,          4.70122082,          2.47675201,          2.96233794,          3.29984613,          0.00317094,          0.02485703,          0.03362111,          1.72859545,         12.39009847,         15.87838131
,,,,,,  314.600000,    9.431471,          0.51352008,          3.69410986,          4.73163388,          2.47700589,          2.96432614,          3.30253592,          0.00317976,          0.02502357,          0.03383088,          1.73441493,         12.47686235,         15.98110150
,,,,,,  314.800000,    9.437467,          0.51525030,          3.72005443,          4.76232719,          2.47726048,          2.96632764,          3.30524246,          0.00318861,          0.02519181,          0.03404265,          1.74025877,         12.56449018,         16.08476821
,,,,,,  315.000000,    9.443462,          0.51698777,          3.74625819,          4.79330423,          2.47751578,          2.96834256,          3.30796592,          0.00319749,          0.02536177,          0.03425644,          1.74612709,         12.65299340,         16.18939321
,,,,,,  315.200000,    9.449458,          0.51873254,          3.77272457,          4.82456855,          2.47777179,          2.97037105,          3.31070646,          0.00320641,          0.02553346,          0.03447227,          1.75202002,         12.74238365,         16.29498848
,,,,,,  315.400000,    9.455454,          0.52048463,          3.79945708,          4.85612373,          2.47802851,          2.97241324,          3.31346422,          0.00321537,          0.02570691,          0.03469018,          1.75793771,         12.83267277,         16.40156617
,,,,,,  315.600000,    9.461450,          0.52224409,          3.82645929,          4.88797344,          2.47828595,          2.97446928,          3.31623940,          0.00322436,          0.02588215,          0.03491019,          1.76388029,         12.92387277,         16.50913863
,,,,,,  315.800000,    9.467446,          0.52401095,          3.85373481,          4.92012140,          2.47854411,          2.97653931,          3.31903214,          0.00323339,          0.02605920,          0.03513233,          1.76984789,         13.01599588,         16.61771840
,,,,,,  316.000000,    9.473442,          0.52578527,          3.88128732,          4.95257137,          2.47880299,          2.97862347,          3.32184261,          0.00324245,          0.02623808,          0.03535662,          1.77584064,         13.10905454,         16.72731824
,,,,,,  316.200000,    9.479438,          0.52756707,          3.90912057,          4.98532720,          2.47906260,          2.98072190,          3.32467100,          0.00325155,          0.02641883,          0.03558310,          1.78185868,         13.20306138,         16.83795110
,,,,,,  316.400000,    9.485433,          0.52935641,          3.93723836,          5.01839278,          2.47932294,          2.98283476,          3.32751748,          0.00326069,          0.02660146,          0.03581179,          1.78790216,         13.29802928,         16.94963015
,,,,,,  316.600000,    9.491429,          0.53115331,          3.96564457,          5.05177207,          2.47958401,          2.98496220,          3.33038221,          0.00326987,          0.02678601,          0.03604273,          1.79397121,         13.39397130,         17.06236876
,,,,,,  316.800000,    9.497425,          0.53295783,          3.99434314,          5.08546910,          2.47984581,          2.98710436,          3.33326538,          0.00327908,          0.02697250,          0.03627594,          1.80006597,         13.49090074,         17.17618053
,,,,,,  317.000000,    9.503421,          0.53477000,          4.02333806,          5.11948795,          2.48010835,          2.98926140,          3.33616717,          0.00328832,          0.02716096,          0.03651145,          1.80618658,         13.58883113,         17.29107928
,,,,,,  317.200000,    9.509417,          0.53658987,          4.05263341,          5.15383280,          2.48037163,          2.99143348,          3.33908777,          0.00329761,          0.02735141,          0.03674930,          1.81233318,         13.68777623,         17.40707906
,,,,,,  317.400000,    9.515413,          0.53841747,          4.08223333,          5.18850786,          2.48063565,          2.99362076,          3.34202735,          0.00330693,          0.02754389,          0.03698951,          1.81850592,         13.78775003,         17.52419414
,,,,,,  317.600000,    9.521408,          0.54025286,          4.11214205,          5.22351743,          2.48090043,          2.99582340,          3.34498612,          0.00331629,          0.02773842,          0.03723213,          1.82470494,         13.88876677,         17.64243903
,,,,,,  317.800000,    9.527404,          0.54209607,          4.14236384,          5.25886589,          2.48116595,          2.99804156,          3.34796425,          0.00332569,          0.02793504,          0.03747717,          1.83093038,         13.99084093,         17.76182849
,,,,,,  318.000000,    9.533400,          0.54394714,          4.17290308,          5.29455766,          2.48143222,          3.00027540,          3.35096194,          0.00333513,          0.02813377,          0.03772468,          1.83718240,         14.09398725,         17.88237752
,,,,,,  318.200000,    9.539396,          0.54580613,          4.20376419,          5.33059727,          2.48169925,          3.00252510,          3.35397939,          0.00334460,          0.02833464,          0.03797469,          1.84346112,         14.19822072,         18.00410137
,,,,,,  318.400000,    9.545392,          0.54767307,          4.23495171,          5.36698931,          2.48196704,          3.00479083,          3.35701679,          0.00335411,          0.02853769,          0.03822723,          1.84976671,         14.30355661,         18.12701553
,,,,,,  318.600000,    9.551388,          0.54954800,          4.26647022,          5.40373844,          2.48223558,          3.00707275,          3.36007436,          0.00336367,          0.02874295,          0.03848234,          1.85609932,         14.41001042,         18.25113579
,,,,,,  318.800000,    9.557384,          0.55143098,          4.29832440,          5.44084942,          2.48250490,          3.00937105,          3.36315228,          0.00337326,          0.02895044,          0.03874006,          1.86245908,         14.51759797,         18.37647817
