../../../pdielec -processors 4 -matrix ptfe -sigma 5 -needle 0 0 1 -ellipsoid 0 0 1 0.5 -plate 1 0 0 qua_hf_2d_f_ir-int.out -optical_tensor 2.018 0 0 0 2.018 0 0 0 2.071 -masses program -csv command.csv -processors 4
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  143.36,         0.000137,                   0.577966,     0.0736,     5.0
   4,  143.36,         0.000125,                   0.526914,     0.0671,     5.0
   5,  219.76,         0.000015,                   0.062798,     0.0080,     5.0
   6,  285.80,         0.220859,                 933.263851,   118.8268,     5.0
   7,  285.80,         0.219970,                 929.504963,   118.3482,     5.0
   8,  383.15,         0.000003,                   0.012340,     0.0016,     5.0
   9,  395.26,         5.330176,               22523.190806,  2867.7417,     5.0
  10,  428.18,         2.826487,               11943.604000,  1520.7069,     5.0
  11,  428.18,         2.822143,               11925.247717,  1518.3697,     5.0
  12,  492.09,        10.485444,               44307.294148,  5641.3799,     5.0
  13,  492.09,        10.459705,               44198.527799,  5627.5313,     5.0
  14,  502.25,         0.000007,                   0.030802,     0.0039,     5.0
  15,  544.53,        10.684156,               45146.971138,  5748.2909,     5.0
  16,  739.67,         0.596466,                2520.427559,   320.9108,     5.0
  17,  739.67,         0.602299,                2545.073342,   324.0488,     5.0
  18,  824.10,         3.254740,               13753.228986,  1751.1155,     5.0
  19,  847.31,         4.970620,               21003.852794,  2674.2936,     5.0
  20,  847.31,         4.960699,               20961.928146,  2668.9556,     5.0
  21, 1124.43,        41.149179,              173879.971699, 22139.0856,     5.0
  22, 1124.43,        41.187535,              174042.049294, 22159.7220,     5.0
  23, 1131.32,        43.940335,              185674.281211, 23640.7837,     5.0
  24, 1139.50,         0.000004,                   0.018537,     0.0024,     5.0
  25, 1233.44,         0.611846,                2585.415876,   329.1854,     5.0
  26, 1233.44,         0.606878,                2564.422943,   326.5125,     5.0
,,,,,,cm-1,thz,maxwell_needle[0 0 1]_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(1 0 0)_molar_absorption_coefficient_cm-1.L.mole-1(vf=0.1),maxwell_needle[0 0 1]_real_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_real_dielectric(vf=0.1),maxwell_plate(1 0 0)_real_dielectric(vf=0.1),maxwell_needle[0 0 1]_imag_dielectric(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_imag_dielectric(vf=0.1),maxwell_plate(1 0 0)_imag_dielectric(vf=0.1),maxwell_needle[0 0 1]_absorption_coefficent_cm-1(vf=0.1),maxwell_ellipsoid([0 0 1] 0.5)_absorption_coefficent_cm-1(vf=0.1),maxwell_plate(1 0 0)_absorption_coefficent_cm-1(vf=0.1)
,,,,,,    6.000000,    0.179875,          0.00010059,          0.00008936,          0.00011613,          2.16198868,          2.15489454,          2.17176840,          0.00001327,          0.00001177,          0.00001535,          0.00014774,          0.00013125,          0.00017057
,,,,,,    6.200000,    0.185871,          0.00010740,          0.00009542,          0.00012400,          2.16198976,          2.15489550,          2.17176965,          0.00001371,          0.00001216,          0.00001586,          0.00015776,          0.00014015,          0.00018213
,,,,,,    6.400000,    0.191867,          0.00011445,          0.00010167,          0.00013213,          2.16199087,          2.15489648,          2.17177094,          0.00001415,          0.00001255,          0.00001638,          0.00016810,          0.00014934,          0.00019408
,,,,,,    6.600000,    0.197863,          0.00012172,          0.00010813,          0.00014052,          2.16199202,          2.15489750,          2.17177227,          0.00001460,          0.00001295,          0.00001689,          0.00017878,          0.00015882,          0.00020640
,,,,,,    6.800000,    0.203859,          0.00012921,          0.00011478,          0.00014917,          2.16199321,          2.15489855,          2.17177364,          0.00001504,          0.00001334,          0.00001740,          0.00018978,          0.00016859,          0.00021910
,,,,,,    7.000000,    0.209855,          0.00013692,          0.00012164,          0.00015808,          2.16199443,          2.15489964,          2.17177505,          0.00001548,          0.00001373,          0.00001791,          0.00020111,          0.00017866,          0.00023219
,,,,,,    7.200000,    0.215851,          0.00014486,          0.00012869,          0.00016725,          2.16199568,          2.15490075,          2.17177651,          0.00001592,          0.00001412,          0.00001843,          0.00021277,          0.00018902,          0.00024565
,,,,,,    7.400000,    0.221846,          0.00015303,          0.00013594,          0.00017667,          2.16199698,          2.15490190,          2.17177800,          0.00001637,          0.00001452,          0.00001894,          0.00022477,          0.00019967,          0.00025950
,,,,,,    7.600000,    0.227842,          0.00016141,          0.00014339,          0.00018636,          2.16199830,          2.15490307,          2.17177953,          0.00001681,          0.00001491,          0.00001945,          0.00023709,          0.00021062,          0.00027372
,,,,,,    7.800000,    0.233838,          0.00017003,          0.00015104,          0.00019630,          2.16199966,          2.15490428,          2.17178111,          0.00001725,          0.00001530,          0.00001996,          0.00024973,          0.00022185,          0.00028833
,,,,,,    8.000000,    0.239834,          0.00017886,          0.00015889,          0.00020650,          2.16200106,          2.15490552,          2.17178273,          0.00001770,          0.00001569,          0.00002048,          0.00026271,          0.00023338,          0.00030331
,,,,,,    8.200000,    0.245830,          0.00018792,          0.00016694,          0.00021696,          2.16200250,          2.15490679,          2.17178439,          0.00001814,          0.00001609,          0.00002099,          0.00027602,          0.00024520,          0.00031867
,,,,,,    8.400000,    0.251826,          0.00019721,          0.00017519,          0.00022768,          2.16200396,          2.15490810,          2.17178609,          0.00001858,          0.00001648,          0.00002150,          0.00028966,          0.00025732,          0.00033442
,,,,,,    8.600000,    0.257822,          0.00020672,          0.00018364,          0.00023866,          2.16200547,          2.15490943,          2.17178783,          0.00001902,          0.00001687,          0.00002201,          0.00030362,          0.00026973,          0.00035055
