../../../pdielec -matrix ptfe -method ap -method maxwell -sphere -plate -1 -1 -2 -vmin 0 -vmax 2000 -vf 0.1 calcite.gout -masses program -csv command1.csv
Mode,Frequency,Intensity        ,Integrated Molar Absorption,Epsilon_max,  FWHM  
    ,cm-1     ,Debye2/Angs2/amu , Coefficient L/mole/cm/cm  , L/mole/cm ,  cm-1  
----,---------,---------------- ,---------------------------, --------- ,  ----  
   3,  114.77,         2.386157,               10082.942949,  1283.8002,     5.0
   4,  114.77,         2.386165,               10082.976755,  1283.8045,     5.0
   5,  127.38,         3.359475,               14195.797145,  1807.4650,     5.0
   9,  249.29,         1.226152,                5181.227434,   659.6944,     5.0
  10,  249.29,         1.226152,                5181.226351,   659.6942,     5.0
  15,  320.71,         5.824938,               24613.856703,  3133.9336,     5.0
  16,  320.71,         5.824945,               24613.889414,  3133.9377,     5.0
  17,  338.14,         4.139440,               17491.616624,  2227.1018,     5.0
  20,  620.12,         3.383380,               14296.810138,  1820.3264,     5.0
  21,  620.12,         3.383372,               14296.778406,  1820.3224,     5.0
  22,  731.95,        26.890139,              113626.969350, 14467.4351,     5.0
  26, 1463.56,        16.971396,               71714.329831,  9130.9521,     5.0
  27, 1463.56,        16.971390,               71714.305879,  9130.9490,     5.0
,,,,,cm-1,thz,ap_noshape_real_dielectric(vf=0.1),ap_noshape_imag_dielectric(vf=0.1),ap_noshape_absorption_coeficient_cm-1(vf=0.1),ap_noshape_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1),maxwell_sphere_real_dielectric(vf=0.1),maxwell_sphere_imag_dielectric(vf=0.1),maxwell_sphere_absorption_coeficient_cm-1(vf=0.1),maxwell_sphere_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1),maxwell_plate(-1 -1 -2)_real_dielectric(vf=0.1),maxwell_plate(-1 -1 -2)_imag_dielectric(vf=0.1),maxwell_plate(-1 -1 -2)_absorption_coeficient_cm-1(vf=0.1),maxwell_plate(-1 -1 -2)_molar_absorption_coeficient_cm-1.L.mole-1(vf=0.1)
,,,,,    8.800000,    0.263817,          2.48588728,          0.00109845,          0.01672956,          0.01231427,          2.28093069,          0.00036852,          0.00585936,          0.00431295,          2.37769251,          0.00079493,          0.01237933,          0.00911216
,,,,,    9.000000,    0.269813,          2.48597603,          0.00112396,          0.01750687,          0.01288644,          2.28096048,          0.00037702,          0.00613074,          0.00451270,          2.37775673,          0.00081339,          0.01295454,          0.00953556
,,,,,    9.200000,    0.275809,          2.48606681,          0.00114951,          0.01830241,          0.01347202,          2.28099094,          0.00038553,          0.00640839,          0.00471708,          2.37782243,          0.00083188,          0.01354324,          0.00996889
,,,,,    9.400000,    0.281805,          2.48615963,          0.00117510,          0.01911622,          0.01407105,          2.28102209,          0.00039405,          0.00669234,          0.00492609,          2.37788960,          0.00085040,          0.01414546,          0.01041217
,,,,,    9.600000,    0.287801,          2.48625450,          0.00120073,          0.01994836,          0.01468357,          2.28105391,          0.00040258,          0.00698260,          0.00513975,          2.37795825,          0.00086894,          0.01476125,          0.01086544
,,,,,    9.800000,    0.293797,          2.48635141,          0.00122640,          0.02079888,          0.01530962,          2.28108642,          0.00041111,          0.00727918,          0.00535805,          2.37802839,          0.00088751,          0.01539064,          0.01132872
,,,,,   10.000000,    0.299792,          2.48645038,          0.00125211,          0.02166784,          0.01594924,          2.28111962,          0.00041966,          0.00758209,          0.00558102,          2.37810001,          0.00090612,          0.01603368,          0.01180205
,,,,,   10.200000,    0.305788,          2.48655140,          0.00127786,          0.02255529,          0.01660247,          2.28115349,          0.00042822,          0.00789135,          0.00580866,          2.37817312,          0.00092475,          0.01669040,          0.01228545
,,,,,   10.400000,    0.311784,          2.48665448,          0.00130365,          0.02346128,          0.01726935,          2.28118805,          0.00043678,          0.00820698,          0.00604098,          2.37824771,          0.00094341,          0.01736086,          0.01277896
,,,,,   10.600000,    0.317780,          2.48675962,          0.00132949,          0.02438589,          0.01794993,          2.28122329,          0.00044536,          0.00852897,          0.00627800,          2.37832380,          0.00096211,          0.01804508,          0.01328260
,,,,,   10.800000,    0.323776,          2.48686683,          0.00135537,          0.02532916,          0.01864426,          2.28125922,          0.00045395,          0.00885736,          0.00651972,          2.37840138,          0.00098084,          0.01874313,          0.01379642
,,,,,   11.000000,    0.329772,          2.48697610,          0.00138130,          0.02629116,          0.01935237,          2.28129584,          0.00046254,          0.00919215,          0.00676615,          2.37848046,          0.00099960,          0.01945503,          0.01432044
,,,,,   11.200000,    0.335768,          2.48708745,          0.00140728,          0.02727196,          0.02007431,          2.28133314,          0.00047115,          0.00953337,          0.00701731,          2.37856104,          0.00101839,          0.02018085,          0.01485470
,,,,,   11.400000,    0.341763,          2.48720087,          0.00143330,          0.02827161,          0.02081013,          2.28137113,          0.00047977,          0.00988101,          0.00727320,          2.37864312,          0.00103722,          0.02092063,          0.01539923
,,,,,   11.600000,    0.347759,          2.48731638,          0.00145937,          0.02929018,          0.02155988,          2.28140981,          0.00048840,          0.01023511,          0.00753385,          2.37872671,          0.00105608,          0.02167441,          0.01595407
,,,,,   11.800000,    0.353755,          2.48743396,          0.00148549,          0.03032774,          0.02232360,          2.28144918,          0.00049704,          0.01059568,          0.00779925,          2.37881180,          0.00107498,          0.02244224,          0.01651926
,,,,,   12.000000,    0.359751,          2.48755364,          0.00151166,          0.03138435,          0.02310135,          2.28148924,          0.00050569,          0.01096273,          0.00806943,          2.37889840,          0.00109391,          0.02322418,          0.01709483
,,,,,   12.200000,    0.365747,          2.48767540,          0.00153788,          0.03246009,          0.02389318,          2.28152999,          0.00051435,          0.01133628,          0.00834439,          2.37898652,          0.00111288,          0.02402028,          0.01768082
,,,,,   12.400000,    0.371743,          2.48779927,          0.00156415,          0.03355502,          0.02469914,          2.28157144,          0.00052303,          0.01171634,          0.00862415,          2.37907615,          0.00113189,          0.02483059,          0.01827727
,,,,,   12.600000,    0.377738,          2.48792523,          0.00159048,          0.03466922,          0.02551928,          2.28161358,          0.00053171,          0.01210294,          0.00890872,          2.37916731,          0.00115094,          0.02565516,          0.01888422
,,,,,   12.800000,    0.383734,          2.48805329,          0.00161686,          0.03580276,          0.02635365,          2.28165641,          0.00054041,          0.01249609,          0.00919811,          2.37925998,          0.00117002,          0.02649405,          0.01950170
,,,,,   13.000000,    0.389730,          2.48818347,          0.00164329,          0.03695571,          0.02720231,          2.28169994,          0.00054912,          0.01289582,          0.00949234,          2.37935418,          0.00118915,          0.02734730,          0.02012977
,,,,,   13.200000,    0.395726,          2.48831576,          0.00166978,          0.03812815,          0.02806532,          2.28174417,          0.00055785,          0.01330212,          0.00979141,          2.37944991,          0.00120831,          0.02821499,          0.02076846
,,,,,   13.400000,    0.401722,          2.48845016,          0.00169633,          0.03932017,          0.02894274,          2.28178909,          0.00056659,          0.01371504,          0.01009535,          2.37954717,          0.00122752,          0.02909717,          0.02141781
,,,,,   13.600000,    0.407718,          2.48858669,          0.00172294,          0.04053182,          0.02983461,          2.28183471,          0.00057534,          0.01413458,          0.01040417,          2.37964597,          0.00124677,          0.02999389,          0.02207786
,,,,,   13.800000,    0.413714,          2.48872534,          0.00174960,          0.04176320,          0.03074101,          2.28188103,          0.00058410,          0.01456077,          0.01071787,          2.37974630,          0.00126606,          0.03090521,          0.02274867
,,,,,   14.000000,    0.419709,          2.48886613,          0.00177632,          0.04301439,          0.03166198,          2.28192805,          0.00059288,          0.01499362,          0.01103648,          2.37984818,          0.00128539,          0.03183120,          0.02343027
,,,,,   14.200000,    0.425705,          2.48900905,          0.00180311,          0.04428547,          0.03259760,          2.28197578,          0.00060167,          0.01543315,          0.01136001,          2.37995160,          0.00130477,          0.03277191,          0.02412271
,,,,,   14.400000,    0.431701,          2.48915411,          0.00182996,          0.04557653,          0.03354791,          2.28202421,          0.00061047,          0.01587938,          0.01168848,          2.38005657,          0.00132419,          0.03372741,          0.02482603
,,,,,   14.600000,    0.437697,          2.48930132,          0.00185686,          0.04688764,          0.03451300,          2.28207334,          0.00061929,          0.01633234,          0.01202189,          2.38016310,          0.00134366,          0.03469777,          0.02554029
,,,,,   14.800000,    0.443693,          2.48945068,          0.00188384,          0.04821891,          0.03549291,          2.28212317,          0.00062813,          0.01679205,          0.01236027,          2.38027118,          0.00136317,          0.03568305,          0.02626553
,,,,,   15.000000,    0.449689,          2.48960220,          0.00191087,          0.04957041,          0.03648772,          2.28217372,          0.00063698,          0.01725852,          0.01270363,          2.38038082,          0.00138273,          0.03668330,          0.02700180
,,,,,   15.200000,    0.455685,          2.48975587,          0.00193798,          0.05094224,          0.03749750,          2.28222497,          0.00064584,          0.01773178,          0.01305199,          2.38049202,          0.00140233,          0.03769861,          0.02774915
,,,,,   15.400000,    0.461680,          2.48991172,          0.00196515,          0.05233448,          0.03852230,          2.28227692,          0.00065472,          0.01821185,          0.01340535,          2.38060479,          0.00142199,          0.03872904,          0.02850763
,,,,,   15.600000,    0.467676,          2.49006973,          0.00199238,          0.05374724,          0.03956220,          2.28232959,          0.00066361,          0.01869875,          0.01376375,          2.38071913,          0.00144169,          0.03977466,          0.02927728
,,,,,   15.800000,    0.473672,          2.49022993,          0.00201969,          0.05518060,          0.04061727,          2.28238297,          0.00067252,          0.01919250,          0.01412719,          2.38083505,          0.00146144,          0.04083554,          0.03005817
,,,,,   16.000000,    0.479668,          2.49039230,          0.00204707,          0.05663467,          0.04168758,          2.28243707,          0.00068144,          0.01969313,          0.01449570,          2.38095254,          0.00148125,          0.04191174,          0.03085034
,,,,,   16.200000,    0.485664,          2.49055687,          0.00207451,          0.05810954,          0.04277320,          2.28249187,          0.00069038,          0.02020066,          0.01486928,          2.38107162,          0.00150110,          0.04300335,          0.03165386
,,,,,   16.400000,    0.491660,          2.49072363,          0.00210203,          0.05960531,          0.04387420,          2.28254739,          0.00069934,          0.02071512,          0.01524796,          2.38119229,          0.00152100,          0.04411044,          0.03246876
